"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805300555","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"5196056443","Amphidium californicum","Herbarium record",1989-05-03,"1989","49.283333","-124.666667"
"2252135492","Amphidium californicum","Herbarium record",1979-06-13,"1979","49.166667","-121.666667"
"2252135349","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"3416707824","Amphidium californicum","Herbarium record",1974-08-22,"1974","49.320324","-121.297352"
"2005591654","Amphidium californicum","Herbarium record",1960-08-09,"1960","49.3","-121.78333"
"2005591139","Amphidium californicum","Herbarium record",1964-06-15,"1964","53.25","-132.333333"
"2005591674","Amphidium californicum","Herbarium record",1960-08-08,"1960","49.331944","-124.918611"
"2005591536","Amphidium californicum","Herbarium record",1963-06-06,"1963","49.383333","-123.383333"
"2005591416","Amphidium californicum","Herbarium record",1961-04-30,"1961","48.583333","-123.466667"
"4076834296","Amphidium californicum","Herbarium record",1969-08-18,"1969","49.338975","-123.017917"
"4076838198","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"4076838320","Amphidium californicum","Herbarium record",1974-05-09,"1974","48.82997","-125.141535"
"2028189054","Amphidium californicum","Herbarium record",1966-06-29,"1966","53.133333","-132.166667"
"2028262429","Amphidium californicum","Herbarium record",2008-05-13,"2008","49.2","-122.3"
"2028298570","Amphidium californicum","Herbarium record",1982-04-29,"1982","48.416667","-123.583333"
"2028214501","Amphidium californicum","Herbarium record",1969-10-01,"1969","49.733333","-126.6"
"2028289607","Amphidium californicum","Herbarium record",1977-05-26,"1977","50.316667","-125.2"
"2028161666","Amphidium californicum","Herbarium record",1971-06-09,"1971","49.916667","-126.783333"
"2028246069","Amphidium californicum","Herbarium record",1986-07-26,"1986","50.2","-124.833333"
"2028268062","Amphidium californicum","Herbarium record",1979-06-13,"1979","49.166667","-121.666667"
"2028250945","Amphidium californicum","Herbarium record",1979-05-02,"1979","49.083333","-123.916667"
"2028260538","Amphidium californicum","Herbarium record",1971-06-09,"1971","49.9","-126.766667"
"2028174553","Amphidium californicum","Herbarium record",1970-05-14,"1970","49.216667","-124.016667"
"1804500895","Amphidium californicum","Herbarium record",1875-05-08,"1875","49.5","-125.5"
"5076391949","Amphidium californicum","Herbarium record",1973-06-28,"1973","49.166667","-121.95"
"5076391950","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"2266036552","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"2266036774","Amphidium californicum","Herbarium record",1974-05-09,"1974","48.82997","-125.141535"
"1949668427","Amphidium californicum","Herbarium record",1996-06-06,"1996","48.480833","-123.536944"
"415715306","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"4849629831","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"2005592073","Amphidium californicum","Herbarium record",1960-08-08,"1960","49.331944","-124.918611"
"2005591766","Amphidium californicum","Herbarium record",1968-03-13,"1968","48.383282","-123.624376"
"2005591663","Amphidium californicum","Herbarium record",1973-06-28,"1973","49.166667","-121.95"
"2005591372","Amphidium californicum","Herbarium record",1966-07-04,"1966","53.25","-132.333333"
"3820680590","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"4929267016","Amphidium californicum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"1987931664","Amphidium californicum","Herbarium record",2018-04-28,"2018","48.403","-123.627"
"1987800016","Amphidium californicum","Herbarium record",2015-08-02,"2015","49.25","-121.95"
"1987795835","Amphidium californicum","Herbarium record",1980-08-29,"1980","49.1","-121.7"
"1987920831","Amphidium californicum","Herbarium record",1976-05-07,"1976","49.2","-124.0"
"1987756549","Amphidium californicum","Herbarium record",1969-11-11,"1969","49.38","-121.44"
"1987733498","Amphidium californicum","Herbarium record",1993-10-21,"1993","48.7","-124.0"
"1987840411","Amphidium californicum","Herbarium record",2015-08-13,"2015","50.0","-123.3"
"1987743261","Amphidium californicum","Herbarium record",2012-07-14,"2012","49.37","-121.41"
"1987733160","Amphidium californicum","Herbarium record",2003-11-03,"2003","49.0","-123.7"
"1987919351","Amphidium californicum","Herbarium record",1993-10-23,"1993","48.6","-123.9"
"1987905530","Amphidium californicum","Herbarium record",1993-11-13,"1993","48.6","-123.9"
"1987833843","Amphidium californicum","Herbarium record",2009-05-11,"2009","49.7","-123.2"
"1987832126","Amphidium californicum","Herbarium record",1977-05-26,"1977","50.3","-125.2"
"1987751718","Amphidium californicum","Herbarium record",1970-08-08,"1970","50.4","-127.4"
"1987750315","Amphidium californicum","Herbarium record",1970-06-10,"1970","49.6","-126.3"
"1987760832","Amphidium californicum","Herbarium record",1965-07-14,"1965","52.3","-126.7"
"1987874626","Amphidium californicum","Herbarium record",1996-05-21,"1996","48.4","-123.6"
"1987864848","Amphidium californicum","Herbarium record",2015-05-23,"2015","49.75","-126.49"
"1987859204","Amphidium californicum","Herbarium record",1993-11-12,"1993","48.6","-124.0"
"1987734012","Amphidium californicum","Herbarium record",1980-06-05,"1980","49.5","-123.2"
"1987932175","Amphidium californicum","Herbarium record",1969-06-15,"1969","48.4","-123.6"
"1987876542","Amphidium californicum","Herbarium record",1971-06-08,"1971","50.1","-127.2"
"1987849600","Amphidium californicum","Herbarium record",2016-05-30,"2016","50.62","-126.928"
"1987837711","Amphidium californicum","Herbarium record",2013-04-27,"2013","48.418","-123.645"
"1987836147","Amphidium californicum","Herbarium record",1969-07-11,"1969","49.0","-123.8"
"1987832474","Amphidium californicum","Herbarium record",2010-04-17,"2010","49.3148","-121.8716"
"1987805861","Amphidium californicum","Herbarium record",1979-06-13,"1979","49.2","-121.7"
"1987804316","Amphidium californicum","Herbarium record",2015-05-23,"2015","49.75","-126.49"
"1987891688","Amphidium californicum","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"1987885850","Amphidium californicum","Herbarium record",1993-10-23,"1993","48.6","-123.9"
"1987810375","Amphidium californicum","Herbarium record",1977-05-26,"1977","50.5","-125.3"
"1987767604","Amphidium californicum","Herbarium record",2008-05-13,"2008","49.2","-122.3"
"1987747865","Amphidium californicum","Herbarium record",2017-08-13,"2017","49.31","-123.14"
"1987901927","Amphidium californicum","Herbarium record",1966-07-18,"1966","53.0","-132.0"
"1987758150","Amphidium californicum","Herbarium record",2003-06-23,"2003","49.4","-121.6"
"1987930848","Amphidium californicum","Herbarium record",1971-06-08,"1971","50.1","-127.2"
"1987917619","Amphidium californicum","Herbarium record",1966-06-20,"1966","53.3","-132.0"
"1987898895","Amphidium californicum","Herbarium record",1977-05-26,"1977","50.5","-125.3"
"4046238275","Amphidium californicum","iNat record",2023-02-22,"2023","48.653789","-123.730243"
"5087623297","Amphidium californicum","iNat record",2025-03-07,"2025","49.180802","-121.748279"
"4952177657","Amphidium californicum","iNat record",2024-09-30,"2024","49.342796","-123.016411"
"4868173667","Amphidium californicum","iNat record",2024-05-12,"2024","49.07055","-123.948317"
"4046234669","Amphidium californicum","iNat record",2023-02-20,"2023","48.638703","-123.621012"
"1562938869","Amphidium californicum","iNat record",2017-05-13,"2017","48.868752","-123.379126"
"4903801199","Amphidium californicum","iNat record",2024-06-29,"2024","49.880483","-124.560708"
"4872620535","Amphidium californicum","iNat record",2024-05-26,"2024","49.581387","-125.217905"
"4535808315","Amphidium californicum","iNat record",2024-02-19,"2024","49.707002","-124.491455"
"4046286278","Amphidium californicum","iNat record",2023-02-21,"2023","48.827412","-123.589436"
"5140369125","Amphidium californicum","iNat record",2025-04-25,"2025","49.335003","-123.408249"
"4852634487","Amphidium californicum","iNat record",2024-04-29,"2024","49.334976","-123.408096"
"4855394641","Amphidium californicum","iNat record",2024-04-22,"2024","50.103389","-125.229745"
"4952536941","Amphidium californicum","iNat record",2024-10-05,"2024","49.357693","-124.734061"
"4405379497","Amphidium californicum","iNat record",2023-08-28,"2023","48.457882","-123.324019"
"2597887531","Amphidium californicum","iNat record",2020-04-05,"2020","48.417005","-123.341632"
"4852029890","Amphidium californicum","iNat record",2024-04-23,"2024","50.131835","-125.13074"
"5140348008","Amphidium californicum","iNat record",2025-04-25,"2025","49.335003","-123.408249"
"4519187580","Amphidium californicum","iNat record",2024-01-31,"2024","48.455822","-123.482263"
"5140170995","Amphidium californicum","iNat record",2025-04-21,"2025","48.835725","-123.592134"
"3097354394","Amphidium californicum","iNat record",2021-04-20,"2021","49.747282","-125.124466"
"4522607690","Amphidium californicum","iNat record",2024-02-07,"2024","50.096463","-125.244143"
"4936891203","Amphidium californicum","iNat record",2024-04-26,"2024","49.061288","-122.211495"
"4510337836","Amphidium californicum","iNat record",2022-11-11,"2022","48.811478","-123.540536"
"4952349487","Amphidium californicum","iNat record",2024-09-30,"2024","49.346955","-123.019654"
"4978584601","Amphidium californicum","iNat record",2024-10-26,"2024","49.306973","-122.928123"
"5140364860","Amphidium californicum","iNat record",2025-04-25,"2025","49.056796","-122.225217"
"4952945423","Amphidium californicum","iNat record",2024-09-30,"2024","49.346382","-123.019173"
