"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989145692","Aulacomnium palustre","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1989541563","Aulacomnium palustre","Herbarium record",1966-06-25,"1966","53.333333","-132.25"
"1988877740","Aulacomnium palustre","Herbarium record",1940-08-04,"1940","60.0","-124.0"
"1805301029","Aulacomnium palustre","Herbarium record",1890-08-07,"1890","51.283333","-117.516667"
"1805302586","Aulacomnium palustre","Herbarium record",1966-06-25,"1966","53.333333","-132.25"
"5196071517","Aulacomnium palustre","Herbarium record",1994-09-24,"1994","51.75","-120.083333"
"4856472224","Aulacomnium palustre","Herbarium record",2000-05-11,"2000","49.316667","-122.3"
"4856370157","Aulacomnium palustre","Herbarium record",1965-07-02,"1965","52.4","-126.45"
"2252137187","Aulacomnium palustre","Herbarium record",1949-08-20,"1949","50.28333","-121.75"
"2252138913","Aulacomnium palustre","Herbarium record",1965-06-19,"1965","53.833333","-122.666667"
"2252138647","Aulacomnium palustre","Herbarium record",1949-08-20,"1949","50.283333","-121.75"
"2252137434","Aulacomnium palustre","Herbarium record",1977-07-31,"1977","58.816667","-122.533333"
"2252138578","Aulacomnium palustre","Herbarium record",1977-08-04,"1977","57.81667","-126.38333"
"2828867649","Aulacomnium palustre","Herbarium record",1989-05-03,"1989","49.1","-123.933333"
"2830771707","Aulacomnium palustre","Herbarium record",1989-05-03,"1989","49.1","-123.933333"
"3416740060","Aulacomnium palustre","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"2005524177","Aulacomnium palustre","Herbarium record",1965-07-28,"1965","55.95","-122.166667"
"2005524405","Aulacomnium palustre","Herbarium record",1943-06-11,"1943","57.083333","-122.583333"
"2005524201","Aulacomnium palustre","Herbarium record",1909-06-22,"1909","50.783798","-119.714108"
"2005524287","Aulacomnium palustre","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2005524192","Aulacomnium palustre","Herbarium record",1927-07-06,"1927","49.916667","-117.4"
"2005524422","Aulacomnium palustre","Herbarium record",1926-09-01,"1926","49.916667","-117.4"
"2005524266","Aulacomnium palustre","Herbarium record",1935-08-21,"1935","49.45","-120.35"
"2005524124","Aulacomnium palustre","Herbarium record",1971-07-04,"1971","52.266667","-131.316667"
"2005524317","Aulacomnium palustre","Herbarium record",1966-06-25,"1966","53.333333","-132.25"
"2005524181","Aulacomnium palustre","Herbarium record",1927-04-17,"1927","50.516667","-117.9"
"2005524353","Aulacomnium palustre","Herbarium record",1911-05-31,"1911","53.266667","-126.06667"
"2005524166","Aulacomnium palustre","Herbarium record",1928-07-19,"1928","50.533333","-116.06667"
"2005524295","Aulacomnium palustre","Herbarium record",1977-07-31,"1977","58.816667","-122.533333"
"2005524411","Aulacomnium palustre","Herbarium record",,"1927","50.516667","-117.9"
"2005524363","Aulacomnium palustre","Herbarium record",1927-07-06,"1927","49.916667","-117.4"
"2005524511","Aulacomnium palustre","Herbarium record",1926-04-15,"1926","50.516667","-117.9"
"2005524209","Aulacomnium palustre","Herbarium record",1911-05-31,"1911","53.266667","-126.06667"
"2005524408","Aulacomnium palustre","Herbarium record",1964-08-31,"1964","49.316667","-117.666667"
"4076831905","Aulacomnium palustre","Herbarium record",1957-06-12,"1957","57.539095","-122.926839"
