"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005527207","Brachythecium acutum","Herbarium record",1927-09-24,"1927","49.983333","-117.366667"
"2005527107","Brachythecium acutum","Herbarium record",1927-09-15,"1927","49.983333","-117.366667"
"2005527132","Brachythecium acutum","Herbarium record",1928-09-19,"1928","50.666667","-120.333333"
"2005527200","Brachythecium acutum","Herbarium record",,"1928","51.516667","-120.733333"
"2005527114","Brachythecium acutum","Herbarium record",1927-09-24,"1927","49.983333","-117.366667"
"4076847761","Brachythecium acutum","Herbarium record",1927-09-25,"1927","49.983333","-117.366667"
"1804497865","Brachythecium acutum","Herbarium record",1890-05-05,"1890","50.9833","-118.2"
"1804503738","Brachythecium acutum","Herbarium record",1889-07-19,"1889","50.8333","-118.983"
"2266043622","Brachythecium acutum","Herbarium record",1901-09-14,"1901","49.616667","-125.016667"
"2573249939","Brachythecium acutum","Herbarium record",1901-09-14,"1901","49.623497","-125.02003"
"1851035258","Brachythecium acutum","Herbarium record",1927-09-24,"1927","49.990949","-117.373018"
"3436783856","Brachythecium acutum","Herbarium record",1889-07-19,"1889","50.83717","-118.98052"
"4851118185","Brachythecium acutum","Herbarium record",1910-07-22,"1910","50.666667","-120.333333"
"1994032210","Brachythecium acutum","Herbarium record",1964-07-07,"1964","49.243412","-119.816667"
"1987878325","Brachythecium acutum","Herbarium record",2012-12-04,"2012","51.58","-119.72"
"1987858949","Brachythecium acutum","Herbarium record",2012-10-19,"2012","48.53","-123.42"
"1987901316","Brachythecium acutum","Herbarium record",2005-07-22,"2005","51.79","-119.92"
"1805289143","Brachythecium acutum","Herbarium record",1927-09-24,"1927","49.983333","-117.366667"
"1929235847","Brachythecium acutum","Herbarium record",2012-04-07,"2012","51.87","-120.02"
"1987847754","Brachythecium acutum","Herbarium record",2013-09-14,"2013","51.64","-120.03"
