"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252141973","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"2517172913","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.96667","-123.15"
"2005531624","Buxbaumia piperi","Herbarium record",1925-05-17,"1925","53.916667","-122.68333"
"2005531577","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"4076847859","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"2028180699","Buxbaumia piperi","Herbarium record",1980-09-14,"1980","49.333333","-122.5"
"2028292290","Buxbaumia piperi","Herbarium record",1980-08-23,"1980","50.0","-123.0"
"2028236273","Buxbaumia piperi","Herbarium record",2001-08-17,"2001","50.25","-123.5"
"1804531075","Buxbaumia piperi","Herbarium record",1978-07-10,"1978","49.1667","-117.167"
"1804542138","Buxbaumia piperi","Herbarium record",1977-07-19,"1977","49.8333","-117.583"
"1804394350","Buxbaumia piperi","Herbarium record",1977-07-17,"1977","49.8333","-117.25"
"1804378101","Buxbaumia piperi","Herbarium record",1958-07-24,"1958","53.0667","-121.1"
"1804454663","Buxbaumia piperi","Herbarium record",1978-07-30,"1978","50.3833","-117.667"
"1804483799","Buxbaumia piperi","Herbarium record",1977-07-04,"1977","49.4167","-117.917"
"1804489640","Buxbaumia piperi","Herbarium record",1983-09-29,"1983","49.5833","-123.083"
"1804611410","Buxbaumia piperi","Herbarium record",1977-07-29,"1977","49.75","-116.917"
"1804398726","Buxbaumia piperi","Herbarium record",1977-07-19,"1977","49.8333","-117.583"
"1804592596","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.9667","-123.15"
"1804594639","Buxbaumia piperi","Herbarium record",1978-07-31,"1978","50.6667","-118.0"
"5076354484","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"2266043041","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.96667","-123.15"
"415715462","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"4849627788","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"3820669342","Buxbaumia piperi","Herbarium record",1979-10-07,"1979","49.966667","-123.15"
"4851112780","Buxbaumia piperi","Herbarium record",1961-07-29,"1961","51.139418","-117.858094"
"92574600","Buxbaumia piperi","OCCURRENCE",1979-10-07,"1979","49.96","-123.15"
"1987928895","Buxbaumia piperi","Herbarium record",1978-08-06,"1978","51.1","-117.6"
"1987915825","Buxbaumia piperi","Herbarium record",1978-02-06,"1978","49.5","-117.29"
"1987773502","Buxbaumia piperi","Herbarium record",1965-09-03,"1965","59.55","-122.2"
"1987918294","Buxbaumia piperi","Herbarium record",1982-07-18,"1982","49.1","-121.8"
"1987857057","Buxbaumia piperi","Herbarium record",1965-09-03,"1965","59.55","-122.2"
"1987926065","Buxbaumia piperi","Herbarium record",1980-07-02,"1980","49.1","-124.8"
