"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805429766","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"2252143953","Campylopus fragilis","Herbarium record",1964-09-12,"1964","53.019167","-132.085555"
"2252143965","Campylopus fragilis","Herbarium record",1966-06-19,"1966","52.166667","-128.083333"
"2252143202","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"2252144666","Campylopus fragilis","Herbarium record",1971-07-03,"1971","52.0","-131.05"
"2005533156","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.265003","-125.704256"
"2005533089","Campylopus fragilis","Herbarium record",1961-11-12,"1961","49.333333","-122.95"
"2005533144","Campylopus fragilis","Herbarium record",1964-09-12,"1964","53.019167","-132.085555"
"2005533170","Campylopus fragilis","Herbarium record",1969-02-27,"1969","50.183333","-125.083333"
"4995087327","Campylopus fragilis","Herbarium record",1990-04-29,"1990","49.1","-123.933333"
"4076817162","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"4076817164","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"4076818611","Campylopus fragilis","Herbarium record",1974-05-09,"1974","48.82997","-125.141535"
"2028299205","Campylopus fragilis","Herbarium record",1986-07-26,"1986","50.2","-124.833333"
"2028208239","Campylopus fragilis","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"2028234820","Campylopus fragilis","Herbarium record",1967-06-21,"1967","53.25","-132.55"
"2028210491","Campylopus fragilis","Herbarium record",1986-07-28,"1986","50.466667","-125.566667"
"2028241002","Campylopus fragilis","Herbarium record",2001-08-23,"2001","49.133333","-122.966667"
"2028277233","Campylopus fragilis","Herbarium record",1968-08-04,"1968","52.666667","-131.983333"
"2028178882","Campylopus fragilis","Herbarium record",1966-07-02,"1966","53.583333","-132.916667"
"2028217476","Campylopus fragilis","Herbarium record",1980-07-09,"1980","52.666667","-132.0"
"2028222647","Campylopus fragilis","Herbarium record",1964-06-10,"1964","52.616667","-131.75"
"2028249105","Campylopus fragilis","Herbarium record",,"1977","53.583333","-132.916667"
"5076447988","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.23333","-125.38333"
"5076447989","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"2266049099","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"286824843","Campylopus fragilis","Herbarium record",1961-11-12,"1961","49.333333","-122.966667"
"4849575596","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
"3820680174","Campylopus fragilis","Herbarium record",1962-07-21,"1962","49.233333","-125.383333"
