"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805301566","Cephalozia bicuspidata","Herbarium record",1909-05-12,"1909","48.933333","-125.516667"
"1805290460","Cephalozia bicuspidata","Herbarium record",1901-06-26,"1901","48.55","-124.416667"
"1805301657","Cephalozia bicuspidata","Herbarium record",,"1902","48.55","-124.416667"
"1805300147","Cephalozia bicuspidata","Herbarium record",1901-07-08,"1901","48.55","-124.416667"
"1805294224","Cephalozia bicuspidata","Herbarium record",,"1889","51.25","-118.55"
"1805303264","Cephalozia bicuspidata","Herbarium record",1901-06-26,"1901","48.55","-124.416667"
"1805293730","Cephalozia bicuspidata","Herbarium record",,"1902","49.20301","-122.914499"
"1805296965","Cephalozia bicuspidata","Herbarium record",1910-07-01,"1910","53.25","-132.0"
"1805292260","Cephalozia bicuspidata","Herbarium record",1906-06-27,"1906","48.55","-124.416667"
"1805301882","Cephalozia bicuspidata","Herbarium record",1914-05-24,"1914","48.65","-123.416667"
"1805293287","Cephalozia bicuspidata","Herbarium record",1909-05-05,"1909","48.933333","-125.516667"
"1805293991","Cephalozia bicuspidata","Herbarium record",1901-07-06,"1901","48.55","-124.416667"
"1805299917","Cephalozia bicuspidata","Herbarium record",1887-05-02,"1887","49.683","-125.933"
"1805302411","Cephalozia bicuspidata","Herbarium record",,"1889","49.283333","-123.08333"
"1805299817","Cephalozia bicuspidata","Herbarium record",1909-06-04,"1909","48.933333","-125.516667"
"5196130664","Cephalozia bicuspidata","Herbarium record",1999-05-15,"1999","48.816667","-124.133333"
"5196130668","Cephalozia bicuspidata","Herbarium record",1998-06-19,"1998","49.366667","-123.166667"
"2252144432","Cephalozia bicuspidata","Herbarium record",1954-07-26,"1954","51.25","-118.166667"
"2252147000","Cephalozia bicuspidata","Herbarium record",1977-07-24,"1977","49.833333","-117.2"
"2252145865","Cephalozia bicuspidata","Herbarium record",1979-09-07,"1979","51.58333","-118.08333"
"4141787869","Cephalozia bicuspidata","Herbarium record",1980-04-04,"1980","49.333333","-123.166667"
"3416717575","Cephalozia bicuspidata","Herbarium record",2002-07-20,"2002","54.066667","-131.783333"
"3416704843","Cephalozia bicuspidata","Herbarium record",1987-07-10,"1987","49.671498","-122.07292"
"3416704869","Cephalozia bicuspidata","Herbarium record",1988-07-28,"1988","53.103333","-131.945"
"2005599246","Cephalozia bicuspidata","Herbarium record",1887-04-29,"1887","49.683333","-124.933333"
"2005597834","Cephalozia bicuspidata","Herbarium record",1980-04-04,"1980","49.19264","-122.999231"
"2005598031","Cephalozia bicuspidata","Herbarium record",1964-09-09,"1964","54.252533","-130.208089"
"2005598062","Cephalozia bicuspidata","Herbarium record",1964-09-09,"1964","54.249966","-130.203694"
"2005598092","Cephalozia bicuspidata","Herbarium record",1964-09-09,"1964","54.255421","-130.216329"
"3332788651","Cephalozia bicuspidata","Herbarium record",1970-07-13,"1970","49.633333","-124.033333"
"4076852373","Cephalozia bicuspidata","Herbarium record",1980-04-04,"1980","49.333333","-123.166667"
"2028301155","Cephalozia bicuspidata","Herbarium record",1979-08-09,"1979","50.3","-127.3"
"2028204168","Cephalozia bicuspidata","Herbarium record",1984-06-13,"1984","51.166667","-116.15"
"2028253834","Cephalozia bicuspidata","Herbarium record",1979-07-12,"1979","52.666667","-132.0"
"2028313061","Cephalozia bicuspidata","Herbarium record",1984-08-09,"1984","50.216667","-127.716667"
"2028157553","Cephalozia bicuspidata","Herbarium record",2005-03-06,"2005","49.733333","-123.9"
"2028187072","Cephalozia bicuspidata","Herbarium record",2007-03-06,"2007","49.303611","-123.156389"
"1804445338","Cephalozia bicuspidata","Herbarium record",1977-07-30,"1977","57.6664382","-126.7513656"
"1804545546","Cephalozia bicuspidata","Herbarium record",1964-06-07,"1964","54.0440314","-131.8593657"
"5076355560","Cephalozia bicuspidata","Herbarium record",,"1909","48.46","-123.55"
"5076355561","Cephalozia bicuspidata","Herbarium record",,"1889","51.06","-118.52"
"5076355944","Cephalozia bicuspidata","Herbarium record",1980-04-04,"1980","49.333333","-123.166667"
"5076356159","Cephalozia bicuspidata","Herbarium record",,"1902","49.216667","-122.916667"
"5101191526","Cephalozia bicuspidata","Herbarium record",1961-07-23,"1961","52.0","-120.0"
"1949666121","Cephalozia bicuspidata","Herbarium record",1988-07-26,"1988","54.067778","-131.783889"
"1949668550","Cephalozia bicuspidata","Herbarium record",2000-07-10,"2000","53.883333","-131.916667"
"1949666033","Cephalozia bicuspidata","Herbarium record",1986-08-05,"1986","50.05","-122.916667"
"1949666037","Cephalozia bicuspidata","Herbarium record",1987-07-11,"1987","49.716667","-125.3"
"1949665944","Cephalozia bicuspidata","Herbarium record",1986-08-05,"1986","50.05","-122.916667"
"1949665981","Cephalozia bicuspidata","Herbarium record",1988-07-26,"1988","53.683333","-132.05"
"1949666079","Cephalozia bicuspidata","Herbarium record",1988-07-26,"1988","53.683333","-132.05"
"1949666655","Cephalozia bicuspidata","Herbarium record",1972-10-16,"1972","49.966667","-126.95"
"1949666236","Cephalozia bicuspidata","Herbarium record",1988-07-26,"1988","54.067778","-131.783889"
"1949666430","Cephalozia bicuspidata","Herbarium record",1988-07-26,"1988","54.067778","-131.783889"
"1949668408","Cephalozia bicuspidata","Herbarium record",2000-07-10,"2000","53.883333","-131.916667"
"1949668615","Cephalozia bicuspidata","Herbarium record",2000-07-10,"2000","53.883333","-131.916667"
"1949668285","Cephalozia bicuspidata","Herbarium record",2000-07-10,"2000","53.883333","-131.916667"
"1949667381","Cephalozia bicuspidata","Herbarium record",1997-07-14,"1997","53.583333","-132.816667"
"332943671","Cephalozia bicuspidata","Herbarium record",1945-09-16,"1945","49.716667","-125.166667"
"4849589751","Cephalozia bicuspidata","Herbarium record",1980-04-04,"1980","49.333333","-123.166667"
"4849589753","Cephalozia bicuspidata","Herbarium record",1945-09-16,"1945","49.716667","-125.166667"
"2005598063","Cephalozia bicuspidata","Herbarium record",1889-08-01,"1889","50.833558","-120.42829"
"1949666105","Cephalozia bicuspidata","Herbarium record",1988-07-26,"1988","54.067778","-131.783889"
"1949668109","Cephalozia bicuspidata","Herbarium record",1998-07-13,"1998","53.583333","-132.916667"
"3820669149","Cephalozia bicuspidata","Herbarium record",1969-07-16,"1969","49.333333","-124.5"
"3820670188","Cephalozia bicuspidata","Herbarium record",1969-07-16,"1969","49.333333","-124.5"
"1269731275","Cephalozia bicuspidata","Herbarium record",1984-06-13,"1984","51.166667","-116.15"
"3470117794","Cephalozia bicuspidata","Herbarium record",1984-06-13,"1984","51.166667","-116.15"
"4851109307","Cephalozia bicuspidata","Herbarium record",1969-08-01,"1969","59.683333","-135.083333"
"4851109501","Cephalozia bicuspidata","Herbarium record",1969-07-16,"1969","49.3333","-124.5"
"4851109573","Cephalozia bicuspidata","Herbarium record",1969-07-16,"1969","49.3333","-124.5"
"4851111930","Cephalozia bicuspidata","Herbarium record",1902-03-01,"1902","49.216667","-122.916667"
"4851112600","Cephalozia bicuspidata","Herbarium record",1992-08-02,"1992","53.34419","-132.38008"
"4851112602","Cephalozia bicuspidata","Herbarium record",1992-08-02,"1992","53.34419","-132.38009"
"4851114360","Cephalozia bicuspidata","Herbarium record",1992-08-02,"1992","53.34419","-132.38008"
"4851114497","Cephalozia bicuspidata","Herbarium record",1992-08-02,"1992","53.34419","-132.38008"
"4851114512","Cephalozia bicuspidata","Herbarium record",1992-08-03,"1992","53.60238","-132.875"
"4851115224","Cephalozia bicuspidata","Herbarium record",1992-07-25,"1992","54.066667","-131.783333"
"4851115284","Cephalozia bicuspidata","Herbarium record",1992-07-25,"1992","54.066667","-131.783333"
"4851115387","Cephalozia bicuspidata","Herbarium record",1992-07-25,"1992","54.066667","-131.783333"
"4851115425","Cephalozia bicuspidata","Herbarium record",1992-08-02,"1992","53.34419","-132.38009"
"4851116121","Cephalozia bicuspidata","Herbarium record",1992-07-25,"1992","54.183333","-131.65"
"4077720310","Cephalozia bicuspidata","Herbarium record",,"1909","48.46","-123.55"
"1987905470","Cephalozia bicuspidata","Herbarium record",1980-04-16,"1980","49.7","-123.2"
"1987899217","Cephalozia bicuspidata","Herbarium record",1974-05-28,"1974","49.7","-123.1"
"1987894547","Cephalozia bicuspidata","Herbarium record",1966-07-03,"1966","53.2","-132.4"
"1987894103","Cephalozia bicuspidata","Herbarium record",1974-06-17,"1974","49.1","-121.8"
"1987844497","Cephalozia bicuspidata","Herbarium record",1975-09-08,"1975","50.0","-123.1"
"1987838587","Cephalozia bicuspidata","Herbarium record",2001-05-22,"2001","49.7","-123.3"
"1987824769","Cephalozia bicuspidata","Herbarium record",1986-07-27,"1986","50.5","-125.7"
"1987824191","Cephalozia bicuspidata","Herbarium record",1974-05-01,"1974","49.1","-125.6"
"1987805333","Cephalozia bicuspidata","Herbarium record",1965-04-23,"1965","48.6","-123.4"
"1987799713","Cephalozia bicuspidata","Herbarium record",2017-08-19,"2017","49.28","-122.85"
"1987792423","Cephalozia bicuspidata","Herbarium record",1979-07-12,"1979","52.8","-132.0"
"1987754120","Cephalozia bicuspidata","Herbarium record",1970-06-10,"1970","49.6","-126.3"
"1987725167","Cephalozia bicuspidata","Herbarium record",1974-08-31,"1974","50.5","-123.6"
"1987892456","Cephalozia bicuspidata","Herbarium record",1975-10-26,"1975","49.1","-121.5"
"1987891152","Cephalozia bicuspidata","Herbarium record",1986-07-27,"1986","50.5","-125.7"
"1987870163","Cephalozia bicuspidata","Herbarium record",1975-07-13,"1975","49.5","-123.2"
"1987869578","Cephalozia bicuspidata","Herbarium record",1969-07-30,"1969","49.1","-125.7"
"4899444794","Cephalozia bicuspidata","Herbarium record",1978-06-08,"1978","50.166667","-127.833333"
"1987797174","Cephalozia bicuspidata","Herbarium record",1974-04-07,"1974","49.2","-122.6"
"1987934032","Cephalozia bicuspidata","Herbarium record",2007-04-22,"2007","49.4383","-123.6676"
"1987920063","Cephalozia bicuspidata","Herbarium record",1971-04-21,"1971","50.6","-127.4"
"1987898926","Cephalozia bicuspidata","Herbarium record",1966-07-06,"1966","52.3","-131.5"
"1987876099","Cephalozia bicuspidata","Herbarium record",1975-08-15,"1975","50.2","-127.8"
"1987869278","Cephalozia bicuspidata","Herbarium record",2001-11-18,"2001","50.2","-124.0"
"1987862580","Cephalozia bicuspidata","Herbarium record",1974-06-12,"1974","49.4","-121.9"
"1987842729","Cephalozia bicuspidata","Herbarium record",1974-07-19,"1974","49.4","-123.0"
"1987830840","Cephalozia bicuspidata","Herbarium record",1975-06-01,"1975","49.4","-122.0"
"1987822931","Cephalozia bicuspidata","Herbarium record",1970-06-16,"1970","49.8","-126.1"
"1987797345","Cephalozia bicuspidata","Herbarium record",1961-08-23,"1961","53.0","-132.3"
"1987779118","Cephalozia bicuspidata","Herbarium record",2016-05-30,"2016","50.65","-126.95"
"1987775264","Cephalozia bicuspidata","Herbarium record",1981-08-22,"1981","50.2","-127.8"
"1987914890","Cephalozia bicuspidata","Herbarium record",1970-06-10,"1970","49.6","-126.3"
"1987911598","Cephalozia bicuspidata","Herbarium record",1970-07-11,"1970","50.4","-126.0"
"1987896800","Cephalozia bicuspidata","Herbarium record",1982-05-21,"1982","49.1","-123.0"
"1987875327","Cephalozia bicuspidata","Herbarium record",1978-04-02,"1978","49.7","-123.2"
"1987839244","Cephalozia bicuspidata","Herbarium record",1971-08-10,"1971","50.2","-127.8"
"1987833973","Cephalozia bicuspidata","Herbarium record",1962-06-21,"1962","49.7","-124.4"
"1987742179","Cephalozia bicuspidata","Herbarium record",1975-07-13,"1975","49.5","-123.2"
"1987743746","Cephalozia bicuspidata","Herbarium record",1979-07-12,"1979","52.8","-132.0"
"1987930801","Cephalozia bicuspidata","Herbarium record",1969-08-03,"1969","48.8","-125.1"
"1987900829","Cephalozia bicuspidata","Herbarium record",2010-08-22,"2010","49.75","-126.49"
"1987850947","Cephalozia bicuspidata","Herbarium record",1961-05-24,"1961","54.2","-133.0"
"1987850928","Cephalozia bicuspidata","Herbarium record",1974-05-08,"1974","48.8","-125.1"
"1987806302","Cephalozia bicuspidata","Herbarium record",1969-06-02,"1969","48.5","-123.6"
"1987789884","Cephalozia bicuspidata","Herbarium record",1974-04-29,"1974","49.1","-125.7"
"1987784784","Cephalozia bicuspidata","Herbarium record",2015-05-31,"2015","49.1","-117.7"
"1987781771","Cephalozia bicuspidata","Herbarium record",1979-06-21,"1979","53.8","-130.2"
"1987760811","Cephalozia bicuspidata","Herbarium record",1969-01-07,"1969","49.3","-122.9"
"1987759684","Cephalozia bicuspidata","Herbarium record",1980-06-03,"1980","49.7","-123.2"
"1987753271","Cephalozia bicuspidata","Herbarium record",1969-08-03,"1969","48.8","-125.1"
"1987739743","Cephalozia bicuspidata","Herbarium record",1979-09-07,"1979","51.6","-118.1"
