"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1987882888","Cephaloziella turneri","Herbarium record",2015-08-02,"2015","49.62","-116.99"
"1987772531","Cephaloziella turneri","Herbarium record",1975-07-09,"1975","49.6","-124.0"
"1987742882","Cephaloziella turneri","Herbarium record",1980-03-30,"1980","49.3","-122.8"
"1987904985","Cephaloziella turneri","Herbarium record",1950-08-04,"1950","49.1","-124.2"
"1987750633","Cephaloziella turneri","Herbarium record",1950-07-13,"1950","49.1","-124.4"
"4899445461","Cephaloziella turneri","Herbarium record",2024-04-22,"2024","50.1025","-125.229722"
"1987847728","Cephaloziella turneri","Herbarium record",1962-03-21,"1962","49.3","-122.9"
"1987913503","Cephaloziella turneri","Herbarium record",1977-05-26,"1977","50.5","-125.3"
"1987892551","Cephaloziella turneri","Herbarium record",1962-03-21,"1962","49.3","-122.9"
"4145802686","Cephaloziella turneri","iNat record",2023-07-01,"2023","49.333819","-123.267639"
"3469004608","Cephaloziella turneri","iNat record",2022-02-06,"2022","49.068512","-123.951935"
"3301967378","Cephaloziella turneri","iNat record",2021-05-27,"2021","50.101492","-125.038618"
"4852847695","Cephaloziella turneri","iNat record",2024-04-22,"2024","50.101337","-125.229284"
"4103254702","Cephaloziella turneri","iNat record",2023-04-29,"2023","48.31427","-123.649178"
"3759166589","Cephaloziella turneri","iNat record",2021-05-27,"2021","50.08782","-125.001468"
"4852002621","Cephaloziella turneri","iNat record",2024-04-23,"2024","50.131835","-125.13074"
"3044920432","Cephaloziella turneri","iNat record",2020-01-17,"2020","49.373843","-123.287007"
"4952447981","Cephaloziella turneri","iNat record",2024-09-30,"2024","49.342826","-123.016433"
"4875173099","Cephaloziella turneri","iNat record",2024-05-31,"2024","49.402197","-124.725672"
"4855301959","Cephaloziella turneri","iNat record",2024-04-22,"2024","50.103222","-125.229796"
"3469013711","Cephaloziella turneri","iNat record",2022-02-06,"2022","49.068512","-123.951935"
"1987771328","Cephaloziella turneri","Herbarium record",1961-11-12,"1961","49.3","-122.9"
"1987768410","Cephaloziella turneri","Herbarium record",1962-06-22,"1962","49.3","-122.9"
"1987902090","Cephaloziella turneri","Herbarium record",1962-03-21,"1962","49.3","-122.9"
"1987775699","Cephaloziella turneri","Herbarium record",2013-09-21,"2013","49.8","-123.8"
"1987867685","Cephaloziella turneri","Herbarium record",1974-05-09,"1974","48.8","-125.1"
"1987816912","Cephaloziella turneri","Herbarium record",2016-05-30,"2016","50.62","-126.89"
"1987734280","Cephaloziella turneri","Herbarium record",1974-05-01,"1974","49.3","-124.5"
"1987843229","Cephaloziella turneri","Herbarium record",1977-05-26,"1977","50.3","-125.3"
"1987897717","Cephaloziella turneri","Herbarium record",2018-04-27,"2018","48.39","-123.6"
"1987738871","Cephaloziella turneri","Herbarium record",1974-06-26,"1974","49.5","-125.5"
"4855165966","Cephaloziella turneri","iNat record",2024-04-23,"2024","50.129938","-125.130691"
