"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252147094","Codriophorus ryszardii","Herbarium record",1967-09-11,"1967","49.666667","-125.333333"
"2252145332","Codriophorus ryszardii","Herbarium record",1949-07-30,"1949","49.366667","-122.95"
"2252147048","Codriophorus ryszardii","Herbarium record",1966-07-03,"1966","53.166667","-132.416667"
"2252149655","Codriophorus ryszardii","Herbarium record",1961-09-15,"1961","49.388333","-122.940556"
"2028264171","Codriophorus ryszardii","Herbarium record",1977-05-25,"1977","50.3","-125.016667"
"2028165978","Codriophorus ryszardii","Herbarium record",1971-07-06,"1971","52.633333","-131.766667"
"2028189924","Codriophorus ryszardii","Herbarium record",1994-06-25,"1994","53.116667","-132.466667"
"1804398083","Codriophorus ryszardii","Herbarium record",1977-05-25,"1977","50.3","-125.017"
"1804553396","Codriophorus ryszardii","Herbarium record",1961-05-17,"1961","53.1667","-132.3"
"1804535149","Codriophorus ryszardii","Herbarium record",1961-05-17,"1961","53.15","-132.283"
"1804472986","Codriophorus ryszardii","Herbarium record",1986-08-03,"1986","51.6333","-128.1"
"1804488266","Codriophorus ryszardii","Herbarium record",1962-07-09,"1962","53.1167","-132.467"
"1804592376","Codriophorus ryszardii","Herbarium record",1971-07-07,"1971","52.75","-131.883"
"1804364079","Codriophorus ryszardii","Herbarium record",1967-07-29,"1967","52.75","-132.033"
"1804477013","Codriophorus ryszardii","Herbarium record",1966-07-03,"1966","53.1667","-132.417"
"1987858940","Codriophorus ryszardii","Herbarium record",1980-07-23,"1980","49.2","-125.0"
"1987802022","Codriophorus ryszardii","Herbarium record",1984-08-10,"1984","50.2","-127.8"
"1987833833","Codriophorus ryszardii","Herbarium record",1966-07-03,"1966","53.2","-132.4"
"1987777549","Codriophorus ryszardii","Herbarium record",1977-05-25,"1977","50.3","-125.0"
"1987928851","Codriophorus ryszardii","Herbarium record",1961-08-26,"1961","53.2","-132.3"
"1987906363","Codriophorus ryszardii","Herbarium record",1980-08-07,"1980","49.4","-123.0"
"1987834469","Codriophorus ryszardii","Herbarium record",1967-07-20,"1967","53.2","-132.5"
"1987808438","Codriophorus ryszardii","Herbarium record",1967-06-23,"1967","53.5","-132.7"
"1987763052","Codriophorus ryszardii","Herbarium record",1970-05-02,"1970","49.32","-123.07"
"1987753841","Codriophorus ryszardii","Herbarium record",1964-07-26,"1964","52.9","-132.1"
"1987842650","Codriophorus ryszardii","Herbarium record",1970-06-10,"1970","49.6","-126.3"
"1987912739","Codriophorus ryszardii","Herbarium record",1976-07-13,"1976","54.3","-130.2"
"4116319196","Codriophorus ryszardii","iNat record",2023-05-13,"2023","49.669493","-123.138277"
"3079898342","Codriophorus ryszardii","iNat record",2021-04-02,"2021","50.012997","-125.554392"
"3399334342","Codriophorus ryszardii","iNat record",2021-07-30,"2021","52.859889","-118.911056"
"2609270538","Codriophorus ryszardii","iNat record",2020-04-21,"2020","50.031808","-125.363652"
"2856795376","Codriophorus ryszardii","iNat record",2019-07-05,"2019","49.737817","-125.321358"
"2028204588","Codriophorus ryszardii","Herbarium record",1964-06-10,"1964","52.616667","-131.75"
"2028269839","Codriophorus ryszardii","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"2028151168","Codriophorus ryszardii","Herbarium record",1970-06-10,"1970","49.633333","-126.3"
"2028272625","Codriophorus ryszardii","Herbarium record",1966-06-30,"1966","52.983333","-132.083333"
"2028296084","Codriophorus ryszardii","Herbarium record",1969-10-02,"1969","49.633333","-126.466667"
