"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1257616970","Didymodon rigidulus","Herbarium record",1995-06-28,"1995","49.116667","-124.016667"
"1805299796","Didymodon rigidulus","Herbarium record",1889-04-17,"1889","50.233333","-121.566667"
"1805298644","Didymodon rigidulus","Herbarium record",,"1889","50.233333","-121.566667"
"2005525125","Didymodon rigidulus","Herbarium record",1928-06-11,"1928","50.833333","-119.0"
"2005525139","Didymodon rigidulus","Herbarium record",1925-06-11,"1925","50.833333","-119.0"
"2005525123","Didymodon rigidulus","Herbarium record",1928-06-05,"1928","50.740278","-120.117222"
"4076833291","Didymodon rigidulus","Herbarium record",1928-06-10,"1928","50.833333","-119.0"
"1804453683","Didymodon rigidulus","Herbarium record",1976-07-25,"1976","52.05","-118.5"
"5076431294","Didymodon rigidulus","Herbarium record",,"1889","50.23","-121.58"
"3353127601","Didymodon rigidulus","Herbarium record",1928-06-10,"1928","50.837833","-118.976817"
"3353127611","Didymodon rigidulus","Herbarium record",1928-06-10,"1928","50.837833","-118.976817"
"1987766577","Didymodon rigidulus","Herbarium record",1961-05-03,"1961","48.4","-123.9"
"1987762591","Didymodon rigidulus","Herbarium record",1984-05-15,"1984","51.9","-122.4"
"1987896774","Didymodon rigidulus","Herbarium record",1979-08-29,"1979","50.8","-121.2"
"1987755417","Didymodon rigidulus","Herbarium record",2011-05-25,"2011","51.8","-120.0"
"1987840156","Didymodon rigidulus","Herbarium record",1980-08-16,"1980","50.9","-120.3"
"4177153916","Didymodon rigidulus","iNat record",2023-08-03,"2023","50.051397","-122.946408"
"4453812778","Didymodon rigidulus","iNat record",2023-06-11,"2023","59.597472","-136.474958"
"4939280115","Didymodon rigidulus","Herbarium record",2008-03-10,"2008","56.264443","-121.218978"
"2028306321","Didymodon rigidulus","Herbarium record",1981-03-22,"1981","50.833333","-121.333333"
"1929965564","Didymodon rigidulus","Herbarium record",1914-04-02,"1914","48.435862","-123.411226"
"1987831920","Didymodon rigidulus","Herbarium record",1984-05-15,"1984","51.6","-122.3"
"1987834940","Didymodon rigidulus","Herbarium record",1981-03-22,"1981","50.8","-121.3"
"1987761923","Didymodon rigidulus","Herbarium record",1987-07-24,"1987","49.8","-119.5"
"1987890480","Didymodon rigidulus","Herbarium record",1969-07-03,"1969","48.8","-124.0"
"1987776053","Didymodon rigidulus","Herbarium record",1980-08-22,"1980","50.7","-121.3"
"1987730916","Didymodon rigidulus","Herbarium record",2006-10-26,"2006","49.4","-119.5"
"1804568654","Didymodon rigidulus","Herbarium record",1980-03-10,"1980","58.2","-128.483"
