"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1987786424","Diphyscium foliosum","Herbarium record",1985-08-08,"1985","53.6","-132.8"
"1987771600","Diphyscium foliosum","Herbarium record",1966-06-24,"1966","53.23","-132.33"
"1987933833","Diphyscium foliosum","Herbarium record",1986-08-11,"1986","53.5","-129.8"
"1261624493","Diphyscium foliosum","Herbarium record",1986-08-11,"1986","53.666667","-129.833056"
"2028183149","Diphyscium foliosum","Herbarium record",1986-08-11,"1986","53.45","-129.783333"
"2028303578","Diphyscium foliosum","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1261712043","Diphyscium foliosum","Herbarium record",1962-07-01,"1962","49.29972","-123.03305"
"1987738695","Diphyscium foliosum","Herbarium record",1964-08-01,"1964","53.1","-132.2"
"1987832035","Diphyscium foliosum","Herbarium record",1985-08-10,"1985","53.1","-132.0"
"1987882400","Diphyscium foliosum","Herbarium record",1986-08-08,"1986","52.6","-128.3"
