"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988810736","Distichium capillaceum","Herbarium record",1943-06-26,"1943","57.233333","-122.666667"
"1989380585","Distichium capillaceum","Herbarium record",1943-07-20,"1943","58.633333","-124.666667"
"1989102278","Distichium capillaceum","Herbarium record",1977-07-22,"1977","56.583333","-126.466667"
"2252151907","Distichium capillaceum","Herbarium record",1949-08-19,"1949","50.283333","-121.75"
"2252151704","Distichium capillaceum","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"3416722718","Distichium capillaceum","Herbarium record",1977-07-31,"1977","57.666667","-126.75"
"2005538690","Distichium capillaceum","Herbarium record",1927-08-28,"1927","51.4","-116.483333"
"2005538591","Distichium capillaceum","Herbarium record",1908-10-17,"1908","50.860556","-118.551389"
"2005538657","Distichium capillaceum","Herbarium record",1911-10-10,"1911","53.266667","-126.06667"
"2005538777","Distichium capillaceum","Herbarium record",1964-09-27,"1964","49.566667","-121.433333"
"2005538649","Distichium capillaceum","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"2005538827","Distichium capillaceum","Herbarium record",1943-07-20,"1943","58.633333","-124.666667"
"2005538597","Distichium capillaceum","Herbarium record",1974-06-29,"1974","58.616667","-124.716667"
"2005538629","Distichium capillaceum","Herbarium record",1964-09-12,"1964","53.25","-132.333333"
"2005538760","Distichium capillaceum","Herbarium record",1977-07-15,"1977","55.966667","-129.05"
"2005538717","Distichium capillaceum","Herbarium record",1963-06-06,"1963","49.383333","-123.383333"
"2005538628","Distichium capillaceum","Herbarium record",,"1924","53.116667","-119.133333"
"1948794589","Distichium capillaceum","Herbarium record",2010-07-08,"2010","49.963444","-121.480833"
"1439648887","Distichium capillaceum","Herbarium record",1995-08-03,"1995","53.033333","-119.216667"
"4076827002","Distichium capillaceum","Herbarium record",1977-07-26,"1977","57.43208","-126.724976"
"2028216080","Distichium capillaceum","Herbarium record",1976-07-17,"1976","58.666667","-125.8"
"2028222514","Distichium capillaceum","Herbarium record",1992-07-23,"1992","59.566667","-137.15"
"2028317754","Distichium capillaceum","Herbarium record",1943-06-17,"1943","56.916667","-122.166667"
"2028226255","Distichium capillaceum","Herbarium record",1977-07-04,"1977","49.416667","-117.916667"
"2028228642","Distichium capillaceum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2028153628","Distichium capillaceum","Herbarium record",,"1977","53.583333","-132.916667"
"2028157086","Distichium capillaceum","Herbarium record",1981-07-07,"1981","52.083333","-119.666667"
"2028227912","Distichium capillaceum","Herbarium record",1991-10-14,"1991","49.616667","-121.083333"
"2028304460","Distichium capillaceum","Herbarium record",1943-07-18,"1943","58.633333","-124.666667"
"2028243456","Distichium capillaceum","Herbarium record",,"1971","49.683333","-125.616667"
"2028229778","Distichium capillaceum","Herbarium record",1992-07-22,"1992","59.733333","-137.75"
"2028240801","Distichium capillaceum","Herbarium record",1976-07-17,"1976","58.666667","-124.65"
"2028264176","Distichium capillaceum","Herbarium record",1970-06-24,"1970","58.666667","-124.441667"
"2028296864","Distichium capillaceum","Herbarium record",,"1971","49.683333","-125.616667"
"2028177931","Distichium capillaceum","Herbarium record",1943-07-26,"1943","58.633333","-124.666667"
"2028214026","Distichium capillaceum","Herbarium record",1943-07-26,"1943","58.633333","-124.666667"
"2028278717","Distichium capillaceum","Herbarium record",1985-08-07,"1985","52.916667","-131.75"
"2028301630","Distichium capillaceum","Herbarium record",1994-09-23,"1994","51.866667","-120.05"
"2028311404","Distichium capillaceum","Herbarium record",1943-06-26,"1943","57.233333","-122.666667"
"2028316231","Distichium capillaceum","Herbarium record",1943-07-26,"1943","58.633333","-124.666667"
"2028165534","Distichium capillaceum","Herbarium record",1980-08-03,"1980","49.5","-120.583333"
