"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252149459","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"2252151385","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"2005544649","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.930833","-132.063056"
"2005544580","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.019167","-132.085555"
"2005544531","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.019167","-132.085555"
"2005544569","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.930833","-132.063056"
"2005544603","Geheebia gigantea","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005544539","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.019167","-132.085555"
"4076838072","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"2028288874","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"2028293564","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.083333","-132.0"
"2028296790","Geheebia gigantea","Herbarium record",1966-06-30,"1966","52.983333","-132.083333"
"2028215893","Geheebia gigantea","Herbarium record",1980-07-09,"1980","52.666667","-132.0"
"2028272425","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.133333","-132.083333"
"1804530577","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.033"
"1804483681","Geheebia gigantea","Herbarium record",1980-07-09,"1980","52.6667","-132.0"
"1804551346","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.1333","-132.083"
"1804472487","Geheebia gigantea","Herbarium record",1968-08-01,"1968","52.8333","-132.083"
"1804608875","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.7667","-131.867"
"4849649532","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"2005544504","Geheebia gigantea","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005544549","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.700205","-132.048955"
"1987912047","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.7","-131.8"
"1987863235","Geheebia gigantea","Herbarium record",1968-08-01,"1968","52.8","-132.1"
"1987863352","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.9","-132.1"
"1987872012","Geheebia gigantea","Herbarium record",1985-08-11,"1985","52.8","-132.1"
"1987824273","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.7","-131.8"
"1987784223","Geheebia gigantea","Herbarium record",1964-08-01,"1964","53.0","-132.1"
"1987765987","Geheebia gigantea","Herbarium record",1979-07-10,"1979","52.8","-132.0"
"1987720350","Geheebia gigantea","Herbarium record",1961-06-28,"1961","52.7","-132.0"
"1987865024","Geheebia gigantea","Herbarium record",1968-08-03,"1968","52.8","-132.0"
"1987882774","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987904050","Geheebia gigantea","Herbarium record",1994-06-28,"1994","53.1","-131.8"
"1987893394","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.1","-132.1"
"2028260853","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"2028277923","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.133333","-132.083333"
"2028205405","Geheebia gigantea","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"2028194851","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"2028286080","Geheebia gigantea","Herbarium record",1966-06-30,"1966","52.983333","-132.083333"
"2028255430","Geheebia gigantea","Herbarium record",1967-07-02,"1967","52.983333","-132.083333"
"3467205457","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.03"
"3467205457","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.03"
"1091091566","Geheebia gigantea","Herbarium record",1964-07-27,"1964","52.923647","-132.06202"
"1091091613","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"1989302967","Geheebia gigantea","Herbarium record",1971-07-07,"1971","52.766667","-131.866667"
"1928440602","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.13","-132.08"
"1929179272","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.03"
"1928838141","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.13","-132.08"
"1929293784","Geheebia gigantea","Herbarium record",1967-07-28,"1967","52.75","-132.03"
"1927774622","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.13","-132.08"
"1987928703","Geheebia gigantea","Herbarium record",1964-07-29,"1964","52.9","-132.1"
"1987768312","Geheebia gigantea","Herbarium record",1964-08-01,"1964","53.0","-132.1"
"1987767528","Geheebia gigantea","Herbarium record",1967-07-02,"1967","53.0","-132.1"
"1987743001","Geheebia gigantea","Herbarium record",1980-07-09,"1980","52.8","-132.1"
"1987883015","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.1","-132.0"
"1987776272","Geheebia gigantea","Herbarium record",1967-07-01,"1967","53.1","-132.1"
"1987846413","Geheebia gigantea","Herbarium record",1979-07-10,"1979","52.8","-132.0"
"1987789761","Geheebia gigantea","Herbarium record",1964-08-01,"1964","53.0","-132.1"
"1987884442","Geheebia gigantea","Herbarium record",1980-09-17,"1980","53.2","-132.5"
"1804390860","Geheebia gigantea","Herbarium record",1964-07-31,"1964","53.1333","-132.083"
"1804528697","Geheebia gigantea","Herbarium record",1966-06-30,"1966","52.9833","-132.083"
"1804603235","Geheebia gigantea","Herbarium record",1966-06-30,"1966","52.9833","-132.083"
"1804374603","Geheebia gigantea","Herbarium record",1985-08-18,"1985","53.0833","-132.0"
