"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805289999","Grimmia montana","Herbarium record",1890-06-09,"1890","49.666667","-118.15"
"1805297205","Grimmia montana","Herbarium record",1890-06-11,"1890","49.666667","-118.15"
"2517121329","Grimmia montana","Herbarium record",1998-07-08,"1998","50.68333","-120.33333"
"2516862358","Grimmia montana","Herbarium record",1998-07-08,"1998","50.68333","-120.33333"
"2515158333","Grimmia montana","Herbarium record",1998-06-29,"1998","50.68333","-120.33333"
"5076373987","Grimmia montana","Herbarium record",1980-06-09,"1980","49.416141","-118.03998"
"5076373993","Grimmia montana","Herbarium record",1890-06-11,"1890","49.416667","-118.05"
"1987848255","Grimmia montana","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987754358","Grimmia montana","Herbarium record",1980-08-06,"1980","49.4","-123.0"
"1987728545","Grimmia montana","Herbarium record",1976-05-20,"1976","49.3","-118.1"
"1987918390","Grimmia montana","Herbarium record",1976-07-29,"1976","49.4","-117.9"
"4513888552","Grimmia montana","Herbarium record",1977-05-13,"1977","49.166667","-117.0"
"1987800394","Grimmia montana","Herbarium record",1977-08-10,"1977","49.1","-116.6"
"1987794536","Grimmia montana","Herbarium record",1976-05-20,"1976","49.3","-118.1"
"1987830891","Grimmia montana","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987735388","Grimmia montana","Herbarium record",1976-07-30,"1976","49.1","-117.0"
"1987904099","Grimmia montana","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987753988","Grimmia montana","Herbarium record",1996-02-29,"1996","48.48","-123.54"
"1987877550","Grimmia montana","Herbarium record",1980-08-06,"1980","49.4","-123.0"
"1987865040","Grimmia montana","Herbarium record",2009-10-02,"2009","49.2","-119.84"
"1987847917","Grimmia montana","Herbarium record",1978-07-08,"1978","49.2","-117.6"
"1987808055","Grimmia montana","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987753427","Grimmia montana","Herbarium record",1970-05-12,"1970","48.6","-123.6"
"1987904988","Grimmia montana","Herbarium record",1926-06-18,"1926","49.99","-117.38"
"2028298005","Grimmia montana","Herbarium record",1976-05-20,"1976","49.25","-118.0"
"2028207289","Grimmia montana","Herbarium record",,"1971","49.683333","-125.616667"
"2028172397","Grimmia montana","Herbarium record",1970-05-12,"1970","48.633333","-123.633333"
"1805301573","Grimmia montana","Herbarium record",1890-06-09,"1890","49.666667","-118.15"
"1805294056","Grimmia montana","Herbarium record",1890-06-11,"1890","49.666667","-118.15"
"1929751669","Grimmia montana","Herbarium record",1890-06-09,"1890","49.42","-118.05"
"1930580053","Grimmia montana","Herbarium record",1890-06-20,"1890","49.42","-118.05"
"1930140114","Grimmia montana","Herbarium record",1890-06-11,"1890","49.42","-118.05"
"1987861878","Grimmia montana","Herbarium record",1969-07-08,"1969","49.0","-124.5"
"1987888937","Grimmia montana","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987747284","Grimmia montana","Herbarium record",1976-05-19,"1976","49.7","-116.8"
"1987859779","Grimmia montana","Herbarium record",1976-07-09,"1976","49.2","-117.6"
"1987815477","Grimmia montana","Herbarium record",2010-07-21,"2010","50.64","-121.343"
"1987784442","Grimmia montana","Herbarium record",1976-05-19,"1976","49.2","-117.3"
"1987768363","Grimmia montana","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987899413","Grimmia montana","Herbarium record",1999-05-14,"1999","48.7","-123.7"
