"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805285541","Marchantia romanica","Herbarium record",1915-08-30,"1915","49.468333","-125.510556"
"1987846400","Marchantia romanica","Herbarium record",1981-07-20,"1981","58.3","-129.5"
"1987918154","Marchantia romanica","Herbarium record",1981-07-21,"1981","58.3","-129.5"
"1805290934","Marchantia romanica","Herbarium record",1913-07-05,"1913","51.396666","-116.390277"
"1805290239","Marchantia romanica","Herbarium record",1913-07-05,"1913","51.396666","-116.390277"
"1805294879","Marchantia romanica","Herbarium record",1913-07-05,"1913","51.396666","-116.390277"
"1929266845","Marchantia romanica","Herbarium record",1981-07-22,"1981","58.33","-129.5"
"1987805998","Marchantia romanica","Herbarium record",1913-07-09,"1913","51.46","-116.33"
"1987912797","Marchantia romanica","Herbarium record",1981-07-22,"1981","58.3","-129.5"
"1987804113","Marchantia romanica","Herbarium record",1981-07-17,"1981","58.3","-129.5"
