"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252169036","Mnium marginatum","Herbarium record",1980-08-05,"1980","52.883333","-118.45"
"2252167882","Mnium marginatum","Herbarium record",1984-06-12,"1984","50.15","-115.483"
"2252168268","Mnium marginatum","Herbarium record",1979-06-27,"1979","54.283333","-130.333333"
"2005553481","Mnium marginatum","Herbarium record",1927-07-10,"1927","49.916667","-117.4"
"2005553528","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.569167","-126.449167"
"2005553594","Mnium marginatum","Herbarium record",1926-05-14,"1926","56.2","-126.85"
"2005553936","Mnium marginatum","Herbarium record",1926-07-15,"1926","49.916667","-117.4"
"4076805230","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1804566511","Mnium marginatum","Herbarium record",1984-06-12,"1984","50.15","-115.483"
"1804423344","Mnium marginatum","Herbarium record",1968-03-25,"1968","49.2330229","-121.7679613"
"1804602986","Mnium marginatum","Herbarium record",1976-06-10,"1976","49.1333","-121.95"
"1804610737","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.5833","-126.417"
"1804426003","Mnium marginatum","Herbarium record",1955-07-09,"1955","51.4308","-116.402"
"1804419494","Mnium marginatum","Herbarium record",1976-06-10,"1976","49.1333","-121.95"
"1804607057","Mnium marginatum","Herbarium record",1972-06-25,"1972","50.7167","-128.267"
"1804605989","Mnium marginatum","Herbarium record",1961-08-27,"1961","53.2057228","-132.0463407"
"1804499800","Mnium marginatum","Herbarium record",1976-07-29,"1976","49.3333","-117.917"
"1804495465","Mnium marginatum","Herbarium record",1979-07-01,"1979","55.7167","-121.217"
"1804540866","Mnium marginatum","Herbarium record",1962-06-16,"1962","50.3755266","-121.5809832"
"5076443829","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"5076443832","Mnium marginatum","Herbarium record",,"1927","49.916667","-117.4"
"2266066205","Mnium marginatum","Herbarium record",1980-08-04,"1980","53.066667","-119.216667"
"332955393","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"2005553882","Mnium marginatum","Herbarium record",1927-07-10,"1927","49.916667","-117.4"
"2005553848","Mnium marginatum","Herbarium record",1928-07-20,"1928","51.266667","-117.516667"
"1269733330","Mnium marginatum","Herbarium record",1988-05-07,"1988","49.766667","-119.75"
"4851116674","Mnium marginatum","Herbarium record",1927-07-10,"1927","49.916667","-117.4"
"4851115134","Mnium marginatum","Herbarium record",1961-07-29,"1961","51.0","-118.183333"
"1987929725","Mnium marginatum","Herbarium record",1961-05-16,"1961","53.3","-132.1"
"1987924018","Mnium marginatum","Herbarium record",1961-08-27,"1961","53.2","-132.1"
"1987790499","Mnium marginatum","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987836786","Mnium marginatum","Herbarium record",1964-10-16,"1964","49.97","-123.15"
"4899445181","Mnium marginatum","Herbarium record",2024-04-25,"2024","50.203889","-125.294444"
"1987841839","Mnium marginatum","Herbarium record",1966-06-29,"1966","53.1","-132.2"
"1987723611","Mnium marginatum","Herbarium record",1909-05-20,"1909","49.0","-125.6"
"1987918053","Mnium marginatum","Herbarium record",1966-06-29,"1966","53.1","-132.2"
"1987845575","Mnium marginatum","Herbarium record",1966-06-29,"1966","53.1","-132.2"
"1987927238","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.6","-126.4"
"1987902865","Mnium marginatum","Herbarium record",1961-05-16,"1961","53.3","-132.1"
"1987901701","Mnium marginatum","Herbarium record",1978-03-09,"1978","49.2","-117.1"
"1987815618","Mnium marginatum","Herbarium record",1965-05-05,"1965","49.25","-123.12"
"1987872220","Mnium marginatum","Herbarium record",1984-06-12,"1984","50.2","-115.5"
"1987855575","Mnium marginatum","Herbarium record",1961-05-20,"1961","53.5","-132.3"
"1091089795","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.58333","-126.41667"
"2028220386","Mnium marginatum","Herbarium record",1964-08-01,"1964","53.083333","-132.166667"
"3120865310","Mnium marginatum","Herbarium record",2017-07-18,"2017","52.906","-131.613"
"3467237529","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.58","-126.42"
"1805287872","Mnium marginatum","Herbarium record",1927-07-10,"1927","49.766667","-117.466667"
"1989320460","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1930261644","Mnium marginatum","Herbarium record",1976-06-10,"1976","49.13","-121.95"
"1929101365","Mnium marginatum","Herbarium record",1991-06-23,"1991","52.6","-118.87"
"1928475416","Mnium marginatum","Herbarium record",1927-07-10,"1927","49.922841","-117.409485"
"1931238654","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.58","-126.42"
"1987754939","Mnium marginatum","Herbarium record",1978-07-12,"1978","49.4","-117.3"
"1987781005","Mnium marginatum","Herbarium record",1964-08-01,"1964","53.1","-132.2"
"1987764658","Mnium marginatum","Herbarium record",1992-06-03,"1992","49.2","-121.7"
"1987728326","Mnium marginatum","Herbarium record",1976-07-29,"1976","49.4","-117.9"
"1987765385","Mnium marginatum","Herbarium record",2014-06-04,"2014","51.65793","-128.13295"
"1987765768","Mnium marginatum","Herbarium record",1961-08-22,"1961","53.1","-131.8"
"1987749728","Mnium marginatum","Herbarium record",1967-08-26,"1967","58.7","-124.7"
"1987928901","Mnium marginatum","Herbarium record",1961-08-23,"1961","53.0","-132.1"
"1987928392","Mnium marginatum","Herbarium record",2010-07-08,"2010","49.963","-121.48"
"1987791628","Mnium marginatum","Herbarium record",1964-06-05,"1964","53.3","-132.0"
"1804375787","Mnium marginatum","Herbarium record",1957-07-07,"1957","52.3568284","-131.1792908"
"2900315147","Mnium marginatum","Herbarium record",1977-07-19,"1977","56.58","-126.42"
