"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2028319512","Molendoa sendtneriana","Herbarium record",1897-08-20,"1897","49.6325","-114.6925"
"1804404199","Molendoa sendtneriana","Herbarium record",1977-07-26,"1977","57.4333","-126.85"
"1987768863","Molendoa sendtneriana","Herbarium record",1977-07-25,"1977","58.2","-124.5"
"1261800112","Molendoa sendtneriana","Herbarium record",1977-07-25,"1977","58.0","-125.0"
"1261800105","Molendoa sendtneriana","Herbarium record",1974-06-29,"1974","58.61666","-124.71666"
"2028295361","Molendoa sendtneriana","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"3467240542","Molendoa sendtneriana","Herbarium record",1977-07-26,"1977","57.43","-126.85"
"1989158212","Molendoa sendtneriana","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"1928271788","Molendoa sendtneriana","Herbarium record",1977-07-26,"1977","57.43","-126.85"
"1987858862","Molendoa sendtneriana","Herbarium record",1977-07-26,"1977","57.4","-126.9"
