"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989130073","Nyholmiella obtusifolia","Herbarium record",1973-05-10,"1973","49.816667","-119.366667"
"1805287650","Nyholmiella obtusifolia","Herbarium record",1890-05-03,"1890","51.0","-118.183333"
"1805291813","Nyholmiella obtusifolia","Herbarium record",1927-04-19,"1927","49.952778","-117.35833"
"2252168491","Nyholmiella obtusifolia","Herbarium record",1977-05-22,"1977","49.509722","-115.766667"
"2005555850","Nyholmiella obtusifolia","Herbarium record",1909-05-25,"1909","51.0","-119.0"
"2005555876","Nyholmiella obtusifolia","Herbarium record",1927-04-19,"1927","49.952778","-117.35833"
"2005555866","Nyholmiella obtusifolia","Herbarium record",1977-05-22,"1977","49.083333","-116.1"
"2005555871","Nyholmiella obtusifolia","Herbarium record",,"1926","49.983333","-117.366667"
"1844901461","Nyholmiella obtusifolia","Herbarium record",1978-06-15,"1978","49.616667","-117.116667"
"2028230056","Nyholmiella obtusifolia","Herbarium record",1976-05-17,"1976","50.916667","-118.833333"
"2028240318","Nyholmiella obtusifolia","Herbarium record",1997-09-27,"1997","50.966667","-118.666667"
"2028313202","Nyholmiella obtusifolia","Herbarium record",1992-07-29,"1992","59.516667","-137.416667"
"5076416572","Nyholmiella obtusifolia","Herbarium record",1926-04-26,"1926","49.99127","-117.3722"
"5076416599","Nyholmiella obtusifolia","Herbarium record",1955-07-17,"1955","53.05","-119.0"
"4849611418","Nyholmiella obtusifolia","Herbarium record",1926-04-26,"1926","49.99","-117.372"
"1042398096","Nyholmiella obtusifolia","Herbarium record",1977-05-22,"1977","49.0810298","-116.1009573"
"1851034874","Nyholmiella obtusifolia","Herbarium record",1927-04-19,"1927","49.952778","-117.35833"
"4851118104","Nyholmiella obtusifolia","Herbarium record",1926-04-26,"1926","49.983333","-117.366667"
"4851118105","Nyholmiella obtusifolia","Herbarium record",1927-04-19,"1927","49.939927","-117.366667"
"92628105","Nyholmiella obtusifolia","OCCURRENCE",1978-06-15,"1978","49.61","-117.11"
"1987899163","Nyholmiella obtusifolia","Herbarium record",1980-09-20,"1980","51.9","-120.0"
"1987839482","Nyholmiella obtusifolia","Herbarium record",1974-06-24,"1974","51.29","-117.51"
"1987826622","Nyholmiella obtusifolia","Herbarium record",1964-06-21,"1964","53.9997124","-125.0011801"
"1987826545","Nyholmiella obtusifolia","Herbarium record",1976-05-20,"1976","49.3","-116.8"
"1987817990","Nyholmiella obtusifolia","Herbarium record",1976-05-19,"1976","49.2","-117.3"
"1987778507","Nyholmiella obtusifolia","Herbarium record",1974-07-20,"1974","54.1","-124.6"
"1987746581","Nyholmiella obtusifolia","Herbarium record",2010-07-09,"2010","54.357","-125.921"
"1987920382","Nyholmiella obtusifolia","Herbarium record",1964-05-27,"1964","48.67","-123.43"
"1987790246","Nyholmiella obtusifolia","Herbarium record",1976-07-05,"1976","56.9","-120.8"
"1987815458","Nyholmiella obtusifolia","Herbarium record",2009-08-15,"2009","49.27","-122.95"
"1987810175","Nyholmiella obtusifolia","Herbarium record",1974-08-10,"1974","49.8","-123.2"
