"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1987867477","Orthotrichum diaphanum","Herbarium record",2013-04-02,"2013","48.424","-123.35"
"1987786974","Orthotrichum diaphanum","Herbarium record",2008-08-02,"2008","49.1","-123.1"
"1987737146","Orthotrichum diaphanum","Herbarium record",2010-07-10,"2010","54.295","-130.352"
"1987919805","Orthotrichum diaphanum","Herbarium record",2008-03-18,"2008","49.2","-123.2"
"1987896555","Orthotrichum diaphanum","Herbarium record",2007-05-20,"2007","49.05","-122.29"
"1987725608","Orthotrichum diaphanum","Herbarium record",2014-04-24,"2014","48.45","-123.42"
"4863868832","Orthotrichum diaphanum","iNat record",2024-03-06,"2024","49.207245","-123.068723"
"5167537909","Orthotrichum diaphanum","iNat record",2025-05-23,"2025","49.264185","-123.178868"
"4416873729","Orthotrichum diaphanum","iNat record",2023-09-07,"2023","49.264232","-123.174333"
"4863456495","Orthotrichum diaphanum","iNat record",2024-03-06,"2024","49.206628","-123.067015"
"4868152045","Orthotrichum diaphanum","iNat record",2022-05-21,"2022","49.69841","-124.984951"
"4863675423","Orthotrichum diaphanum","iNat record",2023-09-11,"2023","49.263969","-123.165126"
"5140162075","Orthotrichum diaphanum","iNat record",2025-04-08,"2025","49.264245","-123.181691"
"4863921428","Orthotrichum diaphanum","iNat record",2023-10-02,"2023","49.264139","-123.170609"
"4054968632","Orthotrichum diaphanum","iNat record",2023-02-28,"2023","48.463326","-123.313269"
"3947804445","Orthotrichum diaphanum","iNat record",2022-10-14,"2022","49.263292","-123.252822"
"4867938502","Orthotrichum diaphanum","iNat record",2023-05-03,"2023","49.26499","-123.248686"
"5062541603","Orthotrichum diaphanum","iNat record",2022-03-29,"2022","49.213893","-122.905873"
"4153848590","Orthotrichum diaphanum","iNat record",2023-07-05,"2023","49.229275","-123.116677"
"1987868011","Orthotrichum diaphanum","Herbarium record",2009-09-04,"2009","49.26","-123.25"
"1987726964","Orthotrichum diaphanum","Herbarium record",2009-04-04,"2009","49.282","-123.047"
"1987879329","Orthotrichum diaphanum","Herbarium record",2006-05-29,"2006","49.2","-123.1"
"1987794155","Orthotrichum diaphanum","Herbarium record",2013-02-22,"2013","49.2","-123.2"
"1987856674","Orthotrichum diaphanum","Herbarium record",2010-07-10,"2010","54.3","-130.4"
"1987867211","Orthotrichum diaphanum","Herbarium record",2009-04-09,"2009","49.2","-123.1"
