"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2028210395","Pohlia bolanderi","Herbarium record",1979-07-12,"1979","59.7","-133.733333"
"2005559405","Pohlia bolanderi","Herbarium record",1969-08-20,"1969","49.7","-123.15"
"1987827148","Pohlia bolanderi","Herbarium record",1968-08-03,"1968","49.7","-118.9"
"1987883484","Pohlia bolanderi","Herbarium record",1978-07-14,"1978","49.8","-117.1"
"1987829578","Pohlia bolanderi","Herbarium record",,"2014","57.054533","-122.868367"
"1987870011","Pohlia bolanderi","Herbarium record",1968-08-04,"1968","49.7","-118.9"
"1987928315","Pohlia bolanderi","Herbarium record",1960-06-30,"1960","49.7","-118.9"
"1987887381","Pohlia bolanderi","Herbarium record",1977-08-23,"1977","51.3","-117.6"
"1987874467","Pohlia bolanderi","Herbarium record",1982-08-15,"1982","50.3","-122.5"
"1987856740","Pohlia bolanderi","Herbarium record",1982-08-15,"1982","50.3","-122.5"
"1987851573","Pohlia bolanderi","Herbarium record",1977-07-15,"1977","49.8","-117.2"
"1987741629","Pohlia bolanderi","Herbarium record",1984-09-09,"1984","49.1","-120.7"
"1987869696","Pohlia bolanderi","Herbarium record",1977-07-15,"1977","49.8","-117.2"
"1987862641","Pohlia bolanderi","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987901039","Pohlia bolanderi","Herbarium record",1978-07-23,"1978","50.0","-117.1"
