"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805298267","Porella navicularis","Herbarium record",,"1887","49.666667","-125.833333"
"1805291662","Porella navicularis","Herbarium record",1913-11-23,"1913","48.65","-123.416667"
"1805293138","Porella navicularis","Herbarium record",1893-05-30,"1893","48.433333","-123.35"
"1805301176","Porella navicularis","Herbarium record",1913-05-07,"1913","54.006944","-130.246944"
"1805290471","Porella navicularis","Herbarium record",1971-10-16,"1971","49.180556","-121.738889"
"1805302324","Porella navicularis","Herbarium record",1908-06-17,"1908","48.433333","-123.416667"
"4856471782","Porella navicularis","Herbarium record",2000-05-11,"2000","49.316667","-122.3"
"2252179827","Porella navicularis","Herbarium record",1950-05-24,"1950","48.816667","-124.166667"
"2252177864","Porella navicularis","Herbarium record",1980-04-28,"1980","49.833333","-121.416667"
"2252178740","Porella navicularis","Herbarium record",1949-07-08,"1949","49.183333","-121.75"
"2252180075","Porella navicularis","Herbarium record",1972-07-09,"1972","54.25","-129.166667"
"2252180481","Porella navicularis","Herbarium record",1950-05-31,"1950","49.433333","-124.75"
"1052521199","Porella navicularis","Herbarium record",2007-04-17,"2007","49.131361","-122.50775"
"1052491940","Porella navicularis","Herbarium record",1986-08-11,"1986","53.333333","-129.866667"
"3416739735","Porella navicularis","Herbarium record",1981-07-13,"1981","49.6025","-125.541944"
"2005602077","Porella navicularis","Herbarium record",1964-09-24,"1964","49.288578","-124.583998"
"2005602071","Porella navicularis","Herbarium record",1980-04-28,"1980","50.092125","-121.472862"
"2005602113","Porella navicularis","Herbarium record",1963-12-31,"1963","49.216667","-122.6"
"2005602136","Porella navicularis","Herbarium record",1969-08-21,"1969","48.85","-123.316667"
"2005602142","Porella navicularis","Herbarium record",1978-02-06,"1978","49.373945","-123.257603"
"2005602133","Porella navicularis","Herbarium record",1966-03-13,"1966","49.05","-122.88333"
"2005601910","Porella navicularis","Herbarium record",1981-07-13,"1981","49.564889","-125.576128"
"2005602107","Porella navicularis","Herbarium record",1887-05-09,"1887","48.457367","-123.310872"
