"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252180025","Pterygoneurum ovatum","Herbarium record",1976-04-27,"1976","49.166667","-123.95"
"3416735874","Pterygoneurum ovatum","Herbarium record",1928-10-02,"1928","50.7","-120.3"
"2005561536","Pterygoneurum ovatum","Herbarium record",1928-10-02,"1928","50.666667","-120.333333"
"2005561604","Pterygoneurum ovatum","Herbarium record",1969-06-07,"1969","50.865833","-121.738889"
"2005561483","Pterygoneurum ovatum","Herbarium record",1967-05-07,"1967","49.3","-119.633333"
"1804406230","Pterygoneurum ovatum","Herbarium record",1977-08-14,"1977","49.2","-115.2"
"1804518722","Pterygoneurum ovatum","Herbarium record",1977-08-14,"1977","49.2","-115.2"
"1804402115","Pterygoneurum ovatum","Herbarium record",1980-04-23,"1980","50.8333","-121.417"
"1804569413","Pterygoneurum ovatum","Herbarium record",1979-05-19,"1979","49.5","-119.833"
"1987919336","Pterygoneurum ovatum","Herbarium record",1978-08-24,"1978","50.3","-116.1"
"1987894055","Pterygoneurum ovatum","Herbarium record",1980-07-25,"1980","49.5","-120.3"
"1987819893","Pterygoneurum ovatum","Herbarium record",1980-06-04,"1980","49.5","-120.5"
"1987800083","Pterygoneurum ovatum","Herbarium record",2011-06-10,"2011","50.7","-120.4"
"1987743187","Pterygoneurum ovatum","Herbarium record",1979-08-01,"1979","49.4","-120.3"
"1987913091","Pterygoneurum ovatum","Herbarium record",1973-05-07,"1973","49.9","-119.5"
"1987826959","Pterygoneurum ovatum","Herbarium record",1980-04-22,"1980","50.5","-121.4"
"1987870936","Pterygoneurum ovatum","Herbarium record",1979-06-22,"1979","50.5","-119.3"
"1987839100","Pterygoneurum ovatum","Herbarium record",1928-10-02,"1928","50.7","-120.3"
"1987796313","Pterygoneurum ovatum","Herbarium record",1979-05-19,"1979","49.3","-119.7"
"1987873122","Pterygoneurum ovatum","Herbarium record",1979-08-02,"1979","49.2","-119.8"
"1987838119","Pterygoneurum ovatum","Herbarium record",1980-06-05,"1980","49.2","-119.6"
"1987801098","Pterygoneurum ovatum","Herbarium record",1980-06-07,"1980","49.3","-119.6"
"1987745688","Pterygoneurum ovatum","Herbarium record",1981-03-22,"1981","50.8","-121.3"
"1987913473","Pterygoneurum ovatum","Herbarium record",1964-10-11,"1964","49.1","-118.5"
"1987904420","Pterygoneurum ovatum","Herbarium record",1969-06-07,"1969","50.9","-121.7"
"1987889556","Pterygoneurum ovatum","Herbarium record",1980-04-23,"1980","50.8","-121.4"
"1987847507","Pterygoneurum ovatum","Herbarium record",1980-04-22,"1980","50.5","-121.4"
"1987845274","Pterygoneurum ovatum","Herbarium record",,"1904","50.3","-119.2"
"1987795817","Pterygoneurum ovatum","Herbarium record",1980-06-03,"1980","49.6","-120.5"
"1987747006","Pterygoneurum ovatum","Herbarium record",1979-05-19,"1979","49.5","-119.8"
"1987754416","Pterygoneurum ovatum","Herbarium record",1979-11-03,"1979","50.5","-121.3"
"1987737961","Pterygoneurum ovatum","Herbarium record",2007-05-27,"2007","49.3774","-119.613"
"1987734488","Pterygoneurum ovatum","Herbarium record",1979-05-18,"1979","50.8","-120.5"
"1987733490","Pterygoneurum ovatum","Herbarium record",1980-08-04,"1980","49.5","-121.3"
"1987883982","Pterygoneurum ovatum","Herbarium record",1979-05-17,"1979","50.8","-120.8"
"1987870238","Pterygoneurum ovatum","Herbarium record",1979-05-19,"1979","49.5","-119.8"
"1987813308","Pterygoneurum ovatum","Herbarium record",1980-05-16,"1980","49.92","-115.74"
"1987784129","Pterygoneurum ovatum","Herbarium record",1979-08-31,"1979","50.4","-121.1"
"1987911580","Pterygoneurum ovatum","Herbarium record",1979-08-08,"1979","51.7","-120.0"
"1987901596","Pterygoneurum ovatum","Herbarium record",1979-08-31,"1979","50.4","-121.1"
"1987880087","Pterygoneurum ovatum","Herbarium record",1981-03-22,"1981","50.9","-121.7"
"1987824652","Pterygoneurum ovatum","Herbarium record",1962-04-30,"1962","49.2","-119.6"
"1987913472","Pterygoneurum ovatum","Herbarium record",1984-05-15,"1984","51.9","-122.4"
"1987908283","Pterygoneurum ovatum","Herbarium record",2011-06-17,"2011","51.6","-119.92"
