"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805302887","Ptychostomum pallens","Herbarium record",1890-08-12,"1890","51.433387","-116.33333"
"1805291303","Ptychostomum pallens","Herbarium record",1923-09-22,"1923","50.042264","-117.196223"
"2252183143","Ptychostomum pallens","Herbarium record",1967-07-03,"1967","53.166667","-132.3"
"2252181663","Ptychostomum pallens","Herbarium record",1925-06-05,"1925","49.983333","-117.366667"
"2252179741","Ptychostomum pallens","Herbarium record",1889-04-23,"1889","49.28","-122.84"
"2252182037","Ptychostomum pallens","Herbarium record",1964-07-06,"1964","49.12","-120.85"
"2005531158","Ptychostomum pallens","Herbarium record",1913-06-20,"1913","51.452778","-116.28472"
"2005531278","Ptychostomum pallens","Herbarium record",1967-07-03,"1967","53.166667","-132.3"
"2005531302","Ptychostomum pallens","Herbarium record",1927-08-07,"1927","51.0","-118.183333"
"2005531241","Ptychostomum pallens","Herbarium record",1926-05-08,"1926","49.983333","-117.366667"
"2005531208","Ptychostomum pallens","Herbarium record",1923-09-22,"1923","56.116667","-126.833333"
"4076849376","Ptychostomum pallens","Herbarium record",1979-08-30,"1979","49.416667","-122.916667"
"2028292286","Ptychostomum pallens","Herbarium record",1992-07-28,"1992","59.65","-136.616667"
"2028263264","Ptychostomum pallens","Herbarium record",1967-07-03,"1967","53.166667","-132.3"
"2028302316","Ptychostomum pallens","Herbarium record",1978-07-23,"1978","49.833333","-117.3"
"1804431506","Ptychostomum pallens","Herbarium record",1890-08-12,"1890","51.4333","-116.333"
"1804365164","Ptychostomum pallens","Herbarium record",1887-06-04,"1887","49.1667","-123.933"
"5076425079","Ptychostomum pallens","Herbarium record",1977-07-25,"1977","52.2","-124.516667"
"5076425080","Ptychostomum pallens","Herbarium record",1889-04-23,"1889","49.28","-122.84"
"5076425081","Ptychostomum pallens","Herbarium record",1925-06-05,"1925","49.99","-117.372"
"2266042851","Ptychostomum pallens","Herbarium record",1925-06-05,"1925","49.983333","-117.366667"
"4849676048","Ptychostomum pallens","Herbarium record",1925-06-05,"1925","49.99","-117.372"
"4849641953","Ptychostomum pallens","Herbarium record",1979-08-20,"1979","49.416667","-122.916667"
"2005531258","Ptychostomum pallens","Herbarium record",1979-08-30,"1979","49.416667","-122.916667"
"1211211980","Ptychostomum pallens","Herbarium record",1909-07-29,"1909","48.941939","-125.546585"
"1211211998","Ptychostomum pallens","Herbarium record",1909-07-29,"1909","48.941939","-125.546585"
"4851108423","Ptychostomum pallens","Herbarium record",1923-09-22,"1923","56.116667","-126.833333"
"4851108435","Ptychostomum pallens","Herbarium record",1925-06-05,"1925","49.983333","-117.366667"
"4851114142","Ptychostomum pallens","Herbarium record",1969-07-12,"1969","49.05","-124.3333"
"1987788460","Ptychostomum pallens","Herbarium record",1968-06-26,"1968","55.4","-123.1"
"1987859007","Ptychostomum pallens","Herbarium record",1979-08-30,"1979","49.4","-123.0"
"1987830297","Ptychostomum pallens","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987751180","Ptychostomum pallens","Herbarium record",2013-10-03,"2013","51.64","-120.03"
"1987797021","Ptychostomum pallens","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987775997","Ptychostomum pallens","Herbarium record",2010-07-12,"2010","53.261","-132.006"
"1987743543","Ptychostomum pallens","Herbarium record",1992-07-28,"1992","59.7","-136.6"
"1987930566","Ptychostomum pallens","Herbarium record",1964-05-01,"1964","48.7","-124.0"
"1987821973","Ptychostomum pallens","Herbarium record",1985-07-02,"1985","48.5","-123.8"
"1987893322","Ptychostomum pallens","Herbarium record",1964-06-12,"1964","53.6","-132.2"
"1987920517","Ptychostomum pallens","Herbarium record",1949-08-19,"1949","50.3","-121.8"
"1987915133","Ptychostomum pallens","Herbarium record",,"2001","56.49198","-127.3182"
"4926219658","Ptychostomum pallens","iNat record",2024-07-05,"2024","49.0641","-120.7251"
"4901182138","Ptychostomum pallens","iNat record",2024-06-22,"2024","49.479134","-124.971535"
