"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805432964","Rhizomnium magnifolium","Herbarium record",1905-07-22,"1905","51.75","-118.333"
"4856426930","Rhizomnium magnifolium","Herbarium record",1965-08-11,"1965","52.333333","-126.066667"
"2252184059","Rhizomnium magnifolium","Herbarium record",1977-08-02,"1977","57.65","-126.766667"
"2252183857","Rhizomnium magnifolium","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"2252183910","Rhizomnium magnifolium","Herbarium record",1997-07-16,"1997","56.57996","-128.6"
"2252183186","Rhizomnium magnifolium","Herbarium record",1949-08-20,"1949","50.283333","-121.75"
"2252182806","Rhizomnium magnifolium","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"2252181209","Rhizomnium magnifolium","Herbarium record",1949-08-19,"1949","50.283333","-121.75"
"3416718119","Rhizomnium magnifolium","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"3416718212","Rhizomnium magnifolium","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"2005563016","Rhizomnium magnifolium","Herbarium record",1977-07-31,"1977","49.158333","-124.574167"
"2005563045","Rhizomnium magnifolium","Herbarium record",1977-07-19,"1977","56.569167","-126.449167"
"2005563075","Rhizomnium magnifolium","Herbarium record",1977-07-16,"1977","56.57996","-128.6"
"4076805222","Rhizomnium magnifolium","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"4076805226","Rhizomnium magnifolium","Herbarium record",1977-07-31,"1977","57.666667","-126.75"
"4076805242","Rhizomnium magnifolium","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1804454782","Rhizomnium magnifolium","Herbarium record",1977-07-19,"1977","56.58","-126.42"
"1804390326","Rhizomnium magnifolium","Herbarium record",1974-09-29,"1974","50.4","-122.3"
"1804415171","Rhizomnium magnifolium","Herbarium record",1980-08-02,"1980","49.4167","-119.917"
"1804586309","Rhizomnium magnifolium","Herbarium record",1977-07-16,"1977","56.8","-129.933"
"1804471725","Rhizomnium magnifolium","Herbarium record",1984-06-11,"1984","49.9","-115.48"
"1804497306","Rhizomnium magnifolium","Herbarium record",1964-06-07,"1964","54.0440314","-131.8593657"
"1804392066","Rhizomnium magnifolium","Herbarium record",1955-07-10,"1955","51.3953","-116.355"
"1804472116","Rhizomnium magnifolium","Herbarium record",1957-07-20,"1957","59.8875","-136.729"
"1804492254","Rhizomnium magnifolium","Herbarium record",1988-06-25,"1988","52.63","-119.05"
"1804573489","Rhizomnium magnifolium","Herbarium record",1988-06-25,"1988","52.7","-118.93"
"1804404872","Rhizomnium magnifolium","Herbarium record",1977-07-31,"1977","57.67","-126.75"
"1804406372","Rhizomnium magnifolium","Herbarium record",1955-07-09,"1955","51.4308","-116.402"
"1804465689","Rhizomnium magnifolium","Herbarium record",1977-07-23,"1977","56.53","-126.45"
"1804461617","Rhizomnium magnifolium","Herbarium record",1961-07-23,"1961","51.9997494","-120.0009792"
"1804615042","Rhizomnium magnifolium","Herbarium record",1977-08-02,"1977","57.65","-126.77"
"1804415784","Rhizomnium magnifolium","Herbarium record",1967-06-22,"1967","53.2833","-132.583"
"1804557526","Rhizomnium magnifolium","Herbarium record",1977-07-25,"1977","57.42","-126.83"
"1804450468","Rhizomnium magnifolium","Herbarium record",1976-07-09,"1976","59.9667","-136.917"
"1804455136","Rhizomnium magnifolium","Herbarium record",1961-07-11,"1961","51.9997494","-120.0009792"
"1804522283","Rhizomnium magnifolium","Herbarium record",1964-06-11,"1964","52.7074223","-131.8363186"
"1804493705","Rhizomnium magnifolium","Herbarium record",1977-07-31,"1977","57.67","-126.75"
"1804526765","Rhizomnium magnifolium","Herbarium record",1983-07-31,"1983","54.28","-130.32"
"1804544630","Rhizomnium magnifolium","Herbarium record",1961-07-19,"1961","51.9997494","-120.0009792"
"1804575502","Rhizomnium magnifolium","Herbarium record",1964-06-21,"1964","54.7802902","-127.6002791"
"1804611369","Rhizomnium magnifolium","Herbarium record",1958-05-20,"1958","53.23","-121.65"
"1804478352","Rhizomnium magnifolium","Herbarium record",1977-07-30,"1977","57.67","-126.75"
"1804499750","Rhizomnium magnifolium","Herbarium record",1977-07-17,"1977","49.8333","-117.25"
"5076385687","Rhizomnium magnifolium","Herbarium record",1976-07-09,"1976","59.966667","-136.916667"
"5076385722","Rhizomnium magnifolium","Herbarium record",1976-07-13,"1976","59.833333","-135.0"
"5076385729","Rhizomnium magnifolium","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"5076385730","Rhizomnium magnifolium","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"5076385731","Rhizomnium magnifolium","Herbarium record",1977-07-31,"1977","57.666667","-126.75"
