"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252182675","Rhizomnium punctatum","Herbarium record",1950-07-16,"1950","48.45","-123.55"
"2252183840","Rhizomnium punctatum","Herbarium record",1950-07-16,"1950","48.45","-123.55"
"2252183013","Rhizomnium punctatum","Herbarium record",1941-07-21,"1941","51.267","-117.517"
"2252183213","Rhizomnium punctatum","Herbarium record",,"1953","48.45","-123.55"
"2252182114","Rhizomnium punctatum","Herbarium record",1964-07-06,"1964","49.12","-120.85"
"2005553805","Rhizomnium punctatum","Herbarium record",1965-06-21,"1965","49.603669","-117.384108"
"2005553733","Rhizomnium punctatum","Herbarium record",1926-06-28,"1926","49.975556","-117.227222"
"2005553771","Rhizomnium punctatum","Herbarium record",1941-07-21,"1941","51.266667","-117.516667"
"1804613232","Rhizomnium punctatum","Herbarium record",1988-06-26,"1988","52.63","-119.0"
"1804576333","Rhizomnium punctatum","Herbarium record",1981-07-18,"1981","58.33","-129.5"
"3864947227","Rhizomnium punctatum","Herbarium record",1921-08-25,"1921","50.98","-118.2"
"3864947821","Rhizomnium punctatum","Herbarium record",1905-07-31,"1905","51.75","-118.333333"
"3864948336","Rhizomnium punctatum","Herbarium record",1905-07-31,"1905","51.75","-118.333333"
"3864948334","Rhizomnium punctatum","Herbarium record",1905-07-31,"1905","51.75","-118.333333"
"3864948339","Rhizomnium punctatum","Herbarium record",1905-07-31,"1905","51.75","-118.333333"
"5076444125","Rhizomnium punctatum","Herbarium record",1941-07-21,"1941","51.267","-117.517"
"5076444159","Rhizomnium punctatum","Herbarium record",1941-07-21,"1941","51.267","-117.517"
"5076444160","Rhizomnium punctatum","Herbarium record",1935-07-23,"1935","49.327778","-121.86"
"1949667126","Rhizomnium punctatum","Herbarium record",1973-01-25,"1973","48.866667","-124.183333"
"1949666981","Rhizomnium punctatum","Herbarium record",1973-01-25,"1973","48.866667","-124.183333"
"1949667091","Rhizomnium punctatum","Herbarium record",1973-01-25,"1973","48.866667","-124.183333"
"4849651951","Rhizomnium punctatum","Herbarium record",1969-08-20,"1969","50.1","-123.166667"
"2005553670","Rhizomnium punctatum","Herbarium record",1926-06-27,"1926","49.952778","-117.35833"
"3083979941","Rhizomnium punctatum","Herbarium record",,"1999","49.3","-123.14"
"4851116540","Rhizomnium punctatum","Herbarium record",1888-05-24,"1888","49.25","-123.133333"
"3916107172","Rhizomnium punctatum","Herbarium record",1905-07-31,"1905","51.75","-118.33333"
"3070379791","Rhizomnium punctatum","iNat record",2021-03-28,"2021","49.005019","-125.652183"
"3079870368","Rhizomnium punctatum","iNat record",2021-04-02,"2021","48.444877","-123.554842"
"5007679957","Rhizomnium punctatum","iNat record",2023-03-28,"2023","49.331637","-123.263586"
"3415403590","Rhizomnium punctatum","iNat record",2021-05-02,"2021","49.01119","-123.878403"
"3947708475","Rhizomnium punctatum","iNat record",2022-10-08,"2022","49.278434","-124.156629"
"2028168545","Rhizomnium punctatum","Herbarium record",2004-10-15,"2004","52.916667","-118.816667"
"1091088027","Rhizomnium punctatum","Herbarium record",1898-05-19,"1898","59.806752","-135.044132"
"1091088007","Rhizomnium punctatum","Herbarium record",1898-06-02,"1898","59.840054","-135.006277"
"1091088072","Rhizomnium punctatum","Herbarium record",1943-08-01,"1943","49.304667","-123.144234"
"1091072842","Rhizomnium punctatum","Herbarium record",1908-08-27,"1908","50.98","-119.02"
"1989100362","Rhizomnium punctatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1989426942","Rhizomnium punctatum","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"1989506279","Rhizomnium punctatum","Herbarium record",1988-06-26,"1988","52.566667","-118.9"
"1987932232","Rhizomnium punctatum","Herbarium record",1978-07-19,"1978","50.3","-116.6"
"1987868312","Rhizomnium punctatum","Herbarium record",1981-07-19,"1981","58.3","-129.5"
"1987796768","Rhizomnium punctatum","Herbarium record",1976-05-18,"1976","51.0","-118.3"
"1994897432","Rhizomnium punctatum","Herbarium record",,"1980","49.25","-125.141667"
"1804492631","Rhizomnium punctatum","Herbarium record",1981-07-19,"1981","58.33","-129.5"
