"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252183046","Rhytidiadelphus squarrosus","Herbarium record",1976-12-04,"1976","49.3","-122.75"
"2252184022","Rhytidiadelphus squarrosus","Herbarium record",1976-12-04,"1976","49.25","-122.583333"
"2252184989","Rhytidiadelphus squarrosus","Herbarium record",1975-07-03,"1975","53.766667","-132.116667"
"2252185269","Rhytidiadelphus squarrosus","Herbarium record",1970-04-16,"1970","50.816667","-126.016667"
"2252185227","Rhytidiadelphus squarrosus","Herbarium record",1962-08-21,"1962","48.45","-123.55"
"2252184183","Rhytidiadelphus squarrosus","Herbarium record",1978-10-26,"1978","49.333333","-123.166667"
"2005563548","Rhytidiadelphus squarrosus","Herbarium record",1969-08-22,"1969","49.7","-123.15"
"2005563468","Rhytidiadelphus squarrosus","Herbarium record",1962-06-04,"1962","48.904722","-123.344722"
"2005563494","Rhytidiadelphus squarrosus","Herbarium record",1966-06-26,"1966","53.345278","-132.246111"
"2005563370","Rhytidiadelphus squarrosus","Herbarium record",1967-06-24,"1967","53.25","-132.333333"
"2005563452","Rhytidiadelphus squarrosus","Herbarium record",1962-07-09,"1962","53.108333","-132.525"
"2005563506","Rhytidiadelphus squarrosus","Herbarium record",,"1926","50.516667","-117.9"
"4076823270","Rhytidiadelphus squarrosus","Herbarium record",1974-03-30,"1974","48.829576","-125.146331"
"4076823288","Rhytidiadelphus squarrosus","Herbarium record",1975-06-01,"1975","49.432943","-122.021907"
"4076823300","Rhytidiadelphus squarrosus","Herbarium record",1974-09-03,"1974","50.166667","-124.0"
"4076825002","Rhytidiadelphus squarrosus","Herbarium record",1971-10-13,"1971","49.3","-121.78333"
"2028244888","Rhytidiadelphus squarrosus","Herbarium record",1971-06-06,"1971","50.133333","-127.083333"
"2028274841","Rhytidiadelphus squarrosus","Herbarium record",1980-10-04,"1980","50.0","-123.083333"
"2028299621","Rhytidiadelphus squarrosus","Herbarium record",1970-09-12,"1970","50.233333","-126.333333"
"2028170037","Rhytidiadelphus squarrosus","Herbarium record",1967-07-27,"1967","53.916667","-132.05"
"2028176279","Rhytidiadelphus squarrosus","Herbarium record",1980-11-11,"1980","49.416667","-122.833333"
"2028265274","Rhytidiadelphus squarrosus","Herbarium record",1971-08-11,"1971","50.15","-127.85"
"2028151794","Rhytidiadelphus squarrosus","Herbarium record",1978-10-26,"1978","49.333333","-123.166667"
"2028155203","Rhytidiadelphus squarrosus","Herbarium record",1967-06-21,"1967","53.183333","-132.516667"
"2028218854","Rhytidiadelphus squarrosus","Herbarium record",1997-04-17,"1997","49.116667","-122.916667"
"2028184011","Rhytidiadelphus squarrosus","Herbarium record",1967-06-27,"1967","54.166667","-133.0"
"2028283607","Rhytidiadelphus squarrosus","Herbarium record",1980-09-21,"1980","51.916667","-120.416667"
"2028286880","Rhytidiadelphus squarrosus","Herbarium record",2007-05-18,"2007","53.75","-122.75"
"2028242861","Rhytidiadelphus squarrosus","Herbarium record",,"1977","53.583333","-132.916667"
"2028243586","Rhytidiadelphus squarrosus","Herbarium record",1986-08-03,"1986","51.533333","-127.933333"
"2028298739","Rhytidiadelphus squarrosus","Herbarium record",1994-09-24,"1994","51.966667","-120.116667"
"2028248203","Rhytidiadelphus squarrosus","Herbarium record",1971-04-22,"1971","50.6","-127.566667"
"2028317071","Rhytidiadelphus squarrosus","Herbarium record",1967-07-30,"1967","53.966667","-132.833333"
