"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005607351","Riccardia palmata","Herbarium record",1964-09-11,"1964","54.283889","-130.315556"
"4076827258","Riccardia palmata","Herbarium record",1893-06-21,"1893","48.42457","-123.362096"
"4076833385","Riccardia palmata","Herbarium record",1974-09-03,"1974","50.166667","-124.0"
"1804392340","Riccardia palmata","Herbarium record",1967-06-20,"1967","53.2","-132.467"
"1949667654","Riccardia palmata","Herbarium record",1998-07-14,"1998","53.583333","-132.833333"
"1949668320","Riccardia palmata","Herbarium record",1994-08-05,"1994","53.583333","-132.916667"
"1949667262","Riccardia palmata","Herbarium record",1993-08-04,"1993","53.583333","-132.85"
"4851115389","Riccardia palmata","Herbarium record",1992-07-25,"1992","54.066667","-131.783333"
"1987839545","Riccardia palmata","Herbarium record",1969-07-23,"1969","52.9","-132.3"
"1987725738","Riccardia palmata","Herbarium record",2010-08-22,"2010","49.75","-126.49"
"1987825921","Riccardia palmata","Herbarium record",1972-07-11,"1972","54.7","-130.2"
"1987822558","Riccardia palmata","Herbarium record",1971-07-07,"1971","52.8","-131.9"
"1987873797","Riccardia palmata","Herbarium record",1977-08-25,"1977","50.8","-118.1"
"1987771696","Riccardia palmata","Herbarium record",1979-07-09,"1979","52.8","-132.0"
"1987729032","Riccardia palmata","Herbarium record",1966-07-22,"1966","53.3","-132.6"
"1987891356","Riccardia palmata","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987878382","Riccardia palmata","Herbarium record",1964-06-07,"1964","54.4","-128.7"
"4899445120","Riccardia palmata","Herbarium record",1967-07-09,"1967","53.1","-132.0"
"1987913850","Riccardia palmata","Herbarium record",1979-07-12,"1979","59.7","-132.0"
"1987763192","Riccardia palmata","Herbarium record",1966-06-24,"1966","53.2","-132.3"
"1987770612","Riccardia palmata","Herbarium record",1964-06-27,"1964","53.6","-132.3"
"1987933397","Riccardia palmata","Herbarium record",1961-07-12,"1961","53.0","-132.1"
"4899445015","Riccardia palmata","Herbarium record",1965-07-06,"1965","54.366667","-130.75"
"1987890898","Riccardia palmata","Herbarium record",1979-07-12,"1979","52.7","-132.0"
"4950512710","Riccardia palmata","iNat record",2024-09-14,"2024","52.120505","-128.088208"
"3925429722","Riccardia palmata","iNat record",2022-09-12,"2022","52.18956","-127.984398"
"4926284888","Riccardia palmata","iNat record",2024-07-22,"2024","48.811096","-125.145615"
"4936827775","Riccardia palmata","iNat record",2024-08-22,"2024","50.756077","-128.074577"
"4015169558","Riccardia palmata","iNat record",2022-06-18,"2022","51.648647","-128.144287"
"4138336115","Riccardia palmata","iNat record",2023-05-25,"2023","54.068611","-131.7925"
"1042362103","Riccardia palmata","Herbarium record",2010-05-06,"2010","53.585","-132.9117"
"1805294425","Riccardia palmata","Herbarium record",1909-05-12,"1909","48.933333","-125.516667"
"1931079103","Riccardia palmata","Herbarium record",1893-06-21,"1893","49.68","-124.93"
"1928975012","Riccardia palmata","Herbarium record",1893-06-21,"1893","48.43","-123.37"
"1987853935","Riccardia palmata","Herbarium record",2003-09-03,"2003","49.3","-122.7"
"1987720844","Riccardia palmata","Herbarium record",1961-05-25,"1961","54.2","-133.0"
"4899444355","Riccardia palmata","Herbarium record",1965-07-06,"1965","54.366667","-130.75"
"1987831465","Riccardia palmata","Herbarium record",1966-07-01,"1966","53.1","-132.1"
"1987868318","Riccardia palmata","Herbarium record",1964-06-11,"1964","52.7","-131.8"
"1987805225","Riccardia palmata","Herbarium record",1979-07-12,"1979","52.7","-132.0"
"4899444564","Riccardia palmata","Herbarium record",1950-07-22,"1950","49.1","-124.3"
"4899444700","Riccardia palmata","Herbarium record",1965-07-06,"1965","54.366667","-130.75"
"1987819609","Riccardia palmata","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987778625","Riccardia palmata","Herbarium record",2007-08-28,"2007","53.5726","-128.7504"
"1987819650","Riccardia palmata","Herbarium record",1979-07-12,"1979","59.7","-132.0"
"1987743958","Riccardia palmata","Herbarium record",,"1962","52.8","-132.1"
