"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005545146","Schistidium tenerum","Herbarium record",1910-05-30,"1910","50.608889","-120.8575"
"2005545123","Schistidium tenerum","Herbarium record",1977-07-26,"1977","57.533333","-126.783333"
"2005545197","Schistidium tenerum","Herbarium record",1910-05-30,"1910","50.608889","-120.8575"
"4076818825","Schistidium tenerum","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"2028191587","Schistidium tenerum","Herbarium record",1981-07-19,"1981","58.333333","-129.5"
"5076428842","Schistidium tenerum","Herbarium record",1910-05-30,"1910","50.608889","-120.8575"
"1949666761","Schistidium tenerum","Herbarium record",1973-02-11,"1973","48.866667","-124.183333"
"362961379","Schistidium tenerum","Herbarium record",1977-07-28,"1977","57.416667","-126.816667"
"4849628225","Schistidium tenerum","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"1987789803","Schistidium tenerum","Herbarium record",1992-07-23,"1992","59.6","-137.2"
"1987916319","Schistidium tenerum","Herbarium record",1977-07-17,"1977","58.1","-130.8"
"1987800173","Schistidium tenerum","Herbarium record",2011-06-23,"2011","51.97","-120.19"
"1987902093","Schistidium tenerum","Herbarium record",1992-07-26,"1992","59.9","-137.8"
"1987745717","Schistidium tenerum","Herbarium record",1979-05-17,"1979","50.8","-121.2"
"1987850641","Schistidium tenerum","Herbarium record",1910-05-30,"1910","50.6","-120.9"
"1987787800","Schistidium tenerum","Herbarium record",1965-07-08,"1965","54.0","-126.0"
"1987817463","Schistidium tenerum","Herbarium record",1977-07-17,"1977","58.1","-130.8"
"2028201783","Schistidium tenerum","Herbarium record",1992-07-23,"1992","59.566667","-137.15"
"2028276991","Schistidium tenerum","Herbarium record",1979-05-17,"1979","50.833333","-121.166667"
"2028206928","Schistidium tenerum","Herbarium record",1977-07-20,"1977","56.55","-126.433333"
"3467350874","Schistidium tenerum","Herbarium record",1977-07-20,"1977","56.55","-126.43"
"1987822751","Schistidium tenerum","Herbarium record",1968-06-11,"1968","57.8","-131.4"
"1987913346","Schistidium tenerum","Herbarium record",1970-10-21,"1970","52.1","-122.1"
"1987865609","Schistidium tenerum","Herbarium record",1965-07-15,"1965","54.1","-124.8"
"1987901432","Schistidium tenerum","Herbarium record",1977-07-14,"1977","55.1","-127.3"
"1987828128","Schistidium tenerum","Herbarium record",1910-05-30,"1910","50.6","-120.9"
"1987781212","Schistidium tenerum","Herbarium record",1965-06-09,"1965","53.9","-125.1"
"1987750494","Schistidium tenerum","Herbarium record",1967-09-05,"1967","58.8","-125.5"
"1987858619","Schistidium tenerum","Herbarium record",1981-07-19,"1981","58.3","-129.5"
"1987792478","Schistidium tenerum","Herbarium record",1977-08-01,"1977","56.1","-122.1"
"1987753129","Schistidium tenerum","Herbarium record",1977-07-20,"1977","56.6","-126.4"
"1987760998","Schistidium tenerum","Herbarium record",1965-07-15,"1965","54.1","-125.0"
