"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805302973","Schistochilopsis incisa","Herbarium record",1901-07-26,"1901","48.55","-124.416667"
"1805294367","Schistochilopsis incisa","Herbarium record",1913-05-04,"1913","50.708056","-127.406944"
"1805300205","Schistochilopsis incisa","Herbarium record",1904-09-03,"1904","51.5","-116.466667"
"1805298042","Schistochilopsis incisa","Herbarium record",1909-09-16,"1909","50.683333","-120.183333"
"1805301115","Schistochilopsis incisa","Herbarium record",1910-09-14,"1910","51.0","-119.0"
"1805302878","Schistochilopsis incisa","Herbarium record",1901-06-26,"1901","48.55","-124.416667"
"1805287455","Schistochilopsis incisa","Herbarium record",1914-05-27,"1914","48.65","-123.416667"
"2005602459","Schistochilopsis incisa","Herbarium record",1928-07-21,"1928","50.432842","-116.589894"
"2005602569","Schistochilopsis incisa","Herbarium record",,"1928","50.437778","-116.594444"
"2005602456","Schistochilopsis incisa","Herbarium record",1980-06-25,"1980","52.754409","-132.04672"
"2005602494","Schistochilopsis incisa","Herbarium record",1925-09-13,"1925","49.95","-117.483333"
"2028267143","Schistochilopsis incisa","Herbarium record",1971-08-11,"1971","50.15","-127.85"
"1804431573","Schistochilopsis incisa","Herbarium record",1956-06-06,"1956","54.5","-127.5"
"1804577142","Schistochilopsis incisa","Herbarium record",1977-07-31,"1977","57.6667","-126.75"
"1804446258","Schistochilopsis incisa","Herbarium record",1971-08-11,"1971","50.15","-127.833"
"1804531919","Schistochilopsis incisa","Herbarium record",1977-07-30,"1977","57.6667","-126.75"
"1804472318","Schistochilopsis incisa","Herbarium record",1969-08-20,"1969","50.1","-123.167"
"1804460174","Schistochilopsis incisa","Herbarium record",1984-06-11,"1984","50.0","-115.517"
"1804501107","Schistochilopsis incisa","Herbarium record",1977-07-31,"1977","56.9","-123.8"
"1949666579","Schistochilopsis incisa","Herbarium record",1972-10-03,"1972","48.75","-124.416667"
"1949666100","Schistochilopsis incisa","Herbarium record",1988-07-26,"1988","53.866667","-132.083333"
