"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805299725","Schljakovia kunzeana","Herbarium record",1911-10-18,"1911","53.285143","-125.987019"
"1805291709","Schljakovia kunzeana","Herbarium record",1911-09-21,"1911","53.285143","-125.987019"
"1805298323","Schljakovia kunzeana","Herbarium record",1908-06-04,"1908","48.433333","-123.35"
"1805298175","Schljakovia kunzeana","Herbarium record",1911-09-27,"1911","53.285143","-125.987019"
"1805296022","Schljakovia kunzeana","Herbarium record",1911-09-15,"1911","53.285143","-125.987019"
"2252169811","Schljakovia kunzeana","Herbarium record",1908-06-04,"1908","49.5","-125.5"
"2005602690","Schljakovia kunzeana","Herbarium record",,"1928","50.437778","-116.594444"
"4076845557","Schljakovia kunzeana","Herbarium record",1912-07-17,"1912","51.356811","-116.336642"
"2028262428","Schljakovia kunzeana","Herbarium record",1943-06-11,"1943","57.083333","-122.583333"
"1804402204","Schljakovia kunzeana","Herbarium record",1977-07-25,"1977","57.4164333","-126.8343577"
"1804447052","Schljakovia kunzeana","Herbarium record",1977-08-02,"1977","57.6497377","-126.7683654"
"1804412667","Schljakovia kunzeana","Herbarium record",1977-08-04,"1977","57.8330452","-126.3843615"
"1804450785","Schljakovia kunzeana","Herbarium record",1977-08-02,"1977","57.6497377","-126.7683654"
"1804501730","Schljakovia kunzeana","Herbarium record",1979-10-20,"1979","58.2164257","-128.5014417"
"1804524958","Schljakovia kunzeana","Herbarium record",1977-08-02,"1977","57.6497377","-126.7683654"
"1804392391","Schljakovia kunzeana","Herbarium record",1969-08-20,"1969","50.09971","-123.1680195"
"1804451220","Schljakovia kunzeana","Herbarium record",1962-07-01,"1962","49.6533","-123.209"
"1949666101","Schljakovia kunzeana","Herbarium record",1986-08-05,"1986","50.05","-122.916667"
"3820675126","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.65","-125.2"
"3820679033","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.65","-125.2"
"3820688349","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.65","-125.2"
"4851108917","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.65","-125.2"
"4851108925","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.65","-125.2"
"4851109475","Schljakovia kunzeana","Herbarium record",1969-08-01,"1969","49.083333","-116.083333"
"4851111112","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.65","-125.2"
"1987908819","Schljakovia kunzeana","Herbarium record",2004-07-06,"2004","59.701","-133.357"
"1987818523","Schljakovia kunzeana","Herbarium record",,"1981","50.1","-122.3"
"1987742408","Schljakovia kunzeana","Herbarium record",1912-09-25,"1912","51.4","-116.3"
"1987739017","Schljakovia kunzeana","Herbarium record",1974-10-19,"1974","50.0","-123.1"
"1987816048","Schljakovia kunzeana","Herbarium record",1977-07-16,"1977","57.7","-128.0"
"1987826061","Schljakovia kunzeana","Herbarium record",1977-07-20,"1977","59.7","-131.5"
"1987860825","Schljakovia kunzeana","Herbarium record",1974-10-19,"1974","50.0","-123.1"
"1987839210","Schljakovia kunzeana","Herbarium record",1974-07-08,"1974","59.0","-133.0"
"1987835682","Schljakovia kunzeana","Herbarium record",1970-08-16,"1970","49.7","-125.3"
"1987849402","Schljakovia kunzeana","Herbarium record",1975-07-04,"1975","59.0","-133.0"
"1987825953","Schljakovia kunzeana","Herbarium record",1979-07-24,"1979","58.8","-125.0"
"1987746192","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.7","-125.2"
"1987924925","Schljakovia kunzeana","Herbarium record",1975-08-15,"1975","59.0","-133.0"
"1987788038","Schljakovia kunzeana","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"4513886247","Schljakovia kunzeana","Herbarium record",1977-07-18,"1977","58.283333","-129.866667"
"1987817320","Schljakovia kunzeana","Herbarium record",1969-08-10,"1969","49.7","-125.2"
"1987781725","Schljakovia kunzeana","Herbarium record",1978-08-28,"1978","49.9","-116.4"
"1987727262","Schljakovia kunzeana","Herbarium record",1977-07-25,"1977","58.8","-122.9"
"1987810621","Schljakovia kunzeana","Herbarium record",1975-08-18,"1975","59.0","-133.0"
"1987810205","Schljakovia kunzeana","Herbarium record",1967-09-16,"1967","50.1","-122.8"
"1987794975","Schljakovia kunzeana","Herbarium record",1969-08-01,"1969","49.3","-124.6"
"4937124199","Schljakovia kunzeana","iNat record",2024-06-16,"2024","57.088086","-122.89556"
