"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252194698","Tetralophozia filiformis","Herbarium record",1970-04-12,"1970","52.0476","-127.8727"
"2252193392","Tetralophozia filiformis","Herbarium record",1970-04-14,"1970","50.9","-127.283333"
"2252193113","Tetralophozia filiformis","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"2005605821","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.533333","-127.933333"
"2005606133","Tetralophozia filiformis","Herbarium record",1986-08-12,"1986","53.716667","-130.1"
"2028319275","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.983333"
"2028319336","Tetralophozia filiformis","Herbarium record",,"1978","49.67","-123.15639"
"2028319280","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.533333","-127.933333"
"2028319308","Tetralophozia filiformis","Herbarium record",1970-04-12,"1970","52.0476","-127.8727"
"2028319298","Tetralophozia filiformis","Herbarium record",1970-04-14,"1970","50.9","-127.283333"
"1804427846","Tetralophozia filiformis","Herbarium record",1965-06-18,"1965","51.6667","-128.133"
"1804408067","Tetralophozia filiformis","Herbarium record",1986-07-26,"1986","50.2","-124.833"
"1804537184","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.767"
"1804546780","Tetralophozia filiformis","Herbarium record",1970-04-14,"1970","50.9","-127.283"
"1804561382","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.983"
"1804441051","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.5333","-127.933"
"1804483915","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.983"
"1804545449","Tetralophozia filiformis","Herbarium record",1979-06-25,"1979","54.0","-130.0"
"1804516581","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.6333","-128.1"
"1804536632","Tetralophozia filiformis","Herbarium record",1970-04-14,"1970","50.9","-127.283"
"1804392062","Tetralophozia filiformis","Herbarium record",1960-11-11,"1960","49.6294088","-123.2070091"
"1987921125","Tetralophozia filiformis","Herbarium record",1970-04-13,"1970","51.7","-127.8"
"1987873989","Tetralophozia filiformis","Herbarium record",2009-05-11,"2009","49.7","-123.2"
"1987846920","Tetralophozia filiformis","Herbarium record",1969-02-24,"1969","50.2","-124.0"
"1987751440","Tetralophozia filiformis","Herbarium record",1965-08-10,"1965","51.6","-128.0"
"1987748203","Tetralophozia filiformis","Herbarium record",1980-07-09,"1980","52.8","-132.0"
"1987797034","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.8"
"1987807951","Tetralophozia filiformis","Herbarium record",1987-04-16,"1987","49.7","-123.1"
"1987796923","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.8"
"1987878829","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987847404","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.8"
"1987738585","Tetralophozia filiformis","Herbarium record",1979-06-21,"1979","53.8","-130.2"
"1987934003","Tetralophozia filiformis","Herbarium record",1960-11-11,"1960","49.6","-123.2"
"1987718770","Tetralophozia filiformis","Herbarium record",2009-05-11,"2009","49.7","-123.2"
"1987852513","Tetralophozia filiformis","Herbarium record",1986-07-26,"1986","50.2","-124.8"
"1987868319","Tetralophozia filiformis","Herbarium record",1986-08-12,"1986","53.7","-130.1"
"1987905879","Tetralophozia filiformis","Herbarium record",1980-06-02,"1980","49.7","-123.2"
"4165624401","Tetralophozia filiformis","iNat record",2022-06-20,"2022","51.63784","-128.09672"
"3465957410","Tetralophozia filiformis","iNat record",2020-06-29,"2020","49.668721","-123.15616"
"2028319372","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.766667"
"2028319285","Tetralophozia filiformis","Herbarium record",1970-04-12,"1970","52.0476","-127.8727"
"2028319339","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-123.983333"
"2028213685","Tetralophozia filiformis","Herbarium record",1986-08-12,"1986","53.716667","-130.1"
"2028254333","Tetralophozia filiformis","Herbarium record",1986-08-12,"1986","53.716667","-130.1"
"2028319276","Tetralophozia filiformis","Herbarium record",,"1977","53.583333","-132.916667"
"2028319282","Tetralophozia filiformis","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"2028319325","Tetralophozia filiformis","Herbarium record",,"1965","51.666667","-128.133333"
"2028319323","Tetralophozia filiformis","Herbarium record",1980-07-09,"1980","52.666667","-132.0"
"2028319297","Tetralophozia filiformis","Herbarium record",,"1978","49.67","-123.15639"
"2028319267","Tetralophozia filiformis","Herbarium record",1979-06-25,"1979","54.02","-130.253"
"1052491938","Tetralophozia filiformis","Herbarium record",1986-08-12,"1986","53.716667","-130.1"
"4997595204","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.533333","-127.933333"
"1989167105","Tetralophozia filiformis","Herbarium record",1970-04-13,"1970","51.666667","-127.766667"
"1989368269","Tetralophozia filiformis","Herbarium record",1970-04-14,"1970","50.9","-127.283333"
"1930612102","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.63","-128.1"
"1928846796","Tetralophozia filiformis","Herbarium record",1970-04-14,"1970","50.9","-127.28"
"1930799641","Tetralophozia filiformis","Herbarium record",,"1978","49.67","-123.15"
"1928739562","Tetralophozia filiformis","Herbarium record",1986-07-26,"1986","50.2","-124.83"
"1930998863","Tetralophozia filiformis","Herbarium record",1970-04-13,"1970","51.67","-127.77"
"1987834997","Tetralophozia filiformis","Herbarium record",1977-03-30,"1977","49.7","-123.2"
"1987732900","Tetralophozia filiformis","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987852772","Tetralophozia filiformis","Herbarium record",1986-08-09,"1986","52.9","-129.1"
"1987783943","Tetralophozia filiformis","Herbarium record",1986-08-12,"1986","53.7","-130.1"
"1987764847","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.5","-127.9"
"1987817507","Tetralophozia filiformis","Herbarium record",,"1978","49.7","-123.2"
"1987925648","Tetralophozia filiformis","Herbarium record",,"1978","49.7","-123.2"
"1987915456","Tetralophozia filiformis","Herbarium record",1986-08-03,"1986","51.6","-128.1"
