"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988724028","Thuidium recognitum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2252193620","Thuidium recognitum","Herbarium record",1982-03-14,"1982","49.416667","-121.75"
"2252193137","Thuidium recognitum","Herbarium record",1979-06-13,"1979","49.166667","-121.666667"
"2252193366","Thuidium recognitum","Herbarium record",1976-07-05,"1976","55.9","-120.5"
"2252192884","Thuidium recognitum","Herbarium record",1964-07-29,"1964","53.0","-132.0"
"2252191497","Thuidium recognitum","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"2252191041","Thuidium recognitum","Herbarium record",1980-09-21,"1980","52.0","-120.0"
"2252193570","Thuidium recognitum","Herbarium record",1984-06-12,"1984","50.15","-115.367"
"2005570990","Thuidium recognitum","Herbarium record",1928-08-16,"1928","50.740278","-120.117222"
"2005570987","Thuidium recognitum","Herbarium record",1977-08-03,"1977","53.033333","-119.25"
"2005571007","Thuidium recognitum","Herbarium record",1974-07-20,"1974","54.799835","-126.333969"
"2005570956","Thuidium recognitum","Herbarium record",1980-09-21,"1980","52.416667","-120.25"
"2005570992","Thuidium recognitum","Herbarium record",1910-05-23,"1910","50.416667","-121.316667"
"2005570965","Thuidium recognitum","Herbarium record",1964-09-12,"1964","53.25","-132.333333"
"2005571021","Thuidium recognitum","Herbarium record",1974-07-20,"1974","54.799835","-126.333969"
"2005571000","Thuidium recognitum","Herbarium record",1928-07-16,"1928","50.740278","-120.117222"
"2005570981","Thuidium recognitum","Herbarium record",1938-06-05,"1938","50.740278","-120.117222"
"2005570949","Thuidium recognitum","Herbarium record",1943-06-06,"1943","55.715529","-120.142492"
"2005571013","Thuidium recognitum","Herbarium record",1982-03-14,"1982","49.349998","-121.577787"
"2005570997","Thuidium recognitum","Herbarium record",1974-07-03,"1974","55.091075","-123.033333"
"2005571009","Thuidium recognitum","Herbarium record",1980-09-20,"1980","49.766667","-125.1"
"2005570988","Thuidium recognitum","Herbarium record",1976-07-05,"1976","55.9","-120.5"
