"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989370697","Timmia austriaca","Herbarium record",1973-05-10,"1973","49.816667","-119.366667"
"2252193023","Timmia austriaca","Herbarium record",1949-08-20,"1949","50.283333","-121.75"
"2252193823","Timmia austriaca","Herbarium record",1977-07-26,"1977","57.433333","-126.85"
"2252194195","Timmia austriaca","Herbarium record",1949-08-19,"1949","50.283333","-121.75"
"2252192699","Timmia austriaca","Herbarium record",1984-06-12,"1984","50.15","-115.483"
"3416708122","Timmia austriaca","Herbarium record",1977-07-30,"1977","57.667","-126.75"
"2005571115","Timmia austriaca","Herbarium record",1910-05-17,"1910","54.39335","-125.02441"
"2005571098","Timmia austriaca","Herbarium record",1928-07-23,"1928","50.533333","-116.06667"
"2005571117","Timmia austriaca","Herbarium record",1926-07-27,"1926","49.952778","-117.35833"
"2005571139","Timmia austriaca","Herbarium record",1971-06-25,"1971","52.8925","-118.46389"
"2005571045","Timmia austriaca","Herbarium record",1927-07-10,"1927","49.916667","-117.4"
"2005571059","Timmia austriaca","Herbarium record",1927-04-14,"1927","50.516667","-117.9"
"2005571075","Timmia austriaca","Herbarium record",1927-08-07,"1927","51.0","-118.183333"
"2005571107","Timmia austriaca","Herbarium record",1965-07-01,"1965","52.366667","-126.75"
"2005571047","Timmia austriaca","Herbarium record",1910-05-20,"1910","54.21386","-125.33203"
"4977129401","Timmia austriaca","Herbarium record",1993-10-23,"1993","48.616667","-123.916667"
"4076807860","Timmia austriaca","Herbarium record",1928-06-03,"1928","50.674323","-120.325967"
"4076811157","Timmia austriaca","Herbarium record",1977-07-20,"1977","56.55","-126.433333"
"4076811158","Timmia austriaca","Herbarium record",1977-08-02,"1977","57.65","-126.766667"
"4076812574","Timmia austriaca","Herbarium record",1928-07-23,"1928","50.449996","-116.600939"
"2028156124","Timmia austriaca","Herbarium record",1980-09-20,"1980","51.666667","-119.666667"
"2028178862","Timmia austriaca","Herbarium record",1999-05-14,"1999","48.65","-123.716667"
"2028183275","Timmia austriaca","Herbarium record",1976-04-22,"1976","49.15","-123.883333"
"2028251867","Timmia austriaca","Herbarium record",1977-08-27,"1977","53.25","-119.45"
"2028183138","Timmia austriaca","Herbarium record",1985-08-10,"1985","53.116667","-132.0"
"2028187868","Timmia austriaca","Herbarium record",1984-05-02,"1984","49.333333","-124.5"
"2028237949","Timmia austriaca","Herbarium record",1979-06-28,"1979","54.583333","-128.333333"
"2028188378","Timmia austriaca","Herbarium record",1979-05-16,"1979","50.833333","-121.833333"
"2028246152","Timmia austriaca","Herbarium record",1986-02-14,"1986","49.083333","-121.666667"
"2028276243","Timmia austriaca","Herbarium record",1986-09-13,"1986","49.666667","-121.133333"
"2028276550","Timmia austriaca","Herbarium record",1980-08-03,"1980","49.5","-120.5"
"2028285210","Timmia austriaca","Herbarium record",,"2003","48.983333","-123.666667"
"2028154866","Timmia austriaca","Herbarium record",1981-07-08,"1981","52.0","-120.0"
"2028222186","Timmia austriaca","Herbarium record",1988-04-12,"1988","49.866667","-121.433333"
"2028228038","Timmia austriaca","Herbarium record",1980-04-23,"1980","49.75","-119.75"
