"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1987764594","Vinealobryum eckeliae","Herbarium record",1989-06-10,"1989","49.25","-123.12"
"1987833058","Vinealobryum eckeliae","Herbarium record",2011-03-23,"2011","49.24","-123.14"
"1987744716","Vinealobryum eckeliae","Herbarium record",2005-04-09,"2005","48.8","-123.5"
"1987891218","Vinealobryum eckeliae","Herbarium record",2008-03-13,"2008","48.737","-123.5297"
"1987755430","Vinealobryum eckeliae","Herbarium record",2011-04-03,"2011","48.5","-123.4"
"1987856506","Vinealobryum eckeliae","Herbarium record",2010-01-22,"2010","49.25","-123.18"
"1987763304","Vinealobryum eckeliae","Herbarium record",2011-05-01,"2011","49.3","-122.9"
"4596969550","Vinealobryum eckeliae","iNat record",2024-03-07,"2024","49.05935","-122.217574"
"1987832771","Vinealobryum eckeliae","Herbarium record",2008-03-13,"2008","48.737","-123.5297"
"1987874696","Vinealobryum eckeliae","Herbarium record",2004-04-09,"2004","48.8","-123.5"
"1987762492","Vinealobryum eckeliae","Herbarium record",2010-12-01,"2010","49.26","-123.17"
