"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2517173105","Anoectangium aestivum","Herbarium record",1977-07-31,"1977","57.66667","-126.75"
"2517634819","Anoectangium aestivum","Herbarium record",1981-08-22,"1981","50.16667","-127.75"
"2005591201","Anoectangium aestivum","Herbarium record",1977-07-18,"1977","58.258611","-129.4625"
"2005592488","Anoectangium aestivum","Herbarium record",1974-07-22,"1974","54.766667","-127.166667"
"2513265876","Anoectangium aestivum","Herbarium record",1975-06-28,"1975","52.93333","-132.1"
"4076830842","Anoectangium aestivum","Herbarium record",1977-07-31,"1977","57.666667","-126.75"
"4076831418","Anoectangium aestivum","Herbarium record",1965-05-05,"1965","49.079735","-125.544319"
"2028211815","Anoectangium aestivum","Herbarium record",1994-06-23,"1994","53.183333","-132.55"
"2028294386","Anoectangium aestivum","Herbarium record",1980-11-11,"1980","49.416667","-122.833333"
"2028315809","Anoectangium aestivum","Herbarium record",1968-08-04,"1968","52.666667","-131.983333"
"2028219771","Anoectangium aestivum","Herbarium record",1969-10-02,"1969","49.583333","-126.533333"
"2028234438","Anoectangium aestivum","Herbarium record",1966-07-11,"1966","52.633333","-131.916667"
"2028151920","Anoectangium aestivum","Herbarium record",1984-08-10,"1984","53.083333","-127.8"
"2028228801","Anoectangium aestivum","Herbarium record",1970-04-15,"1970","50.933333","-126.333333"
"2028316671","Anoectangium aestivum","Herbarium record",2001-08-17,"2001","50.25","-123.583333"
"2028237452","Anoectangium aestivum","Herbarium record",1980-11-02,"1980","49.0","-125.083333"
"2028295375","Anoectangium aestivum","Herbarium record",1967-06-25,"1967","53.583333","-132.916667"
"2028159683","Anoectangium aestivum","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"2028165556","Anoectangium aestivum","Herbarium record",,"1977","53.583333","-132.916667"
"2028195360","Anoectangium aestivum","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"1804381871","Anoectangium aestivum","Herbarium record",1968-08-01,"1968","52.75","-132.117"
"1804437527","Anoectangium aestivum","Herbarium record",1979-07-12,"1979","59.6667","-132.0"
"1804450387","Anoectangium aestivum","Herbarium record",1977-07-31,"1977","57.6667","-126.75"
"1804409516","Anoectangium aestivum","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1804545539","Anoectangium aestivum","Herbarium record",1981-08-22,"1981","50.1667","-127.75"
"1804597472","Anoectangium aestivum","Herbarium record",1968-07-31,"1968","52.8333","-132.083"
"1804507769","Anoectangium aestivum","Herbarium record",1966-06-24,"1966","53.0","-132.0"
"1804451008","Anoectangium aestivum","Herbarium record",1964-08-01,"1964","53.0833","-132.167"
"1804480967","Anoectangium aestivum","Herbarium record",1958-08-04,"1958","53.0833","-120.833"
"1804512848","Anoectangium aestivum","Herbarium record",1986-07-16,"1986","49.8833","-125.867"
"1804530414","Anoectangium aestivum","Herbarium record",1966-07-11,"1966","52.6667","-132.0"
"1804487431","Anoectangium aestivum","Herbarium record",1967-06-28,"1967","52.9833","-132.083"
"1804597575","Anoectangium aestivum","Herbarium record",1977-07-28,"1977","57.4167","-126.817"
"1804538920","Anoectangium aestivum","Herbarium record",1966-07-09,"1966","53.0833","-132.5"
"1804584502","Anoectangium aestivum","Herbarium record",1984-08-10,"1984","50.2","-127.8"
