"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2028299380","Anomobryum julaceum","Herbarium record",1967-06-20,"1967","53.233333","-132.533333"
"2028219119","Anomobryum julaceum","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"2028311349","Anomobryum julaceum","Herbarium record",1986-08-15,"1986","54.583333","-130.25"
"1804419874","Anomobryum julaceum","Herbarium record",1986-08-15,"1986","54.5833","-130.25"
"5076383813","Anomobryum julaceum","Herbarium record",,"1889","51.06","-118.52"
"415716118","Anomobryum julaceum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"1987763310","Anomobryum julaceum","Herbarium record",2013-09-13,"2013","51.83","-120.05"
"1890728164","Anomobryum julaceum","iNat record",2016-09-21,"2016","53.792829","-121.274815"
"1989194946","Anomobryum julaceum","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2560552916","Anomobryum julaceum","Herbarium record",1992-07-09,"1992","54.0","-128.7"
