"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805286598","Anthelia julacea","Herbarium record",,"1908","50.0","-117.0"
"2005595906","Anthelia julacea","Herbarium record",1925-09-13,"1925","49.958333","-117.5"
"2005595831","Anthelia julacea","Herbarium record",1980-06-26,"1980","52.741874","-132.006518"
"2005596028","Anthelia julacea","Herbarium record",1980-06-26,"1980","52.741874","-132.006518"
"4076850516","Anthelia julacea","Herbarium record",1974-09-03,"1974","50.166667","-124.0"
"2028308161","Anthelia julacea","Herbarium record",2001-10-07,"2001","49.416667","-123.2"
"1804478695","Anthelia julacea","Herbarium record",1964-07-26,"1964","52.9322","-132.069"
"1804448662","Anthelia julacea","Herbarium record",1971-08-11,"1971","50.1329593","-127.9011432"
"1804556410","Anthelia julacea","Herbarium record",1967-06-22,"1967","53.2829166","-132.5843567"
"1804364279","Anthelia julacea","Herbarium record",1979-06-23,"1979","53.6663523","-129.9183025"
"1804488355","Anthelia julacea","Herbarium record",1964-08-01,"1964","53.0829204","-132.1683395"
"1804511721","Anthelia julacea","Herbarium record",1965-09-01,"1965","49.25","-124.703"
"1804471692","Anthelia julacea","Herbarium record",1977-06-06,"1977","53.5829145","-132.9183755"
"1804521814","Anthelia julacea","Herbarium record",1962-09-05,"1962","49.4583","-123.237"
"441876356","Anthelia julacea","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"441876357","Anthelia julacea","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"2005595962","Anthelia julacea","Herbarium record",1961-08-29,"1961","53.236029","-132.350499"
"1949667519","Anthelia julacea","Herbarium record",1997-07-14,"1997","53.583333","-132.816667"
"3696560944","Anthelia julacea","Herbarium record",1967-06-25,"1967","53.684557","-132.925942"
"1987920094","Anthelia julacea","Herbarium record",1979-06-23,"1979","53.7","-129.9"
"1987900174","Anthelia julacea","Herbarium record",2013-08-16,"2013","56.17","-130.051"
"1987856701","Anthelia julacea","Herbarium record",1967-06-22,"1967","53.3","-132.6"
"1987833442","Anthelia julacea","Herbarium record",1974-07-22,"1974","54.8","-127.3"
"1987826600","Anthelia julacea","Herbarium record",1982-08-22,"1982","50.1","-123.0"
