"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989041475","Barbilophozia hatcheri","Herbarium record",1943-07-18,"1943","58.633333","-124.666667"
"1805295467","Barbilophozia hatcheri","Herbarium record",,"1923","49.916667","-117.4"
"1805300915","Barbilophozia hatcheri","Herbarium record",1909-09-07,"1909","50.799166","-120.457778"
"2252163022","Barbilophozia hatcheri","Herbarium record",1949-08-20,"1949","50.283333","-121.75"
"2252167758","Barbilophozia hatcheri","Herbarium record",1977-07-04,"1977","49.416667","-117.916667"
"2252164334","Barbilophozia hatcheri","Herbarium record",1954-07-14,"1954","51.166667","-118.166667"
"2005596139","Barbilophozia hatcheri","Herbarium record",1925-09-10,"1925","54.0","-125.0"
"2005602598","Barbilophozia hatcheri","Herbarium record",1980-06-26,"1980","52.75185","-132.04703"
"2005602447","Barbilophozia hatcheri","Herbarium record",1980-06-26,"1980","52.754534","-132.048162"
"2005596100","Barbilophozia hatcheri","Herbarium record",1926-06-16,"1926","49.916667","-117.400549"
"2005596275","Barbilophozia hatcheri","Herbarium record",1924-05-14,"1924","50.102736","-117.470944"
"4076845539","Barbilophozia hatcheri","Herbarium record",1911-07-07,"1911","53.326016","-125.83997"
"4076849963","Barbilophozia hatcheri","Herbarium record",1955-07-09,"1955","51.298318","-117.054927"
"2028256898","Barbilophozia hatcheri","Herbarium record",2003-06-19,"2003","49.833333","-123.166667"
"2028176080","Barbilophozia hatcheri","Herbarium record",1981-07-18,"1981","58.333333","-129.5"
"1804509481","Barbilophozia hatcheri","Herbarium record",1977-07-26,"1977","57.3330659","-123.9342661"
"1804593336","Barbilophozia hatcheri","Herbarium record",1977-07-26,"1977","57.4330334","-126.8513589"
"1804391840","Barbilophozia hatcheri","Herbarium record",1977-07-19,"1977","56.5830261","-126.4183121"
"1804414489","Barbilophozia hatcheri","Herbarium record",1980-08-01,"1980","53.0497646","-119.2179839"
"1804546284","Barbilophozia hatcheri","Herbarium record",1979-06-29,"1979","54.8329939","-127.3342736"
"1804509198","Barbilophozia hatcheri","Herbarium record",1979-10-20,"1979","58.1997256","-128.4844404"
"1804473036","Barbilophozia hatcheri","Herbarium record",1955-07-17,"1955","52.8661","-118.671"
"1804500565","Barbilophozia hatcheri","Herbarium record",1955-07-09,"1955","51.4308","-116.402"
"1804568223","Barbilophozia hatcheri","Herbarium record",1955-07-17,"1955","53.0167","-119.067"
"1804502479","Barbilophozia hatcheri","Herbarium record",1979-11-01,"1979","58.2497246","-128.6344471"
"1804606326","Barbilophozia hatcheri","Herbarium record",1977-07-26,"1977","57.4330334","-126.8513589"
"1804570381","Barbilophozia hatcheri","Herbarium record",1977-08-07,"1977","57.8664454","-126.4183639"
