"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805289794","Brachytheciastrum velutinum","Herbarium record",,"1890","51.0","-118.183333"
"1807251876","Brachytheciastrum velutinum","Herbarium record",,"1927","50.033333","-117.41111"
"2005528267","Brachytheciastrum velutinum","Herbarium record",,"1927","50.033333","-117.41111"
"2005528212","Brachytheciastrum velutinum","Herbarium record",1926-05-12,"1926","49.975556","-117.227222"
"2517353668","Brachytheciastrum velutinum","Herbarium record",1977-07-20,"1977","59.25","-131.23333"
"5076392011","Brachytheciastrum velutinum","Herbarium record",1927-04-13,"1927","50.516667","-117.9"
"4851107551","Brachytheciastrum velutinum","Herbarium record",1958-05-07,"1958","53.183333","-122.516667"
"4851114016","Brachytheciastrum velutinum","Herbarium record",,"1969","49.666632","-125.74391"
"4851117608","Brachytheciastrum velutinum","Herbarium record",1969-08-11,"1969","49.683333","-125.0"
"1987777447","Brachytheciastrum velutinum","Herbarium record",1949-08-19,"1949","50.3","-121.8"
"1987897548","Brachytheciastrum velutinum","Herbarium record",1976-05-18,"1976","50.7","-117.9"
"1987845589","Brachytheciastrum velutinum","Herbarium record",1990-10-13,"1990","50.9","-119.6"
"1987843526","Brachytheciastrum velutinum","Herbarium record",1958-08-28,"1958","50.1","-118.0"
"1987831500","Brachytheciastrum velutinum","Herbarium record",1965-06-09,"1965","53.9","-125.1"
"1987770643","Brachytheciastrum velutinum","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987751999","Brachytheciastrum velutinum","Herbarium record",2015-06-28,"2015","49.1","-117.7"
"1987870769","Brachytheciastrum velutinum","Herbarium record",1978-08-06,"1978","51.1","-117.6"
"1987742171","Brachytheciastrum velutinum","Herbarium record",1980-09-21,"1980","52.0","-120.2"
"1987839429","Brachytheciastrum velutinum","Herbarium record",1977-07-05,"1977","49.4","-118.1"
"1987812338","Brachytheciastrum velutinum","Herbarium record",1969-04-22,"1969","49.2","-123.1"
"1987905978","Brachytheciastrum velutinum","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987853559","Brachytheciastrum velutinum","Herbarium record",1980-08-22,"1980","49.1","-121.8"
"1987729699","Brachytheciastrum velutinum","Herbarium record",1969-07-12,"1969","49.1","-124.3"
"1987902870","Brachytheciastrum velutinum","Herbarium record",1980-08-12,"1980","50.0","-123.1"
"1987882691","Brachytheciastrum velutinum","Herbarium record",1981-02-07,"1981","49.2","-122.3"
"1987785207","Brachytheciastrum velutinum","Herbarium record",1971-06-17,"1971","50.8","-119.1"
