"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252140192","Brachythecium erythrorrhizon","Herbarium record",1943-06-18,"1943","57.05","-122.533333"
"2252140525","Brachythecium erythrorrhizon","Herbarium record",1988-06-22,"1988","52.65","-119.016667"
"2252140706","Brachythecium erythrorrhizon","Herbarium record",1970-06-21,"1970","58.82","-123.5"
"2252139929","Brachythecium erythrorrhizon","Herbarium record",1949-08-19,"1949","50.283333","-121.75"
"2005527350","Brachythecium erythrorrhizon","Herbarium record",1927-06-01,"1927","49.990278","-117.877778"
"2005528166","Brachythecium erythrorrhizon","Herbarium record",,"1926","50.083333","-117.940556"
"1804426549","Brachythecium erythrorrhizon","Herbarium record",1890-05-06,"1890","50.9833","-118.2"
"1949668027","Brachythecium erythrorrhizon","Herbarium record",1977-08-17,"1977","50.6","-115.591667"
"3898303935","Brachythecium erythrorrhizon","Herbarium record",1991-06-24,"1991","52.583333","-118.833333"
"3820676212","Brachythecium erythrorrhizon","Herbarium record",,"1985","50.283333","-121.75"
"4851107547","Brachythecium erythrorrhizon","Herbarium record",1958-05-09,"1958","53.10145","-121.57986"
"4851108223","Brachythecium erythrorrhizon","Herbarium record",1949-08-19,"1949","50.2833","-121.75"
"1987830061","Brachythecium erythrorrhizon","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987798371","Brachythecium erythrorrhizon","Herbarium record",1949-08-19,"1949","50.3","-121.8"
"1987845209","Brachythecium erythrorrhizon","Herbarium record",1977-07-06,"1977","49.4","-117.9"
"1987783878","Brachythecium erythrorrhizon","Herbarium record",1968-07-14,"1968","56.0","-123.0"
"1987928520","Brachythecium erythrorrhizon","Herbarium record",1968-06-26,"1968","55.4","-123.1"
"1987829016","Brachythecium erythrorrhizon","Herbarium record",1981-07-06,"1981","51.8","-119.8"
"2028211766","Brachythecium erythrorrhizon","Herbarium record",1943-06-18,"1943","57.05","-122.533333"
"3467182681","Brachythecium erythrorrhizon","Herbarium record",1943-06-18,"1943","57.05","-122.53"
"1840845036","Brachythecium erythrorrhizon","Herbarium record",1977-07-15,"1977","56.0","-129.066667"
"1989394258","Brachythecium erythrorrhizon","Herbarium record",1943-06-18,"1943","57.05","-122.533333"
"1930317473","Brachythecium erythrorrhizon","Herbarium record",1890-05-06,"1890","51.0","-118.183333"
"1987756000","Brachythecium erythrorrhizon","Herbarium record",,"1927","50.0","-117.2"
"1987893666","Brachythecium erythrorrhizon","Herbarium record",2010-08-20,"2010","49.8","-125.3"
"1987881388","Brachythecium erythrorrhizon","Herbarium record",1998-06-16,"1998","56.732498","-129.767502"
"1987872616","Brachythecium erythrorrhizon","Herbarium record",1970-06-21,"1970","58.8","-123.5"
"1987773492","Brachythecium erythrorrhizon","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987752725","Brachythecium erythrorrhizon","Herbarium record",1977-08-17,"1977","50.7","-115.5"
"1987724587","Brachythecium erythrorrhizon","Herbarium record",1958-05-07,"1958","53.3","-122.6"
"1987807986","Brachythecium erythrorrhizon","Herbarium record",2011-08-07,"2011","50.1","-122.97"
"1987850077","Brachythecium erythrorrhizon","Herbarium record",1958-05-09,"1958","53.1","-121.6"
"1987792073","Brachythecium erythrorrhizon","Herbarium record",1978-07-24,"1978","50.0","-117.1"
"1987771821","Brachythecium erythrorrhizon","Herbarium record",1962-10-10,"1962","55.2","-124.4"
"1987801723","Brachythecium erythrorrhizon","Herbarium record",1949-08-19,"1949","50.3","-121.8"
