"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805292342","Bucklandiella heterosticha","Herbarium record",1926-04-15,"1926","50.516667","-117.9"
"2252143080","Bucklandiella heterosticha","Herbarium record",1887-04-21,"1887","48.466","-123.4166"
"2252142956","Bucklandiella heterosticha","Herbarium record",1926-04-15,"1926","50.516667","-117.9"
"2252143437","Bucklandiella heterosticha","Herbarium record",1950-07-31,"1950","48.466189","-123.468698"
"2252141970","Bucklandiella heterosticha","Herbarium record",1951-07-31,"1951","48.466189","-123.468698"
"2252143054","Bucklandiella heterosticha","Herbarium record",2006-07-24,"2006","49.116667","-118.266667"
"2252143874","Bucklandiella heterosticha","Herbarium record",1979-06-24,"1979","53.617","-129.783"
"2005562560","Bucklandiella heterosticha","Herbarium record",1961-02-14,"1961","49.7","-123.15"
"2005562587","Bucklandiella heterosticha","Herbarium record",1974-07-21,"1974","54.766667","-127.166667"
"2005562556","Bucklandiella heterosticha","Herbarium record",1978-06-19,"1978","49.046882","-116.388817"
"2005562489","Bucklandiella heterosticha","Herbarium record",1926-07-13,"1926","49.916667","-117.4"
"2005562636","Bucklandiella heterosticha","Herbarium record",1980-09-20,"1980","54.7575","-123.361111"
"2005562504","Bucklandiella heterosticha","Herbarium record",1965-08-10,"1965","51.591944","-127.983889"
"2005562601","Bucklandiella heterosticha","Herbarium record",1978-06-19,"1978","49.046882","-116.388817"
"2005562596","Bucklandiella heterosticha","Herbarium record",1927-05-17,"1927","49.952778","-117.35833"
"2005562593","Bucklandiella heterosticha","Herbarium record",1927-04-17,"1927","50.516667","-117.9"
"2005562553","Bucklandiella heterosticha","Herbarium record",1967-06-20,"1967","53.25","-132.333333"
"2005562580","Bucklandiella heterosticha","Herbarium record",1927-05-17,"1927","49.952778","-117.35833"
"2005562568","Bucklandiella heterosticha","Herbarium record",1950-07-31,"1950","48.467778","-123.470556"
"2005562567","Bucklandiella heterosticha","Herbarium record",1974-07-03,"1974","55.4","-122.63333"
"2005562612","Bucklandiella heterosticha","Herbarium record",1977-08-05,"1977","49.116667","-118.266667"
"2005562464","Bucklandiella heterosticha","Herbarium record",1965-08-26,"1965","49.666667","-125.833333"
"2005562500","Bucklandiella heterosticha","Herbarium record",1964-09-27,"1964","49.566667","-121.433333"
"2005562473","Bucklandiella heterosticha","Herbarium record",1963-05-28,"1963","49.5025","-123.250556"
"2005562508","Bucklandiella heterosticha","Herbarium record",1941-07-27,"1941","51.266667","-117.516667"
"2005562541","Bucklandiella heterosticha","Herbarium record",1926-06-13,"1926","49.916667","-117.4"
"2005562620","Bucklandiella heterosticha","Herbarium record",1977-07-30,"1977","57.533333","-126.783333"
"4076840291","Bucklandiella heterosticha","Herbarium record",1974-07-21,"1974","54.811944","-127.339722"
"4076840353","Bucklandiella heterosticha","Herbarium record",1977-07-30,"1977","57.683333","-126.783333"
"4076840442","Bucklandiella heterosticha","Herbarium record",1966-09-02,"1966","49.393333","-122.944444"
"2028216108","Bucklandiella heterosticha","Herbarium record",1999-05-14,"1999","48.65","-123.716667"
"2028291367","Bucklandiella heterosticha","Herbarium record",1969-07-11,"1969","49.02312","-123.82021"
"2028306585","Bucklandiella heterosticha","Herbarium record",1981-07-18,"1981","58.333333","-129.5"
"2028311239","Bucklandiella heterosticha","Herbarium record",1969-05-15,"1969","48.483333","-123.483333"
"2028185301","Bucklandiella heterosticha","Herbarium record",1967-06-23,"1967","53.516667","-132.666667"
"2028201289","Bucklandiella heterosticha","Herbarium record",1982-04-01,"1982","48.416667","-123.333333"
"2028189061","Bucklandiella heterosticha","Herbarium record",1976-05-19,"1976","49.666667","-116.833333"
"2028275446","Bucklandiella heterosticha","Herbarium record",1966-07-02,"1966","53.583333","-132.916667"
"2028308934","Bucklandiella heterosticha","Herbarium record",1966-07-15,"1966","52.166667","-131.083333"
"2028166211","Bucklandiella heterosticha","Herbarium record",1967-06-23,"1967","53.516667","-132.666667"
"2028208524","Bucklandiella heterosticha","Herbarium record",,"1965","51.666667","-128.133333"
"2028148690","Bucklandiella heterosticha","Herbarium record",1966-07-10,"1966","52.833333","-132.25"
"2028229516","Bucklandiella heterosticha","Herbarium record",1976-05-18,"1976","51.0","-118.333333"
"2028258825","Bucklandiella heterosticha","Herbarium record",1966-06-20,"1966","53.25","-132.0"
"2028158491","Bucklandiella heterosticha","Herbarium record",1979-04-23,"1979","49.833333","-121.333333"
"2028280531","Bucklandiella heterosticha","Herbarium record",1985-08-10,"1985","53.116667","-132.0"
"2028209974","Bucklandiella heterosticha","Herbarium record",1966-07-15,"1966","52.25","-131.333333"
"1804430579","Bucklandiella heterosticha","Herbarium record",1885-08-24,"1885","50.5","-117.5"
"1804582680","Bucklandiella heterosticha","Herbarium record",1887-07-17,"1887","49.2167","-124.6"
"1804410776","Bucklandiella heterosticha","Herbarium record",1890-08-06,"1890","51.3","-117.517"
"1804601065","Bucklandiella heterosticha","Herbarium record",1887-07-17,"1887","49.2167","-124.6"
"1804500474","Bucklandiella heterosticha","Herbarium record",1887-07-17,"1887","49.2167","-124.6"
"5076376142","Bucklandiella heterosticha","Herbarium record",1926-06-18,"1926","49.99","-117.372"
"5076376143","Bucklandiella heterosticha","Herbarium record",,"1890","51.3","-117.51"
"5076381589","Bucklandiella heterosticha","Herbarium record",1968-08-01,"1968","58.883504","-134.2769"
"5076387471","Bucklandiella heterosticha","Herbarium record",1991-07-24,"1991","50.166667","-125.233333"
"5076395631","Bucklandiella heterosticha","Herbarium record",,"1889","50.0","-117.0"
"5076395637","Bucklandiella heterosticha","Herbarium record",1941-07-27,"1941","51.270342","-117.504391"
"5076399591","Bucklandiella heterosticha","Herbarium record",1968-08-01,"1968","58.883504","-134.2769"
"5076399593","Bucklandiella heterosticha","Herbarium record",1966-08-06,"1966","58.883504","-134.2769"
"5076399633","Bucklandiella heterosticha","Herbarium record",1968-07-19,"1968","58.883504","-134.2769"
"2266077872","Bucklandiella heterosticha","Herbarium record",1926-06-18,"1926","49.983333","-117.366667"
"4849611347","Bucklandiella heterosticha","Herbarium record",1926-07-19,"1926","52.74","-118.38"
"4849638580","Bucklandiella heterosticha","Herbarium record",1926-06-18,"1926","49.99","-117.372"
"4849678311","Bucklandiella heterosticha","Herbarium record",1926-04-15,"1926","50.516667","-117.9"
"1949666760","Bucklandiella heterosticha","Herbarium record",1973-05-03,"1973","48.966667","-124.25"
"1949668625","Bucklandiella heterosticha","Herbarium record",1996-06-21,"1996","48.723333","-123.48"
"1949666767","Bucklandiella heterosticha","Herbarium record",1972-09-30,"1972","49.033333","-124.433333"
"1949668577","Bucklandiella heterosticha","Herbarium record",1996-06-21,"1996","48.765","-123.51"
"1949668213","Bucklandiella heterosticha","Herbarium record",1978-07-29,"1978","50.5","-124.35"
