"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4856400473","Calliergon richardsonii","Herbarium record",1965-08-05,"1965","52.4","-126.683333"
"2252144911","Calliergon richardsonii","Herbarium record",1974-06-30,"1974","58.716667","-124.233333"
"2005531931","Calliergon richardsonii","Herbarium record",1981-07-18,"1981","58.333333","-129.5"
"2005532011","Calliergon richardsonii","Herbarium record",1976-07-05,"1976","57.45","-122.916667"
"2005531950","Calliergon richardsonii","Herbarium record",1977-07-18,"1977","58.258611","-129.4625"
"2005531970","Calliergon richardsonii","Herbarium record",1965-06-25,"1965","54.033333","-125.833333"
"1987926874","Calliergon richardsonii","Herbarium record",1992-07-28,"1992","59.7","-136.6"
"1987809990","Calliergon richardsonii","Herbarium record",1981-07-18,"1981","58.3","-129.5"
"1987823147","Calliergon richardsonii","Herbarium record",1977-07-19,"1977","56.6","-126.4"
"1987907973","Calliergon richardsonii","Herbarium record",2010-07-09,"2010","54.094","-125.167"
"1987903598","Calliergon richardsonii","Herbarium record",1976-07-05,"1976","57.5","-122.9"
"1987828689","Calliergon richardsonii","Herbarium record",1965-08-03,"1965","54.1","-125.1"
"5006796556","Calliergon richardsonii","iNat record",2021-09-10,"2021","51.057957","-118.132855"
"1257938570","Calliergon richardsonii","Herbarium record",1995-06-28,"1995","49.116667","-124.0"
"1257938562","Calliergon richardsonii","Herbarium record",1995-06-28,"1995","49.116667","-124.0"
"1988743848","Calliergon richardsonii","Herbarium record",1977-07-19,"1977","56.58333","-126.41667"
"1989258753","Calliergon richardsonii","Herbarium record",1981-07-18,"1981","58.33333","-129.5"
"1929998367","Calliergon richardsonii","Herbarium record",1981-07-18,"1981","58.33","-129.5"
"1930504325","Calliergon richardsonii","Herbarium record",1976-07-05,"1976","57.45","-122.92"
"1930480778","Calliergon richardsonii","Herbarium record",1977-07-19,"1977","56.58","-126.42"
"2817033301","Calliergon richardsonii","Herbarium record",1965-08-05,"1965","52.4","-126.683333"
"4429465356","Calliergon richardsonii","Herbarium record",1965-08-05,"1965","52.4","-126.683333"
"1987835207","Calliergon richardsonii","Herbarium record",1965-06-25,"1965","54.0","-126.0"
"1987885157","Calliergon richardsonii","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987835174","Calliergon richardsonii","Herbarium record",1973-07-23,"1973","57.4","-130.3"
"1987770950","Calliergon richardsonii","Herbarium record",2011-09-11,"2011","49.4","-123.1"
"1987771781","Calliergon richardsonii","Herbarium record",2010-07-09,"2010","54.094","-125.167"
"1987852208","Calliergon richardsonii","Herbarium record",2009-09-23,"2009","55.623","-128.229"
"1987816531","Calliergon richardsonii","Herbarium record",1992-07-28,"1992","59.7","-136.6"
"1987874337","Calliergon richardsonii","Herbarium record",1998-07-21,"1998","55.096111","-127.110001"
"1987794958","Calliergon richardsonii","Herbarium record",1979-07-21,"1979","55.5","-120.8"
"1987768870","Calliergon richardsonii","Herbarium record",1970-08-15,"1970","58.7","-122.8"
"1987759876","Calliergon richardsonii","Herbarium record",2000-08-17,"2000","50.9","-120.6"
