"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"5196033231","Calliergonellopsis dieckii","Herbarium record",1999-05-15,"1999","48.566667","-124.383333"
"2252160385","Calliergonellopsis dieckii","Herbarium record",1965-07-02,"1965","49.083333","-125.583333"
"2252163540","Calliergonellopsis dieckii","Herbarium record",1972-07-11,"1972","54.583333","-130.0"
"2252162902","Calliergonellopsis dieckii","Herbarium record",1975-06-28,"1975","52.933333","-132.1"
"2252163404","Calliergonellopsis dieckii","Herbarium record",1967-06-22,"1967","53.283333","-132.583333"
"2252162618","Calliergonellopsis dieckii","Herbarium record",1961-05-04,"1961","48.55","-124.416667"
"2252163783","Calliergonellopsis dieckii","Herbarium record",1968-08-03,"1968","52.833","-132.133"
"2252158426","Calliergonellopsis dieckii","Herbarium record",1970-04-16,"1970","50.816667","-126.016667"
"2005548244","Calliergonellopsis dieckii","Herbarium record",1960-11-11,"1960","49.616648","-123.266999"
"2005549268","Calliergonellopsis dieckii","Herbarium record",1960-09-08,"1960","50.179167","-125.2975"
"2005549193","Calliergonellopsis dieckii","Herbarium record",1927-06-03,"1927","49.783333","-118.133333"
"2005549264","Calliergonellopsis dieckii","Herbarium record",1961-05-17,"1961","53.25","-132.333333"
"2005548247","Calliergonellopsis dieckii","Herbarium record",1968-08-04,"1968","52.858056","-132.083889"
"2005549214","Calliergonellopsis dieckii","Herbarium record",1968-07-31,"1968","53.25","-132.333333"
"2005549273","Calliergonellopsis dieckii","Herbarium record",1977-11-29,"1977","49.433333","-122.433333"
"2005548296","Calliergonellopsis dieckii","Herbarium record",1964-07-26,"1964","52.930833","-132.063056"
"2005549265","Calliergonellopsis dieckii","Herbarium record",1969-08-17,"1969","49.25","-123.133333"
"2005549122","Calliergonellopsis dieckii","Herbarium record",1962-06-20,"1962","49.594444","-124.015278"
"2005548229","Calliergonellopsis dieckii","Herbarium record",1964-09-11,"1964","54.283889","-130.315556"
"2005548233","Calliergonellopsis dieckii","Herbarium record",1964-09-12,"1964","53.019167","-132.085555"
"2005549244","Calliergonellopsis dieckii","Herbarium record",1901-08-17,"1901","49.616667","-125.016667"
"2005549253","Calliergonellopsis dieckii","Herbarium record",1962-09-05,"1962","49.457778","-123.186389"
"4076849348","Calliergonellopsis dieckii","Herbarium record",1961-05-19,"1961","53.583333","-132.5"
"4076850257","Calliergonellopsis dieckii","Herbarium record",1974-05-29,"1974","49.22244","-122.755124"
"4076850265","Calliergonellopsis dieckii","Herbarium record",1974-09-03,"1974","50.166667","-124.0"
"4076850268","Calliergonellopsis dieckii","Herbarium record",1974-05-29,"1974","49.22244","-122.755124"
"4076850269","Calliergonellopsis dieckii","Herbarium record",1974-05-06,"1974","48.829576","-125.146331"
"2028218712","Calliergonellopsis dieckii","Herbarium record",2001-05-22,"2001","49.666667","-123.25"
"2028154503","Calliergonellopsis dieckii","Herbarium record",1994-06-25,"1994","53.116667","-132.466667"
"2028195306","Calliergonellopsis dieckii","Herbarium record",2002-06-23,"2002","53.55","-132.3"
"2028279472","Calliergonellopsis dieckii","Herbarium record",2002-06-23,"2002","53.333333","-132.383333"
"5076403085","Calliergonellopsis dieckii","Herbarium record",1979-06-25,"1979","53.616667","-129.783333"
"5076403087","Calliergonellopsis dieckii","Herbarium record",1926-06-03,"1926","49.783333","-118.133333"
"5076403090","Calliergonellopsis dieckii","Herbarium record",1976-06-12,"1976","50.15","-125.2"
"5076403091","Calliergonellopsis dieckii","Herbarium record",1976-06-12,"1976","50.15","-125.2"
"2266061849","Calliergonellopsis dieckii","Herbarium record",1961-05-19,"1961","53.583333","-132.5"
"1949667025","Calliergonellopsis dieckii","Herbarium record",1972-10-03,"1972","48.75","-124.416667"
"332951857","Calliergonellopsis dieckii","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"332951855","Calliergonellopsis dieckii","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"332951854","Calliergonellopsis dieckii","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
