"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805298894","Claopodium crispifolium","Herbarium record",1972-05-02,"1972","48.442854","-123.721225"
"1805297707","Claopodium crispifolium","Herbarium record",1960-12-15,"1960","49.270833","-123.262222"
"4856441221","Claopodium crispifolium","Herbarium record",2000-05-11,"2000","49.316667","-122.3"
"2252144564","Claopodium crispifolium","Herbarium record",1964-06-30,"1964","48.45","-123.55"
"2252146182","Claopodium crispifolium","Herbarium record",,"1954","49.5","-125.5"
"2252145590","Claopodium crispifolium","Herbarium record",1964-06-30,"1964","48.45","-123.55"
"2252146454","Claopodium crispifolium","Herbarium record",1964-06-30,"1964","48.45","-123.55"
"2252145936","Claopodium crispifolium","Herbarium record",1962-08-21,"1962","48.45","-123.55"
"2252145981","Claopodium crispifolium","Herbarium record",1960-12-15,"1960","49.270833","-123.262222"
"2252146153","Claopodium crispifolium","Herbarium record",,"1950","48.45","-123.55"
"2252146160","Claopodium crispifolium","Herbarium record",1962-08-14,"1962","48.433232","-123.502689"
"2252146001","Claopodium crispifolium","Herbarium record",1950-07-21,"1950","48.46","-123.55"
"1052400577","Claopodium crispifolium","Herbarium record",1998-02-15,"1998","49.25","-123.183333"
"1052551375","Claopodium crispifolium","Herbarium record",2008-05-13,"2008","49.2","-122.3"
"2005534103","Claopodium crispifolium","Herbarium record",1964-07-09,"1964","49.666667","-125.833333"
"2005534018","Claopodium crispifolium","Herbarium record",1957-08-16,"1957","49.1","-122.733333"
"2005534003","Claopodium crispifolium","Herbarium record",1962-08-14,"1962","48.433232","-123.502689"
"2005534034","Claopodium crispifolium","Herbarium record",1964-09-27,"1964","49.566667","-121.433333"
"2005533943","Claopodium crispifolium","Herbarium record",1961-03-03,"1961","49.25","-123.133333"
"2005533986","Claopodium crispifolium","Herbarium record",1901-06-17,"1901","49.683333","-124.933333"
"2005533991","Claopodium crispifolium","Herbarium record",1960-11-11,"1960","49.285961","-123.113756"
"2005534001","Claopodium crispifolium","Herbarium record",1970-11-15,"1970","49.166667","-121.95"
"2005533965","Claopodium crispifolium","Herbarium record",1998-02-15,"1998","49.25","-123.183333"
"2005534024","Claopodium crispifolium","Herbarium record",,"1930","48.482778","-123.538333"
"2005533959","Claopodium crispifolium","Herbarium record",1957-08-16,"1957","49.1","-122.733333"
"2028188844","Claopodium crispifolium","Herbarium record",2002-06-23,"2002","53.3","-132.283333"
"2028151872","Claopodium crispifolium","Herbarium record",2000-10-24,"2000","49.566667","-121.433333"
"2028215428","Claopodium crispifolium","Herbarium record",1986-08-10,"1986","53.170598","-129.54447"
"2028229790","Claopodium crispifolium","Herbarium record",2002-06-23,"2002","53.3","-132.283333"
"2028238955","Claopodium crispifolium","Herbarium record",2002-06-23,"2002","53.3","-132.283333"
"2028198733","Claopodium crispifolium","Herbarium record",1986-08-11,"1986","53.333333","-129.866667"
"3864948920","Claopodium crispifolium","Herbarium record",1957-08-16,"1957","49.1","-122.733333"
"5076353494","Claopodium crispifolium","Herbarium record",1901-07-19,"1901","49.616667","-125.016667"
"5076353495","Claopodium crispifolium","Herbarium record",1901-06-17,"1901","49.675","-124.93"
"5076356434","Claopodium crispifolium","Herbarium record",1935-06-22,"1935","48.983333","-123.816667"
"2266046738","Claopodium crispifolium","Herbarium record",1962-08-14,"1962","48.433232","-123.502689"
"4849592197","Claopodium crispifolium","Herbarium record",1957-08-16,"1957","49.1","-122.733333"
"4849602753","Claopodium crispifolium","Herbarium record",1957-08-16,"1957","49.1","-122.733333"
"4849602823","Claopodium crispifolium","Herbarium record",1901-06-17,"1901","49.683333","-124.933333"
"1949666978","Claopodium crispifolium","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"1949667084","Claopodium crispifolium","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"1949666591","Claopodium crispifolium","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"1949666737","Claopodium crispifolium","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"4849622797","Claopodium crispifolium","Herbarium record",1969-08-19,"1969","49.2","-121.666667"
"4849622808","Claopodium crispifolium","Herbarium record",1969-08-19,"1969","49.2","-121.666667"
"4849622853","Claopodium crispifolium","Herbarium record",1928-08-23,"1928","49.283333","-121.516667"
