"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005535172","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"2005535254","Ctenidium schofieldii","Herbarium record",1969-07-26,"1969","53.562778","-132.875"
"2005535246","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"2005535176","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"2005535245","Ctenidium schofieldii","Herbarium record",1966-07-06,"1966","52.333333","-131.475"
"2005535160","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.133333","-132.083333"
"2005535174","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.666667","-131.5"
"2028180091","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"2028198926","Ctenidium schofieldii","Herbarium record",1966-07-10,"1966","52.833333","-132.25"
"2028191853","Ctenidium schofieldii","Herbarium record",1971-07-06,"1971","52.616667","-131.766667"
"2028270141","Ctenidium schofieldii","Herbarium record",1967-07-30,"1967","53.666667","-132.666667"
"2028271476","Ctenidium schofieldii","Herbarium record",1967-07-28,"1967","52.75","-132.033333"
"2028221410","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.75","-132.116667"
"2028264290","Ctenidium schofieldii","Herbarium record",1967-06-21,"1967","53.25","-132.55"
"1987800780","Ctenidium schofieldii","Herbarium record",1964-09-12,"1964","53.0","-132.1"
"1987932182","Ctenidium schofieldii","Herbarium record",1964-09-12,"1964","53.0","-132.1"
"1987856681","Ctenidium schofieldii","Herbarium record",2010-07-16,"2010","53.561","-132.866"
"1987816066","Ctenidium schofieldii","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987785758","Ctenidium schofieldii","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987784122","Ctenidium schofieldii","Herbarium record",1964-07-27,"1964","52.9","-132.1"
"1987800013","Ctenidium schofieldii","Herbarium record",1985-08-12,"1985","52.8","-132.1"
"1987898741","Ctenidium schofieldii","Herbarium record",1964-08-01,"1964","53.1","-132.1"
"1987807086","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.0","-132.1"
"2028156985","Ctenidium schofieldii","Herbarium record",1964-08-01,"1964","53.083333","-132.166667"
"2028282506","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"2028314670","Ctenidium schofieldii","Herbarium record",1967-07-02,"1967","52.983333","-132.083333"
"2028153269","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"2028299227","Ctenidium schofieldii","Herbarium record",1967-06-25,"1967","53.583333","-132.916667"
"2028209691","Ctenidium schofieldii","Herbarium record",1967-07-25,"1967","53.583333","-132.916667"
"2028151422","Ctenidium schofieldii","Herbarium record",,"1977","53.583333","-132.916667"
"2028284597","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.133333","-132.083333"
"2028169232","Ctenidium schofieldii","Herbarium record",1975-06-29,"1975","52.933333","-132.083333"
"2028304272","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.983333","-132.083333"
"1988850434","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.833333","-132.083333"
"1989196871","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.666667","-131.5"
"1989067040","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.75","-132.116667"
"1989488754","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.583333","-132.916667"
"1988732726","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","58.133333","-132.083333"
"1989318111","Ctenidium schofieldii","Herbarium record",1967-06-21,"1967","53.25","-132.55"
"1929532532","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.13","-132.08"
"1930355284","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.98","-132.08"
"1930940149","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.83","-132.08"
"1261590896","Ctenidium schofieldii","Herbarium record",1968-07-29,"1968","53.58","-132.92"
"1261590895","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.67","-131.5"
"1261590913","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","52.98","-132.08"
"1261590891","Ctenidium schofieldii","Herbarium record",1964-07-31,"1964","53.13","-132.08"
"1261590903","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.83","-132.08"
"2005429647","Ctenidium schofieldii","Herbarium record",2010-07-16,"2010","53.560694","-132.866444"
"1987917456","Ctenidium schofieldii","Herbarium record",1967-07-30,"1967","53.7","-132.7"
"1987795359","Ctenidium schofieldii","Herbarium record",1964-06-10,"1964","52.6","-131.8"
"1987757612","Ctenidium schofieldii","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987880381","Ctenidium schofieldii","Herbarium record",1985-08-21,"1985","52.6","-131.8"
"1987844745","Ctenidium schofieldii","Herbarium record",1967-07-02,"1967","53.0","-132.1"
"1987844071","Ctenidium schofieldii","Herbarium record",1966-06-28,"1966","53.0","-132.1"
"1987788785","Ctenidium schofieldii","Herbarium record",1980-07-26,"1980","52.8","-132.1"
"1987800066","Ctenidium schofieldii","Herbarium record",1971-07-06,"1971","52.6","-131.8"
"1987790738","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.8","-132.1"
"1987749087","Ctenidium schofieldii","Herbarium record",1966-07-06,"1966","52.3","-131.5"
"1987819268","Ctenidium schofieldii","Herbarium record",1967-06-21,"1967","53.3","-132.6"
"1987771331","Ctenidium schofieldii","Herbarium record",1968-08-01,"1968","52.8","-132.1"
"1987765108","Ctenidium schofieldii","Herbarium record",1966-07-06,"1966","52.3","-131.5"
