"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252147895","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"2005535675","Dichodontium olympicum","Herbarium record",1962-09-05,"1962","49.316667","-123.066667"
"2005535605","Dichodontium olympicum","Herbarium record",1962-09-08,"1962","49.316667","-123.066667"
"2005535597","Dichodontium olympicum","Herbarium record",1964-09-26,"1964","49.366667","-122.947778"
"2005535599","Dichodontium olympicum","Herbarium record",1965-08-24,"1965","49.936944","-123.025556"
"2005535590","Dichodontium olympicum","Herbarium record",1928-07-19,"1928","50.533333","-116.06667"
"2005535738","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"1932364558","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"4076819192","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.393333","-122.944444"
"4076824657","Dichodontium olympicum","Herbarium record",1966-09-02,"1966","49.393333","-122.944444"
"2028218651","Dichodontium olympicum","Herbarium record",,"1971","49.683333","-125.616667"
"2028231064","Dichodontium olympicum","Herbarium record",1969-07-02,"1969","53.1","-121.666667"
"2028230448","Dichodontium olympicum","Herbarium record",,"1971","49.683333","-125.616667"
"5076422469","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"5076433243","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"2266050802","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"1949666853","Dichodontium olympicum","Herbarium record",1973-02-11,"1973","48.866667","-124.183333"
"415715546","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"4849619536","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"4929266530","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"1987917694","Dichodontium olympicum","Herbarium record",1960-09-07,"1960","49.8","-123.1"
"1987789186","Dichodontium olympicum","Herbarium record",1976-07-22,"1976","51.4","-117.5"
"1987776118","Dichodontium olympicum","Herbarium record",1961-09-07,"1961","49.4","-123.0"
"1987746603","Dichodontium olympicum","Herbarium record",1979-10-07,"1979","50.0","-123.1"
"1987736073","Dichodontium olympicum","Herbarium record",1978-07-14,"1978","49.8","-117.1"
"1987833484","Dichodontium olympicum","Herbarium record",2010-08-22,"2010","49.75","-126.49"
"1987794463","Dichodontium olympicum","Herbarium record",1978-07-23,"1978","50.0","-117.1"
"1987754145","Dichodontium olympicum","Herbarium record",1967-09-09,"1967","49.2","-121.7"
"1987837333","Dichodontium olympicum","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987737327","Dichodontium olympicum","Herbarium record",1978-07-13,"1978","49.8","-117.7"
"1987926057","Dichodontium olympicum","Herbarium record",1974-09-14,"1974","49.1","-121.6"
"1987907648","Dichodontium olympicum","Herbarium record",1959-09-01,"1959","49.4","-123.0"
"1987749274","Dichodontium olympicum","Herbarium record",2008-07-09,"2008","50.71","-124.71"
"1987911681","Dichodontium olympicum","Herbarium record",1962-08-18,"1962","49.4","-123.0"
"1987869981","Dichodontium olympicum","Herbarium record",1982-08-20,"1982","49.6","-125.7"
"1987878674","Dichodontium olympicum","Herbarium record",2013-08-16,"2013","56.17","-130.051"
"1987758530","Dichodontium olympicum","Herbarium record",1959-09-01,"1959","49.1","-120.9"
"2028164792","Dichodontium olympicum","Herbarium record",,"1971","49.683333","-125.616667"
"2028179184","Dichodontium olympicum","Herbarium record",1971-09-01,"1971","49.25","-125.233333"
"2028177883","Dichodontium olympicum","Herbarium record",,"1971","49.683333","-125.616667"
"2028269453","Dichodontium olympicum","Herbarium record",1986-09-13,"1986","49.416667","-121.166667"
"2028205760","Dichodontium olympicum","Herbarium record",1983-09-29,"1983","49.583333","-123.083333"
"2028280537","Dichodontium olympicum","Herbarium record",1979-10-14,"1979","49.333333","-123.166667"
"3467381467","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.33","-122.97"
"1135425638","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.399083","-122.950538"
"1989278465","Dichodontium olympicum","Herbarium record",1962-10-27,"1962","49.333333","-122.966667"
"1988772736","Dichodontium olympicum","Herbarium record",1978-07-14,"1978","49.816667","-117.133333"
"1987787334","Dichodontium olympicum","Herbarium record",1968-03-16,"1968","49.2","-117.27"
"1987918774","Dichodontium olympicum","Herbarium record",1981-08-08,"1981","49.2","-121.7"
"1987761985","Dichodontium olympicum","Herbarium record",1971-08-23,"1971","49.7","-125.6"
"1987721191","Dichodontium olympicum","Herbarium record",1965-08-24,"1965","49.8","-123.1"
"1987718811","Dichodontium olympicum","Herbarium record",2012-09-27,"2012","51.36","-122.32"
"1987879843","Dichodontium olympicum","Herbarium record",1977-08-21,"1977","50.8","-116.8"
"1987777463","Dichodontium olympicum","Herbarium record",1986-09-13,"1986","49.4","-121.2"
"1987765260","Dichodontium olympicum","Herbarium record",1975-09-21,"1975","49.7","-117.2"
"1987745220","Dichodontium olympicum","Herbarium record",1977-08-23,"1977","51.3","-117.6"
"1987914569","Dichodontium olympicum","Herbarium record",1979-10-07,"1979","50.0","-123.1"
"1987871892","Dichodontium olympicum","Herbarium record",1963-09-22,"1963","49.4","-123.1"
"1987801695","Dichodontium olympicum","Herbarium record",2012-09-27,"2012","51.36","-122.32"
"1987747424","Dichodontium olympicum","Herbarium record",1966-09-04,"1966","49.7","-122.1"
"1987749902","Dichodontium olympicum","Herbarium record",1967-09-16,"1967","50.1","-122.8"
"1987900554","Dichodontium olympicum","Herbarium record",2014-08-23,"2014","50.12","-122.95"
"1987879002","Dichodontium olympicum","Herbarium record",1962-09-05,"1962","49.5","-123.2"
"1987859040","Dichodontium olympicum","Herbarium record",1969-07-02,"1969","53.1","-121.7"
"1987740211","Dichodontium olympicum","Herbarium record",1983-09-29,"1983","49.6","-123.1"
"1987845949","Dichodontium olympicum","Herbarium record",1962-09-08,"1962","49.4","-123.0"
"1987772993","Dichodontium olympicum","Herbarium record",1978-07-27,"1978","49.7","-117.8"
"1987855900","Dichodontium olympicum","Herbarium record",1961-09-15,"1961","49.4","-122.9"
"1987785491","Dichodontium olympicum","Herbarium record",1974-07-20,"1974","54.8","-127.3"
