"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005597581","Diplophyllum obtusifolium","Herbarium record",1889-04-11,"1889","49.281138","-123.064447"
"1804419736","Diplophyllum obtusifolium","Herbarium record",1969-08-17,"1969","49.3330107","-123.0009965"
"5076420767","Diplophyllum obtusifolium","Herbarium record",1991-07-25,"1991","50.173435","-125.157534"
"1987837843","Diplophyllum obtusifolium","Herbarium record",1974-04-07,"1974","49.2","-122.6"
"1987782343","Diplophyllum obtusifolium","Herbarium record",1974-07-26,"1974","49.4","-122.6"
"1987864109","Diplophyllum obtusifolium","Herbarium record",1980-06-05,"1980","49.4","-123.2"
"1987819417","Diplophyllum obtusifolium","Herbarium record",1974-06-20,"1974","49.4","-122.9"
"1987887587","Diplophyllum obtusifolium","Herbarium record",1995-06-01,"1995","49.39","-121.42"
"4899445308","Diplophyllum obtusifolium","Herbarium record",2022-07-28,"2022","50.118389","-123.121583"
"1987735581","Diplophyllum obtusifolium","Herbarium record",1974-06-21,"1974","49.4","-122.7"
"1987923876","Diplophyllum obtusifolium","Herbarium record",2001-09-01,"2001","50.35","-126.42"
"1987725655","Diplophyllum obtusifolium","Herbarium record",1969-07-28,"1969","49.1","-125.5"
"1987892609","Diplophyllum obtusifolium","Herbarium record",1975-06-01,"1975","49.3","-122.0"
"1987866420","Diplophyllum obtusifolium","Herbarium record",1974-04-07,"1974","49.1","-122.1"
"1987912927","Diplophyllum obtusifolium","Herbarium record",1975-06-01,"1975","49.3","-122.0"
"1987897730","Diplophyllum obtusifolium","Herbarium record",1974-06-07,"1974","49.6","-123.2"
"1987913392","Diplophyllum obtusifolium","Herbarium record",1977-05-04,"1977","48.4","-123.5"
"1987891924","Diplophyllum obtusifolium","Herbarium record",1974-06-12,"1974","49.4","-121.9"
"3888894666","Diplophyllum obtusifolium","iNat record",2022-07-26,"2022","50.145529","-123.134566"
"3773612570","Diplophyllum obtusifolium","iNat record",2022-04-23,"2022","49.025286","-121.398534"
"3764139107","Diplophyllum obtusifolium","iNat record",2022-04-23,"2022","49.025436","-121.398773"
"3773608370","Diplophyllum obtusifolium","iNat record",2022-05-12,"2022","49.92834","-125.2935"
"4400286456","Diplophyllum obtusifolium","iNat record",2022-06-05,"2022","49.524468","-124.91271"
"4852159469","Diplophyllum obtusifolium","iNat record",2024-04-25,"2024","50.190186","-125.263035"
"4978332060","Diplophyllum obtusifolium","iNat record",2024-10-24,"2024","48.741812","-125.050996"
"2980978428","Diplophyllum obtusifolium","iNat record",2020-07-26,"2020","49.720383","-125.387376"
"5036999496","Diplophyllum obtusifolium","iNat record",2025-01-11,"2025","49.354827","-124.646052"
"4400199512","Diplophyllum obtusifolium","iNat record",2023-04-25,"2023","49.627142","-125.08956"
"3858706846","Diplophyllum obtusifolium","iNat record",2022-06-07,"2022","49.152433","-124.040065"
"3785075767","Diplophyllum obtusifolium","iNat record",2022-05-16,"2022","49.32449","-122.635178"
"4854965167","Diplophyllum obtusifolium","iNat record",2024-04-24,"2024","50.194527","-125.174194"
"4919214496","Diplophyllum obtusifolium","iNat record",2024-07-22,"2024","48.834155","-125.133444"
"2981010339","Diplophyllum obtusifolium","iNat record",2019-11-06,"2019","49.601108","-125.077123"
"4599911715","Diplophyllum obtusifolium","iNat record",2024-03-22,"2024","49.679187","-125.161683"
"4854962937","Diplophyllum obtusifolium","iNat record",2024-04-25,"2024","50.189922","-125.264824"
"3772454603","Diplophyllum obtusifolium","iNat record",2022-04-23,"2022","49.023795","-121.395258"
"4400178442","Diplophyllum obtusifolium","iNat record",2022-05-16,"2022","49.32385","-122.635046"
"4400224393","Diplophyllum obtusifolium","iNat record",2022-07-05,"2022","50.599955","-127.121141"
"3477651170","Diplophyllum obtusifolium","Herbarium record",1968-03-13,"1968","48.3741","-123.7364"
"3477661169","Diplophyllum obtusifolium","Herbarium record",1968-04-04,"1968","49.4179","-123.3151"
"3476217167","Diplophyllum obtusifolium","Herbarium record",1968-03-20,"1968","49.3437","-123.0187"
"1091051614","Diplophyllum obtusifolium","Herbarium record",1995-06-01,"1995","49.366667","-121.4"
"1091051625","Diplophyllum obtusifolium","Herbarium record",1968-04-04,"1968","49.383333","-123.383333"
"1091051581","Diplophyllum obtusifolium","Herbarium record",1961-06-14,"1961","49.399083","-122.950538"
"1091051550","Diplophyllum obtusifolium","Herbarium record",1968-03-20,"1968","49.333333","-123.1"
"1805290756","Diplophyllum obtusifolium","Herbarium record",1889-04-11,"1889","49.283333","-123.08333"
"1805292216","Diplophyllum obtusifolium","Herbarium record",1889-04-11,"1889","49.283333","-123.08333"
"1987827510","Diplophyllum obtusifolium","Herbarium record",1980-06-05,"1980","49.4","-123.2"
"1987796934","Diplophyllum obtusifolium","Herbarium record",1978-04-06,"1978","49.2","-122.6"
"1987869110","Diplophyllum obtusifolium","Herbarium record",1968-03-13,"1968","48.4","-123.6"
"1987798418","Diplophyllum obtusifolium","Herbarium record",1999-05-14,"1999","48.8","-124.1"
"1987783890","Diplophyllum obtusifolium","Herbarium record",1975-06-25,"1975","49.1","-125.7"
"1987921418","Diplophyllum obtusifolium","Herbarium record",1975-07-09,"1975","49.6","-124.0"
"1987912863","Diplophyllum obtusifolium","Herbarium record",1978-02-12,"1978","49.4","-122.5"
"1987857579","Diplophyllum obtusifolium","Herbarium record",1975-04-08,"1975","49.8","-123.2"
"1987740436","Diplophyllum obtusifolium","Herbarium record",1975-06-13,"1975","49.3","-121.6"
"1987928100","Diplophyllum obtusifolium","Herbarium record",1974-06-20,"1974","49.4","-122.9"
"1987908312","Diplophyllum obtusifolium","Herbarium record",1980-05-11,"1980","49.2","-122.6"
"1987757503","Diplophyllum obtusifolium","Herbarium record",1974-10-19,"1974","50.0","-123.1"
"1987767610","Diplophyllum obtusifolium","Herbarium record",1974-06-07,"1974","50.0","-123.1"
