"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2266053598","Encalypta longicolla","Herbarium record",1977-07-30,"1977","58.783333","-125.116667"
"4849576551","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.45","-124.88"
"4513895281","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.45","-124.883333"
"1987752732","Encalypta longicolla","Herbarium record",1977-07-23,"1977","58.8","-125.6"
"4513883681","Encalypta longicolla","Herbarium record",1977-07-27,"1977","58.45","-124.866667"
"1987726823","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987892402","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"4513885125","Encalypta longicolla","Herbarium record",1977-07-24,"1977","58.633333","-124.716667"
"4513885270","Encalypta longicolla","Herbarium record",1977-07-24,"1977","58.633333","-124.716667"
"4513886424","Encalypta longicolla","Herbarium record",1974-06-29,"1974","58.616667","-124.716667"
"1987910393","Encalypta longicolla","Herbarium record",1977-07-24,"1977","58.6","-124.7"
"1042398794","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.447824","-124.8840667"
"1927825988","Encalypta longicolla","Herbarium record",1977-07-24,"1977","58.63","-124.72"
"1930528265","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.45","-124.88"
"1987925505","Encalypta longicolla","Herbarium record",2012-04-28,"2012","51.92","-120.2"
"1987921449","Encalypta longicolla","Herbarium record",1977-07-24,"1977","58.6","-124.7"
"4513884848","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.45","-124.883333"
"1987863029","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"4513898739","Encalypta longicolla","Herbarium record",1977-07-23,"1977","59.0","-125.766667"
"1987835092","Encalypta longicolla","Herbarium record",1977-07-25,"1977","58.2","-124.5"
"1987928864","Encalypta longicolla","Herbarium record",1977-07-24,"1977","58.6","-124.7"
"1987719409","Encalypta longicolla","Herbarium record",1977-07-26,"1977","58.4","-124.9"
