"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805289292","Flexitrichum flexicaule","Herbarium record",1971-10-16,"1971","49.180556","-121.738889"
"5196200793","Flexitrichum flexicaule","Herbarium record",1994-09-23,"1994","51.866667","-120.05"
"2252150147","Flexitrichum flexicaule","Herbarium record",1974-09-29,"1974","50.4","-122.3"
"2252151559","Flexitrichum flexicaule","Herbarium record",1977-07-25,"1977","57.416667","-126.833333"
"2252150877","Flexitrichum flexicaule","Herbarium record",1970-11-15,"1970","49.183333","-121.74"
"3416722776","Flexitrichum flexicaule","Herbarium record",1977-07-25,"1977","57.41666","-126.83333"
"2005538975","Flexitrichum flexicaule","Herbarium record",1909-09-09,"1909","50.666667","-120.333333"
"2005538883","Flexitrichum flexicaule","Herbarium record",1970-11-15,"1970","51.483333","-116.48333"
"2005539038","Flexitrichum flexicaule","Herbarium record",1928-07-19,"1928","49.1","-117.716667"
"2005538987","Flexitrichum flexicaule","Herbarium record",1971-07-19,"1971","53.040833","-119.616111"
"2005538960","Flexitrichum flexicaule","Herbarium record",1974-09-29,"1974","50.4","-122.3"
"2005538993","Flexitrichum flexicaule","Herbarium record",1928-07-19,"1928","49.1","-117.716667"
"2005538911","Flexitrichum flexicaule","Herbarium record",1977-07-16,"1977","57.636361","-130.033333"
"2005538962","Flexitrichum flexicaule","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"2005538951","Flexitrichum flexicaule","Herbarium record",1927-04-17,"1927","50.516667","-117.9"
"2005539062","Flexitrichum flexicaule","Herbarium record",1971-06-17,"1971","51.466667","-116.583333"
"4076827001","Flexitrichum flexicaule","Herbarium record",1977-07-19,"1977","56.583333","-126.416667"
"4076827022","Flexitrichum flexicaule","Herbarium record",1978-11-16,"1978","49.078666","-121.708395"
"4076827076","Flexitrichum flexicaule","Herbarium record",1975-03-23,"1975","49.096347","-121.959457"
"2028160689","Flexitrichum flexicaule","Herbarium record",1986-07-16,"1986","49.883333","-125.866667"
"2028220459","Flexitrichum flexicaule","Herbarium record",1976-07-08,"1976","59.833333","-131.416667"
"2028236141","Flexitrichum flexicaule","Herbarium record",1979-05-18,"1979","50.75","-120.5"
"2028298075","Flexitrichum flexicaule","Herbarium record",1976-07-07,"1976","59.583333","-126.983333"
"2028299977","Flexitrichum flexicaule","Herbarium record",1979-05-18,"1979","49.833333","-119.833333"
"2028196041","Flexitrichum flexicaule","Herbarium record",1979-04-23,"1979","49.666667","-121.333333"
