"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1987764771","Gymnomitrion commutatum","Herbarium record",1994-06-26,"1994","53.3","-132.2"
"1987737664","Gymnomitrion commutatum","Herbarium record",1966-07-12,"1966","52.6","-131.8"
"1987730265","Gymnomitrion commutatum","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987778325","Gymnomitrion commutatum","Herbarium record",1986-08-08,"1986","52.8","-129.1"
"1987836669","Gymnomitrion commutatum","Herbarium record",1986-08-15,"1986","54.6","-130.3"
"1987783167","Gymnomitrion commutatum","Herbarium record",1986-08-10,"1986","53.3","-129.6"
"1987925823","Gymnomitrion commutatum","Herbarium record",1966-07-10,"1966","52.8","-132.2"
"2028232949","Gymnomitrion commutatum","Herbarium record",1986-08-15,"1986","54.583333","-130.25"
"2028255864","Gymnomitrion commutatum","Herbarium record",1986-08-10,"1986","53.3","-129.633333"
"2028217845","Gymnomitrion commutatum","Herbarium record",1994-06-25,"1994","53.116667","-132.466667"
"2028223882","Gymnomitrion commutatum","Herbarium record",1984-08-09,"1984","50.216667","-127.716667"
"1987923554","Gymnomitrion commutatum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987830886","Gymnomitrion commutatum","Herbarium record",1967-07-28,"1967","52.8","-132.0"
"1987751374","Gymnomitrion commutatum","Herbarium record",1984-08-09,"1984","50.2","-127.7"
"1987912871","Gymnomitrion commutatum","Herbarium record",1998-11-11,"1998","49.7","-123.2"
"1987886466","Gymnomitrion commutatum","Herbarium record",1986-08-08,"1986","52.8","-129.1"
"1987853582","Gymnomitrion commutatum","Herbarium record",1986-08-15,"1986","54.6","-130.3"
"1987779039","Gymnomitrion commutatum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987932668","Gymnomitrion commutatum","Herbarium record",1966-07-10,"1966","52.8","-132.2"
