"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005545437","Gymnostomum aeruginosum","Herbarium record",1964-08-26,"1964","49.183333","-121.73333"
"2005545389","Gymnostomum aeruginosum","Herbarium record",1964-02-02,"1964","49.183333","-121.73333"
"2005545482","Gymnostomum aeruginosum","Herbarium record",1963-06-06,"1963","49.425833","-123.268889"
"4076824883","Gymnostomum aeruginosum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"2028205679","Gymnostomum aeruginosum","Herbarium record",1976-07-17,"1976","58.666667","-125.8"
"2028269888","Gymnostomum aeruginosum","Herbarium record",1971-08-11,"1971","50.15","-127.85"
"2028230642","Gymnostomum aeruginosum","Herbarium record",1966-07-15,"1966","52.25","-131.333333"
"1804373155","Gymnostomum aeruginosum","Herbarium record",1971-08-11,"1971","50.15","-127.85"
"1804411371","Gymnostomum aeruginosum","Herbarium record",1971-08-11,"1971","50.15","-127.85"
"1804569124","Gymnostomum aeruginosum","Herbarium record",1964-09-12,"1964","53.0496219","-132.0343351"
"1804478257","Gymnostomum aeruginosum","Herbarium record",1966-07-09,"1966","53.0833","-132.5"
"1804579523","Gymnostomum aeruginosum","Herbarium record",1971-08-11,"1971","50.15","-127.85"
"1804425743","Gymnostomum aeruginosum","Herbarium record",1979-06-13,"1979","49.6667","-121.5"
"1804506158","Gymnostomum aeruginosum","Herbarium record",1984-08-11,"1984","50.1333","-127.75"
"5076430494","Gymnostomum aeruginosum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"2266058973","Gymnostomum aeruginosum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"29440705","Gymnostomum aeruginosum","Herbarium record",1991-06-23,"1991","52.6","-118.87"
"415715764","Gymnostomum aeruginosum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"4849653497","Gymnostomum aeruginosum","Herbarium record",1963-06-06,"1963","50.416667","-123.25"
"2005545349","Gymnostomum aeruginosum","Herbarium record",1962-06-16,"1962","49.566667","-121.433333"
"4851108825","Gymnostomum aeruginosum","Herbarium record",1969-11-11,"1969","49.383333","-121.433333"
"1987719616","Gymnostomum aeruginosum","Herbarium record",1966-05-07,"1966","48.4","-123.9"
"1987886344","Gymnostomum aeruginosum","Herbarium record",1961-08-22,"1961","53.0","-132.3"
"1987839481","Gymnostomum aeruginosum","Herbarium record",1971-06-17,"1971","51.4","-116.4"
"1987827242","Gymnostomum aeruginosum","Herbarium record",1978-08-05,"1978","49.2","-121.7"
"1987896291","Gymnostomum aeruginosum","Herbarium record",1961-05-17,"1961","53.2","-132.3"
"1987824530","Gymnostomum aeruginosum","Herbarium record",1966-06-29,"1966","53.1","-132.2"
"1987846391","Gymnostomum aeruginosum","Herbarium record",1976-07-17,"1976","58.8","-125.7"
"1987833227","Gymnostomum aeruginosum","Herbarium record",1964-02-02,"1964","49.2","-121.7"
"1987783889","Gymnostomum aeruginosum","Herbarium record",1962-06-16,"1962","49.8","-121.5"
"1987886945","Gymnostomum aeruginosum","Herbarium record",1966-07-09,"1966","52.8","-132.2"
"1987868473","Gymnostomum aeruginosum","Herbarium record",1978-11-16,"1978","49.1","-121.7"
"1987791954","Gymnostomum aeruginosum","Herbarium record",2012-10-19,"2012","48.53","-123.42"
"1987727791","Gymnostomum aeruginosum","Herbarium record",1975-03-23,"1975","49.1","-121.7"
"1987817528","Gymnostomum aeruginosum","Herbarium record",1926-05-31,"1926","50.0","-117.4"
"1987723261","Gymnostomum aeruginosum","Herbarium record",1977-07-23,"1977","58.7","-124.7"
"1987930306","Gymnostomum aeruginosum","Herbarium record",1966-07-19,"1966","52.9","-132.0"
"1987920723","Gymnostomum aeruginosum","Herbarium record",1969-07-17,"1969","49.1","-124.6"
"1987831441","Gymnostomum aeruginosum","Herbarium record",1964-08-01,"1964","53.0","-132.1"
"1987784626","Gymnostomum aeruginosum","Herbarium record",1974-05-08,"1974","48.8","-125.1"
"1987783597","Gymnostomum aeruginosum","Herbarium record",1964-07-31,"1964","53.1","-132.1"
"1987775784","Gymnostomum aeruginosum","Herbarium record",2005-03-07,"2005","51.8","-120.0"
"1987857584","Gymnostomum aeruginosum","Herbarium record",1962-06-16,"1962","49.6","-121.4"
"1987932706","Gymnostomum aeruginosum","Herbarium record",1971-07-02,"1971","52.3","-131.2"
"1987876071","Gymnostomum aeruginosum","Herbarium record",1978-08-05,"1978","49.2","-121.7"
"1987873120","Gymnostomum aeruginosum","Herbarium record",1965-07-31,"1965","51.0","-118.3"
"1987805438","Gymnostomum aeruginosum","Herbarium record",1962-06-04,"1962","48.8","-123.3"
"1987931217","Gymnostomum aeruginosum","Herbarium record",1966-07-08,"1966","53.2","-131.8"
"1987763659","Gymnostomum aeruginosum","Herbarium record",1969-07-14,"1969","49.3","-124.5"
"1987933153","Gymnostomum aeruginosum","Herbarium record",1974-08-20,"1974","49.2","-121.7"
"1987881640","Gymnostomum aeruginosum","Herbarium record",1980-06-24,"1980","49.1","-121.7"
"1987792486","Gymnostomum aeruginosum","Herbarium record",1980-06-24,"1980","49.1","-121.7"
