"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4856304208","Hedwigia stellata","Herbarium record",1965-07-20,"1965","52.4","-125.883333"
"2252157278","Hedwigia stellata","Herbarium record",1997-01-23,"1997","49.233333","-122.683333"
"2252158611","Hedwigia stellata","Herbarium record",1974-07-19,"1974","55.495049","-121.996082"
"2252156709","Hedwigia stellata","Herbarium record",1974-07-19,"1974","55.495049","-121.996082"
"1949668474","Hedwigia stellata","Herbarium record",1996-06-21,"1996","48.725","-123.483333"
"1987869454","Hedwigia stellata","Herbarium record",2010-02-06,"2010","49.1","-117.7"
"1987838575","Hedwigia stellata","Herbarium record",2015-05-23,"2015","49.75","-126.49"
"1987873930","Hedwigia stellata","Herbarium record",1980-05-16,"1980","49.2","-121.7"
"1987792894","Hedwigia stellata","Herbarium record",1996-02-29,"1996","48.5","-123.5"
"1987927395","Hedwigia stellata","Herbarium record",1986-07-26,"1986","50.2","-124.8"
"1987921605","Hedwigia stellata","Herbarium record",2010-01-26,"2010","48.94","-123.47"
"1987757376","Hedwigia stellata","Herbarium record",1993-11-12,"1993","48.6","-123.9"
"1987791377","Hedwigia stellata","Herbarium record",2006-05-03,"2006","48.727","-123.487"
"1987900388","Hedwigia stellata","Herbarium record",2007-06-13,"2007","49.4","-123.51"
"1987749899","Hedwigia stellata","Herbarium record",1993-11-13,"1993","48.6","-124.0"
"1987894754","Hedwigia stellata","Herbarium record",2017-05-13,"2017","48.87","-123.38"
"4011703223","Hedwigia stellata","iNat record",2023-01-01,"2023","48.418313","-123.34064"
"4021973929","Hedwigia stellata","iNat record",2023-01-19,"2023","50.013883","-125.361873"
"2609152008","Hedwigia stellata","iNat record",2020-04-20,"2020","48.44323","-123.30085"
"3031891025","Hedwigia stellata","iNat record",2021-01-16,"2021","48.424116","-123.231925"
"3947639870","Hedwigia stellata","iNat record",2022-10-15,"2022","49.940512","-123.168342"
"4512335348","Hedwigia stellata","iNat record",2024-01-09,"2024","49.33697","-123.269073"
"3398688267","Hedwigia stellata","iNat record",2021-05-26,"2021","49.451636","-119.564972"
"4028958376","Hedwigia stellata","iNat record",2023-01-27,"2023","48.436653","-123.448418"
"3760215458","Hedwigia stellata","iNat record",2022-04-09,"2022","48.861936","-123.365067"
"4596998058","Hedwigia stellata","iNat record",2024-03-14,"2024","48.317417","-123.653732"
"4993945974","Hedwigia stellata","iNat record",2024-12-01,"2024","48.44588","-123.533972"
"2596240354","Hedwigia stellata","iNat record",2020-03-20,"2020","49.869205","-125.126022"
"4076280882","Hedwigia stellata","iNat record",2023-01-28,"2023","48.466252","-123.36911"
"3456315163","Hedwigia stellata","iNat record",2022-01-07,"2022","48.417771","-123.341605"
"3764173984","Hedwigia stellata","iNat record",2022-04-01,"2022","48.441593","-123.299783"
"5063219462","Hedwigia stellata","iNat record",2025-01-20,"2025","49.388947","-123.516288"
"3961318335","Hedwigia stellata","iNat record",2022-10-29,"2022","49.27319","-124.161201"
"4512272187","Hedwigia stellata","iNat record",2024-01-09,"2024","49.337261","-123.269043"
"4011796180","Hedwigia stellata","iNat record",2023-01-01,"2023","48.418313","-123.34064"
"4854806072","Hedwigia stellata","iNat record",2024-05-04,"2024","48.454834","-123.481598"
"3466004177","Hedwigia stellata","iNat record",2022-01-23,"2022","48.424106","-123.231894"
"4519116864","Hedwigia stellata","iNat record",2024-01-30,"2024","48.454988","-123.48154"
"3759498950","Hedwigia stellata","iNat record",2022-04-13,"2022","48.434742","-123.236714"
"3013923349","Hedwigia stellata","iNat record",2019-03-20,"2019","48.43843","-123.294692"
"2574084696","Hedwigia stellata","iNat record",2020-02-09,"2020","48.492592","-123.349817"
"4014858009","Hedwigia stellata","iNat record",2022-12-14,"2022","49.158043","-123.966583"
"2251936567","Hedwigia stellata","iNat record",2019-05-22,"2019","48.441047","-123.297303"
"3499371615","Hedwigia stellata","iNat record",2022-02-06,"2022","49.069183","-123.948128"
"4011912011","Hedwigia stellata","iNat record",2022-12-30,"2022","50.128145","-125.342303"
"3915533672","Hedwigia stellata","iNat record",2022-09-25,"2022","48.412038","-123.346165"
"3456428986","Hedwigia stellata","iNat record",2022-01-01,"2022","48.416355","-123.33985"
"5140261075","Hedwigia stellata","iNat record",2025-04-20,"2025","48.652124","-123.740946"
"2626581411","Hedwigia stellata","iNat record",2020-05-12,"2020","48.866911","-123.341153"
"3499496229","Hedwigia stellata","iNat record",2022-02-14,"2022","48.385539","-123.486699"
"4028874692","Hedwigia stellata","iNat record",2023-01-26,"2023","48.625495","-123.619715"
"4081028700","Hedwigia stellata","iNat record",2023-04-10,"2023","50.25149","-125.273802"
"3124572130","Hedwigia stellata","iNat record",2021-05-22,"2021","48.777489","-123.190094"
"3058777949","Hedwigia stellata","iNat record",2021-02-26,"2021","48.491228","-123.35261"
