"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005598605","Hygrobiella laxifolia","Herbarium record",1978-02-28,"1978","49.342085","-123.015581"
"2005598194","Hygrobiella laxifolia","Herbarium record",1980-06-26,"1980","52.75229","-132.046514"
"2028174074","Hygrobiella laxifolia","Herbarium record",1991-09-21,"1991","49.333333","-123.166667"
"2028275327","Hygrobiella laxifolia","Herbarium record",1967-09-16,"1967","50.066667","-122.95"
"1804611104","Hygrobiella laxifolia","Herbarium record",1978-02-28,"1978","49.3441105","-123.0179972"
"1987745778","Hygrobiella laxifolia","Herbarium record",1964-09-11,"1964","54.3","-130.3"
"1987866620","Hygrobiella laxifolia","Herbarium record",1967-06-21,"1967","53.2","-132.5"
"1987783693","Hygrobiella laxifolia","Herbarium record",1975-09-06,"1975","50.3","-122.4"
"1987725636","Hygrobiella laxifolia","Herbarium record",1976-10-17,"1976","50.0","-123.4"
"1987922535","Hygrobiella laxifolia","Herbarium record",1980-05-22,"1980","49.7","-123.2"
"1987798851","Hygrobiella laxifolia","Herbarium record",1980-08-12,"1980","50.0","-123.1"
"1987851270","Hygrobiella laxifolia","Herbarium record",1969-06-26,"1969","48.6","-124.2"
"1987750461","Hygrobiella laxifolia","Herbarium record",1971-08-09,"1971","50.1","-127.8"
"1987721118","Hygrobiella laxifolia","Herbarium record",1980-08-13,"1980","50.0","-123.1"
"1987882747","Hygrobiella laxifolia","Herbarium record",1977-05-24,"1977","50.2","-124.0"
"1987817153","Hygrobiella laxifolia","Herbarium record",1964-09-11,"1964","54.3","-130.3"
"1987897923","Hygrobiella laxifolia","Herbarium record",1966-07-22,"1966","53.3","-132.5"
"1987895470","Hygrobiella laxifolia","Herbarium record",1991-09-21,"1991","49.4","-123.2"
"1987832466","Hygrobiella laxifolia","Herbarium record",1976-10-17,"1976","50.0","-123.4"
"1987877677","Hygrobiella laxifolia","Herbarium record",1968-07-28,"1968","53.0","-132.1"
"1987776575","Hygrobiella laxifolia","Herbarium record",1976-10-17,"1976","50.0","-123.4"
"1091060476","Hygrobiella laxifolia","Herbarium record",1991-09-21,"1991","49.41667","-123.2"
"1930384210","Hygrobiella laxifolia","Herbarium record",1978-02-28,"1978","49.35","-123.08"
"1987887486","Hygrobiella laxifolia","Herbarium record",1970-07-11,"1970","50.4","-126.0"
"1987885369","Hygrobiella laxifolia","Herbarium record",1986-08-09,"1986","52.9","-129.1"
"1987878405","Hygrobiella laxifolia","Herbarium record",1976-10-17,"1976","50.0","-123.4"
"1987723098","Hygrobiella laxifolia","Herbarium record",1981-08-05,"1981","49.4","-123.2"
"1987874988","Hygrobiella laxifolia","Herbarium record",1967-09-16,"1967","50.1","-123.0"
"1987739342","Hygrobiella laxifolia","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987877278","Hygrobiella laxifolia","Herbarium record",1970-07-11,"1970","50.4","-126.0"
"1987815757","Hygrobiella laxifolia","Herbarium record",1974-10-19,"1974","50.0","-123.1"
"1987803686","Hygrobiella laxifolia","Herbarium record",1990-10-14,"1990","50.2","-124.0"
"1987891848","Hygrobiella laxifolia","Herbarium record",1977-08-14,"1977","50.3","-122.4"
"1987884092","Hygrobiella laxifolia","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987906473","Hygrobiella laxifolia","Herbarium record",1969-07-14,"1969","49.3","-124.5"
"1987891185","Hygrobiella laxifolia","Herbarium record",1970-07-21,"1970","50.5","-127.3"
"1987790487","Hygrobiella laxifolia","Herbarium record",1969-07-01,"1969","48.6","-124.5"
"1987757477","Hygrobiella laxifolia","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987735770","Hygrobiella laxifolia","Herbarium record",1966-07-22,"1966","53.3","-132.5"
"1987760895","Hygrobiella laxifolia","Herbarium record",1961-08-22,"1961","53.0","-132.3"
"1987877753","Hygrobiella laxifolia","Herbarium record",2008-08-11,"2008","58.69","-133.46"
