"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"5196174573","Hygrohypnella ochracea","Herbarium record",2001-10-07,"2001","49.416667","-123.2"
"2252160153","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.4","-122.95"
"2252162160","Hygrohypnella ochracea","Herbarium record",1977-07-15,"1977","55.966667","-129.05"
"2252164397","Hygrohypnella ochracea","Herbarium record",1966-07-10,"1966","52.833333","-132.25"
"2252160274","Hygrohypnella ochracea","Herbarium record",1988-06-22,"1988","52.633333","-119.016667"
"2252160961","Hygrohypnella ochracea","Herbarium record",1950-07-30,"1950","48.46","-123.55"
"2252158556","Hygrohypnella ochracea","Herbarium record",1950-07-21,"1950","49.5","-125.5"
"2252166058","Hygrohypnella ochracea","Herbarium record",1988-06-25,"1988","52.7","-118.933333"
"2252158893","Hygrohypnella ochracea","Herbarium record",1953-07-10,"1953","48.46","-123.55"
"2005547813","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.388333","-122.940556"
"2005547787","Hygrohypnella ochracea","Herbarium record",1901-10-16,"1901","49.616667","-125.016667"
"2005547869","Hygrohypnella ochracea","Herbarium record",2001-10-07,"2001","49.412778","-123.193611"
"2005547857","Hygrohypnella ochracea","Herbarium record",1962-09-08,"1962","49.393333","-122.944444"
"2005547824","Hygrohypnella ochracea","Herbarium record",1964-09-11,"1964","54.283889","-130.315556"
"2005547890","Hygrohypnella ochracea","Herbarium record",1964-09-13,"1964","53.019167","-132.085555"
"2005547859","Hygrohypnella ochracea","Herbarium record",1974-07-21,"1974","54.811801","-127.339702"
"2005547872","Hygrohypnella ochracea","Herbarium record",1926-09-11,"1926","49.916667","-117.4"
"2005547775","Hygrohypnella ochracea","Herbarium record",1971-09-19,"1971","50.059167","-122.956944"
"2005547842","Hygrohypnella ochracea","Herbarium record",1967-06-27,"1967","54.25","-132.983333"
"2005547841","Hygrohypnella ochracea","Herbarium record",1924-08-01,"1924","49.6","-117.11667"
"2005547852","Hygrohypnella ochracea","Herbarium record",1973-09-16,"1973","49.366667","-122.947778"
"2005547804","Hygrohypnella ochracea","Herbarium record",1977-07-15,"1977","54.913262","-129.833333"
"4076837444","Hygrohypnella ochracea","Herbarium record",1971-09-19,"1971","50.059167","-122.956944"
"4076849802","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.4","-122.95"
"2028306054","Hygrohypnella ochracea","Herbarium record",1986-08-20,"1986","49.383333","-122.916667"
"2028263877","Hygrohypnella ochracea","Herbarium record",1996-06-07,"1996","49.333333","-121.7"
"2028267375","Hygrohypnella ochracea","Herbarium record",2002-06-23,"2002","53.55","-132.3"
"5076439106","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.4","-122.95"
"5076439206","Hygrohypnella ochracea","Herbarium record",1928-09-03,"1928","49.453257","-119.749887"
"5076439212","Hygrohypnella ochracea","Herbarium record",1901-10-16,"1901","49.616667","-125.016667"
"5076439218","Hygrohypnella ochracea","Herbarium record",1977-07-15,"1977","56.0","-129.066667"
"2266060507","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.4","-122.95"
"415715817","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.233333","-122.95"
"332950900","Hygrohypnella ochracea","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"332950911","Hygrohypnella ochracea","Herbarium record",1958-05-29,"1958","53.15","-121.483333"
"4849573979","Hygrohypnella ochracea","Herbarium record",1961-09-15,"1961","49.4","-122.95"
"2005547822","Hygrohypnella ochracea","Herbarium record",1964-09-11,"1964","54.283889","-130.315556"
"2005547878","Hygrohypnella ochracea","Herbarium record",1977-07-16,"1977","55.870221","-128.6"
"2005547767","Hygrohypnella ochracea","Herbarium record",1976-05-19,"1976","49.646944","-117.682778"
"2005547868","Hygrohypnella ochracea","Herbarium record",1964-09-11,"1964","54.283889","-130.315556"
