"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1805302618","Kindbergia praelonga","Herbarium record",1971-10-16,"1971","49.180556","-121.738889"
"2252164283","Kindbergia praelonga","Herbarium record",1950-08-13,"1950","48.45","-123.55"
"2252163827","Kindbergia praelonga","Herbarium record",1960-11-26,"1960","49.316667","-123.133333"
"2252163366","Kindbergia praelonga","Herbarium record",1950-07-16,"1950","49.5","-125.5"
"2252164948","Kindbergia praelonga","Herbarium record",1949-07-27,"1949","49.25","-123.25"
"2252167112","Kindbergia praelonga","Herbarium record",1950-07-16,"1950","49.5","-125.5"
"2252161067","Kindbergia praelonga","Herbarium record",1961-05-04,"1961","48.55","-124.416667"
"2252161507","Kindbergia praelonga","Herbarium record",1972-07-11,"1972","54.583333","-130.0"
"2252161505","Kindbergia praelonga","Herbarium record",1950-08-13,"1950","49.5","-125.5"
"2252166118","Kindbergia praelonga","Herbarium record",1949-07-08,"1949","49.183333","-121.75"
"2252163261","Kindbergia praelonga","Herbarium record",1961-01-16,"1961","49.266667","-123.25"
"2252164068","Kindbergia praelonga","Herbarium record",1950-07-30,"1950","49.5","-125.5"
"2252165814","Kindbergia praelonga","Herbarium record",1964-06-30,"1964","48.45","-123.55"
"2252163950","Kindbergia praelonga","Herbarium record",1972-07-11,"1972","54.583333","-130.0"
"2252160525","Kindbergia praelonga","Herbarium record",1950-07-21,"1950","49.666667","-125.833333"
"2252164615","Kindbergia praelonga","Herbarium record",1950-07-21,"1950","49.5","-125.5"
"2005541408","Kindbergia praelonga","Herbarium record",,"1911","48.65","-123.416667"
"2005541512","Kindbergia praelonga","Herbarium record",,"1902","49.216667","-122.916667"
"2005541489","Kindbergia praelonga","Herbarium record",1901-10-16,"1901","49.616667","-125.016667"
"2005541425","Kindbergia praelonga","Herbarium record",1950-07-21,"1950","49.666667","-125.833333"
"2005541692","Kindbergia praelonga","Herbarium record",1960-11-26,"1960","49.316667","-123.133333"
"2005541471","Kindbergia praelonga","Herbarium record",1957-08-16,"1957","49.1","-122.733333"
"2005541770","Kindbergia praelonga","Herbarium record",1961-05-04,"1961","49.666667","-125.833333"
"4076818916","Kindbergia praelonga","Herbarium record",1975-06-10,"1975","49.133333","-121.233333"
"4076818924","Kindbergia praelonga","Herbarium record",1974-05-08,"1974","48.82997","-125.141535"
"2028169505","Kindbergia praelonga","Herbarium record",1998-03-07,"1998","49.25","-123.183333"
"2028208893","Kindbergia praelonga","Herbarium record",2007-03-06,"2007","49.303056","-123.156389"
"3864944371","Kindbergia praelonga","Herbarium record",1901-10-16,"1901","49.616667","-125.016667"
"5076359277","Kindbergia praelonga","Herbarium record",1927-08-14,"1927","51.005","-118.2"
"5076393683","Kindbergia praelonga","Herbarium record",1991-07-24,"1991","50.64657","-127.514275"
"5076393687","Kindbergia praelonga","Herbarium record",1991-07-25,"1991","50.183333","-125.15"
"5076412305","Kindbergia praelonga","Herbarium record",,"1902","49.216667","-122.916667"
"5076412325","Kindbergia praelonga","Herbarium record",1901-04-20,"1901","49.616667","-125.016667"
"5076412326","Kindbergia praelonga","Herbarium record",1976-06-10,"1976","49.133333","-121.95"
"5076412327","Kindbergia praelonga","Herbarium record",1901-10-16,"1901","49.616667","-125.016667"
"2266055793","Kindbergia praelonga","Herbarium record",1976-06-10,"1976","49.133333","-121.95"
"2266057446","Kindbergia praelonga","Herbarium record",1901-10-16,"1901","49.616667","-125.016667"
"1949666962","Kindbergia praelonga","Herbarium record",1972-10-03,"1972","48.75","-124.416667"
"1949668508","Kindbergia praelonga","Herbarium record",1977-08-03,"1977","49.383333","-123.366667"
"1949668635","Kindbergia praelonga","Herbarium record",2002-07-13,"2002","53.583333","-132.916667"
"1949666865","Kindbergia praelonga","Herbarium record",1973-02-11,"1973","48.866667","-124.183333"
