"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"3416714828","Kurzia makinoana","Herbarium record",1985-08-08,"1985","50.675501","-128.306492"
"2005598265","Kurzia makinoana","Herbarium record",1964-09-11,"1964","54.304489","-130.317952"
"2005598746","Kurzia makinoana","Herbarium record",1985-08-08,"1985","50.683333","-128.266667"
"4076829854","Kurzia makinoana","Herbarium record",1974-05-08,"1974","48.798686","-125.125061"
"2028200859","Kurzia makinoana","Herbarium record",1985-08-07,"1985","52.916667","-131.75"
"2028300104","Kurzia makinoana","Herbarium record",1979-07-12,"1979","52.666667","-132.0"
"2028197970","Kurzia makinoana","Herbarium record",1986-08-11,"1986","53.333333","-129.866667"
"1804519960","Kurzia makinoana","Herbarium record",1966-07-03,"1966","53.1663179","-132.4183486"
"1804596179","Kurzia makinoana","Herbarium record",1965-06-18,"1965","51.666361","-128.1341925"
"1269731393","Kurzia makinoana","Herbarium record",1985-08-08,"1985","50.675501","-128.306492"
"1987863015","Kurzia makinoana","Herbarium record",1964-11-15,"1964","54.3","-130.3"
"1987851766","Kurzia makinoana","Herbarium record",1977-03-30,"1977","49.7","-123.2"
"1987845502","Kurzia makinoana","Herbarium record",1977-03-30,"1977","49.7","-123.2"
"1987823614","Kurzia makinoana","Herbarium record",1968-08-01,"1968","52.8","-132.1"
"1987872779","Kurzia makinoana","Herbarium record",1967-07-30,"1967","53.8","-132.8"
"1987861786","Kurzia makinoana","Herbarium record",1979-06-23,"1979","53.7","-129.9"
"1987810006","Kurzia makinoana","Herbarium record",1975-04-16,"1975","49.1","-123.1"
"1987784917","Kurzia makinoana","Herbarium record",1964-06-10,"1964","52.6","-131.7"
"1987773540","Kurzia makinoana","Herbarium record",1986-07-31,"1986","51.4","-127.7"
"1987736057","Kurzia makinoana","Herbarium record",1986-08-02,"1986","51.6","-127.7"
"1987732049","Kurzia makinoana","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987913583","Kurzia makinoana","Herbarium record",1975-04-16,"1975","49.1","-123.1"
"1987878571","Kurzia makinoana","Herbarium record",1961-05-17,"1961","53.2","-132.5"
"1987859677","Kurzia makinoana","Herbarium record",1964-11-19,"1964","54.3","-130.3"
"1987811463","Kurzia makinoana","Herbarium record",1985-08-21,"1985","52.6","-131.8"
"1987774398","Kurzia makinoana","Herbarium record",1986-08-10,"1986","53.3","-129.6"
"1987912548","Kurzia makinoana","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987903910","Kurzia makinoana","Herbarium record",1968-07-31,"1968","52.8","-132.1"
"1987900243","Kurzia makinoana","Herbarium record",1969-07-28,"1969","49.1","-125.5"
"1987823296","Kurzia makinoana","Herbarium record",1985-08-13,"1985","52.8","-132.0"
"1987900715","Kurzia makinoana","Herbarium record",1968-07-31,"1968","52.8","-132.0"
