"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005561333","Lescuraea stenophylla","Herbarium record",1926-05-28,"1926","49.916667","-117.4"
"2005551061","Lescuraea stenophylla","Herbarium record",1961-06-20,"1961","49.316667","-123.066667"
"2028248264","Lescuraea stenophylla","Herbarium record",1988-05-14,"1988","49.416667","-121.0"
"2028201554","Lescuraea stenophylla","Herbarium record",1985-08-18,"1985","53.083333","-132.0"
"2028218036","Lescuraea stenophylla","Herbarium record",1974-09-22,"1974","49.05","-121.283333"
"2028313079","Lescuraea stenophylla","Herbarium record",1971-09-01,"1971","49.25","-125.233333"
"2028256237","Lescuraea stenophylla","Herbarium record",1979-11-06,"1979","49.333333","-123.166667"
"1804494189","Lescuraea stenophylla","Herbarium record",1890-05-09,"1890","50.9833","-118.2"
"5076363337","Lescuraea stenophylla","Herbarium record",1901-08-26,"1901","48.507816","-123.398361"
"5076363343","Lescuraea stenophylla","Herbarium record",1890-08-05,"1890","51.300988","-117.521656"
"5076363344","Lescuraea stenophylla","Herbarium record",1890-05-09,"1890","51.005","-118.25"
"1949668219","Lescuraea stenophylla","Herbarium record",1977-09-08,"1977","49.666667","-114.783333"
"623697001","Lescuraea stenophylla","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"332954052","Lescuraea stenophylla","Herbarium record",1954-08-27,"1954","49.15","-121.5"
"332954028","Lescuraea stenophylla","Herbarium record",1954-08-27,"1954","49.15","-121.5"
"332954071","Lescuraea stenophylla","Herbarium record",1957-07-28,"1957","52.916667","-132.05"
"332954039","Lescuraea stenophylla","Herbarium record",1954-08-27,"1954","49.15","-121.5"
"332954036","Lescuraea stenophylla","Herbarium record",1954-08-27,"1954","49.15","-121.5"
"332954043","Lescuraea stenophylla","Herbarium record",1954-08-27,"1954","49.15","-121.5"
"1987898754","Lescuraea stenophylla","Herbarium record",2016-06-12,"2016","50.57","-127.0"
"1987894029","Lescuraea stenophylla","Herbarium record",1970-10-17,"1970","49.8","-123.2"
"1987868694","Lescuraea stenophylla","Herbarium record",2016-07-10,"2016","50.038234","-122.975087"
"1987868031","Lescuraea stenophylla","Herbarium record",1997-09-27,"1997","51.0","-118.7"
"1987851953","Lescuraea stenophylla","Herbarium record",1988-05-14,"1988","49.4","-121.0"
"1987742768","Lescuraea stenophylla","Herbarium record",1996-06-07,"1996","49.3","-121.7"
"1987734545","Lescuraea stenophylla","Herbarium record",1999-03-26,"1999","49.8","-123.1"
"1987902705","Lescuraea stenophylla","Herbarium record",1981-07-19,"1981","49.4","-123.0"
"1987882541","Lescuraea stenophylla","Herbarium record",1980-04-16,"1980","49.7","-123.2"
"1987859101","Lescuraea stenophylla","Herbarium record",1977-08-02,"1977","49.5","-121.4"
"1987843999","Lescuraea stenophylla","Herbarium record",1969-04-15,"1969","49.1","-122.5"
"1987928735","Lescuraea stenophylla","Herbarium record",2016-07-09,"2016","50.0719","-123.0343"
"1987916481","Lescuraea stenophylla","Herbarium record",1976-07-30,"1976","49.1","-117.0"
"1987863491","Lescuraea stenophylla","Herbarium record",1982-07-18,"1982","49.1","-121.8"
