"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989418522","Mnium thomsonii","Herbarium record",,"1977","49.25","-117.666667"
"1805291946","Mnium thomsonii","Herbarium record",1890-07-24,"1890","51.0","-118.183333"
"4856380221","Mnium thomsonii","Herbarium record",1965-07-20,"1965","52.4","-125.883333"
"2252167959","Mnium thomsonii","Herbarium record",1984-06-10,"1984","50.35","-115.833"
"2005554078","Mnium thomsonii","Herbarium record",1927-07-26,"1927","51.5","-116.466667"
"2005553674","Mnium thomsonii","Herbarium record",1961-08-22,"1961","52.75","-131.833333"
"2028245884","Mnium thomsonii","Herbarium record",2005-04-25,"2005","49.066667","-122.216667"
"1804512230","Mnium thomsonii","Herbarium record",1965-05-12,"1965","49.0333","-115.15"
"1804560177","Mnium thomsonii","Herbarium record",1961-06-18,"1961","49.45","-123.233"
"1804527708","Mnium thomsonii","Herbarium record",1958-07-11,"1958","53.1167","-120.283"
"1804483110","Mnium thomsonii","Herbarium record",1966-06-29,"1966","53.1329208","-132.1683412"
"1804509343","Mnium thomsonii","Herbarium record",1962-06-17,"1962","49.7211","-121.422"
"1804521308","Mnium thomsonii","Herbarium record",1976-07-17,"1976","58.6664663","-125.8013793"
"1804415923","Mnium thomsonii","Herbarium record",1981-07-07,"1981","52.0830532","-119.6679717"
"1804552118","Mnium thomsonii","Herbarium record",1890-06-27,"1890","50.75","-117.9"
"1804573640","Mnium thomsonii","Herbarium record",1974-05-17,"1974","49.2","-121.733"
"1804611404","Mnium thomsonii","Herbarium record",1963-06-12,"1963","54.6","-128.417"
"1804421976","Mnium thomsonii","Herbarium record",1971-10-10,"1971","49.0667","-120.783"
"1804565783","Mnium thomsonii","Herbarium record",1962-07-01,"1962","49.3333","-123.033"
"5076445420","Mnium thomsonii","Herbarium record",1890-07-24,"1890","51.044","-118.21"
"5076445421","Mnium thomsonii","Herbarium record",1977-07-24,"1977","58.633333","-124.716667"
"5076445422","Mnium thomsonii","Herbarium record",1928-06-01,"1928","49.453257","-119.749887"
"1949666922","Mnium thomsonii","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"1949667005","Mnium thomsonii","Herbarium record",1973-05-10,"1973","48.966667","-124.25"
"2005553643","Mnium thomsonii","Herbarium record",1926-06-28,"1926","49.975556","-117.227222"
"1269733370","Mnium thomsonii","Herbarium record",1988-05-07,"1988","49.766667","-119.75"
"1987891672","Mnium thomsonii","Herbarium record",1967-08-26,"1967","58.7","-124.7"
"1987875487","Mnium thomsonii","Herbarium record",1981-07-07,"1981","52.2","-119.7"
"1987774702","Mnium thomsonii","Herbarium record",1976-07-19,"1976","51.3","-117.0"
"1987887108","Mnium thomsonii","Herbarium record",1979-05-18,"1979","50.7","-119.9"
"1987807552","Mnium thomsonii","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987760025","Mnium thomsonii","Herbarium record",1963-06-16,"1963","49.7","-125.5"
"1987755467","Mnium thomsonii","Herbarium record",2001-05-08,"2001","49.5","-124.0"
"1987720618","Mnium thomsonii","Herbarium record",1962-07-09,"1962","54.8","-128.3"
"1987897621","Mnium thomsonii","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1987892836","Mnium thomsonii","Herbarium record",2010-07-15,"2010","53.356","-132.322"
"4513888815","Mnium thomsonii","Herbarium record",1974-06-30,"1974","58.716667","-124.233333"
"1987777735","Mnium thomsonii","Herbarium record",1977-07-30,"1977","54.8","-122.4"
"1987763237","Mnium thomsonii","Herbarium record",1991-07-22,"1991","49.2","-121.7"
"1987909256","Mnium thomsonii","Herbarium record",1983-08-11,"1983","50.0","-122.9"
"1987860697","Mnium thomsonii","Herbarium record",1984-06-10,"1984","50.4","-115.8"
"1987808819","Mnium thomsonii","Herbarium record",1980-06-24,"1980","49.1","-121.7"
"1987922042","Mnium thomsonii","Herbarium record",1964-09-12,"1964","53.26","-132.09"
"1987806610","Mnium thomsonii","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987831389","Mnium thomsonii","Herbarium record",2011-05-26,"2011","51.9","-120.0"
"1987859043","Mnium thomsonii","Herbarium record",1999-05-14,"1999","48.7","-123.7"
"1987722160","Mnium thomsonii","Herbarium record",1977-07-25,"1977","58.2","-124.5"
"1987909333","Mnium thomsonii","Herbarium record",1964-05-27,"1964","49.6","-121.4"
"1987769798","Mnium thomsonii","Herbarium record",2013-08-11,"2013","55.94","-129.99"
"1987745499","Mnium thomsonii","Herbarium record",1976-05-20,"1976","49.3","-118.1"
"1987741617","Mnium thomsonii","Herbarium record",2011-08-13,"2011","58.015","-122.59"
"1987838301","Mnium thomsonii","Herbarium record",1977-08-01,"1977","51.2","-123.1"
"1987813926","Mnium thomsonii","Herbarium record",1964-10-23,"1964","50.0","-123.0"
"1987810979","Mnium thomsonii","Herbarium record",1978-07-29,"1978","50.3","-117.7"
"1987721859","Mnium thomsonii","Herbarium record",1965-05-05,"1965","49.0","-125.6"
"4950275552","Mnium thomsonii","iNat record",2024-07-13,"2024","59.769424","-136.664795"
"5166784722","Mnium thomsonii","iNat record",2025-05-02,"2025","49.076852","-121.711902"
"3902691365","Mnium thomsonii","iNat record",2022-08-22,"2022","49.6607","-125.52755"
"4416818760","Mnium thomsonii","iNat record",2023-09-09,"2023","52.189193","-127.983505"
"4936266968","Mnium thomsonii","iNat record",2024-07-13,"2024","59.769923","-136.663984"
"4042905931","Mnium thomsonii","Herbarium record",,"2003","49.57","-123.06"
"2028289093","Mnium thomsonii","Herbarium record",1969-08-20,"1969","50.066667","-122.95"
"2028218297","Mnium thomsonii","Herbarium record",1964-07-31,"1964","53.133333","-132.083333"
"2028220374","Mnium thomsonii","Herbarium record",1977-08-27,"1977","53.25","-119.45"
"2028154087","Mnium thomsonii","Herbarium record",2001-05-18,"2001","50.583333","-120.466667"
"1805303069","Mnium thomsonii","Herbarium record",1890-07-24,"1890","51.0","-118.183333"
"1928060088","Mnium thomsonii","Herbarium record",1961-08-22,"1961","50.35","-115.83"
"1928621546","Mnium thomsonii","Herbarium record",1989-07-21,"1989","58.58","-124.75"
"1928260870","Mnium thomsonii","Herbarium record",1890-07-24,"1890","51.0","-118.183333"
"1930717719","Mnium thomsonii","Herbarium record",1995-08-03,"1995","53.02","-119.22"
"1930628440","Mnium thomsonii","Herbarium record",1926-06-28,"1926","49.98","-117.23"
"1930218706","Mnium thomsonii","Herbarium record",1973-07-07,"1973","50.35","-115.83"
"1929992231","Mnium thomsonii","Herbarium record",1977-07-26,"1977","58.45","-124.88"
"1930862420","Mnium thomsonii","Herbarium record",1890-07-24,"1890","51.0","-118.183333"
"1928645748","Mnium thomsonii","Herbarium record",1980-08-01,"1980","53.05","-119.22"
"2874908312","Mnium thomsonii","Herbarium record",1965-07-01,"1965","52.383333","-126.7"
"1426127411","Mnium thomsonii","Herbarium record",1995-08-03,"1995","53.016666","-119.216667"
"5198167949","Mnium thomsonii","Herbarium record",2010-07-15,"2010","53.356139","-132.321861"
"1426119100","Mnium thomsonii","Herbarium record",1995-08-03,"1995","53.016666","-119.216667"
"4927579522","Mnium thomsonii","Herbarium record",2010-07-08,"2010","49.963444","-121.480833"
"5082635355","Mnium thomsonii","Herbarium record",2010-07-08,"2010","49.963444","-121.480833"
"1987829229","Mnium thomsonii","Herbarium record",1977-08-17,"1977","50.4","-116.7"
"1987903921","Mnium thomsonii","Herbarium record",1980-08-22,"1980","49.1","-121.8"
"1987878911","Mnium thomsonii","Herbarium record",1961-07-01,"1961","52.0","-120.0"
"1987819960","Mnium thomsonii","Herbarium record",1977-07-21,"1977","59.7","-131.5"
"1987931542","Mnium thomsonii","Herbarium record",1980-06-25,"1980","49.1","-121.7"
"1987840406","Mnium thomsonii","Herbarium record",2012-04-16,"2012","51.8","-120.0"
"1987798231","Mnium thomsonii","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987767642","Mnium thomsonii","Herbarium record",1978-07-12,"1978","49.8","-116.9"
"1987901934","Mnium thomsonii","Herbarium record",1963-06-12,"1963","54.6","-128.3"
"1987877305","Mnium thomsonii","Herbarium record",1977-07-04,"1977","49.4","-118.0"
"1987820755","Mnium thomsonii","Herbarium record",2010-07-08,"2010","49.963","-121.48"
"1987805681","Mnium thomsonii","Herbarium record",1977-07-26,"1977","58.4","-124.9"
"1987842483","Mnium thomsonii","Herbarium record",1926-05-14,"1926","50.0","-117.2"
"1987828263","Mnium thomsonii","Herbarium record",1969-08-20,"1969","50.1","-123.0"
"1987769382","Mnium thomsonii","Herbarium record",1980-08-18,"1980","52.1","-120.2"
