"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252146044","Odontoschisma fluitans","Herbarium record",1975-07-01,"1975","52.333333","-131.466667"
"4076814911","Odontoschisma fluitans","Herbarium record",1969-08-23,"1969","50.026063","-123.106944"
"1949667239","Odontoschisma fluitans","Herbarium record",1993-08-03,"1993","53.583333","-132.85"
"4070499384","Odontoschisma fluitans","Herbarium record",1980-07-15,"1980","49.254424","-123.197409"
"1987902186","Odontoschisma fluitans","Herbarium record",1982-06-15,"1982","49.1","-123.0"
"1987876613","Odontoschisma fluitans","Herbarium record",1964-10-26,"1964","49.2","-123.2"
"1987893601","Odontoschisma fluitans","Herbarium record",1970-06-24,"1970","48.6","-124.6"
"1987876498","Odontoschisma fluitans","Herbarium record",,"1981","50.1","-122.3"
"1987775417","Odontoschisma fluitans","Herbarium record",1979-06-21,"1979","53.8","-130.2"
"5198349833","Odontoschisma fluitans","iNat record",2025-06-04,"2025","51.652036","-128.128404"
"4129918028","Odontoschisma fluitans","iNat record",2023-05-25,"2023","54.042229","-131.884277"
"4863584996","Odontoschisma fluitans","iNat record",2023-11-14,"2023","50.764295","-128.03584"
"4953090845","Odontoschisma fluitans","iNat record",2024-10-02,"2024","50.800221","-127.98009"
"4950122383","Odontoschisma fluitans","iNat record",2024-09-12,"2024","52.141262","-128.090973"
"3120899302","Odontoschisma fluitans","Herbarium record",2017-07-20,"2017","53.6073","-132.001"
"1987777513","Odontoschisma fluitans","Herbarium record",1979-06-23,"1979","53.7","-129.9"
