"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"5196135160","Oncophorus virens","Herbarium record",1992-07-23,"1992","59.566667","-137.15"
"2252171849","Oncophorus virens","Herbarium record",1977-08-06,"1977","57.833333","-126.45"
"2252169514","Oncophorus virens","Herbarium record",1977-07-22,"1977","56.569167","-126.449167"
"1807251185","Oncophorus virens","Herbarium record",1931-07-27,"1931","51.183333","-116.11667"
"3416738086","Oncophorus virens","Herbarium record",1977-07-22,"1977","56.583333","-126.466667"
"3416738085","Oncophorus virens","Herbarium record",1977-08-06,"1977","57.833333","-126.45"
"2005554876","Oncophorus virens","Herbarium record",1928-07-19,"1928","50.533333","-116.06667"
"2005554909","Oncophorus virens","Herbarium record",1977-08-04,"1977","57.883333","-126.4"
"2005554835","Oncophorus virens","Herbarium record",1977-07-28,"1977","57.533333","-126.783333"
"2005554925","Oncophorus virens","Herbarium record",1977-07-22,"1977","56.569167","-126.449167"
"2005554929","Oncophorus virens","Herbarium record",1927-07-20,"1927","51.5","-116.466667"
"2005554964","Oncophorus virens","Herbarium record",1992-07-23,"1992","59.616667","-137.2"
"2005535212","Oncophorus virens","Herbarium record",1927-06-03,"1927","49.806667","-119.194167"
"2005535379","Oncophorus virens","Herbarium record",1928-07-19,"1928","50.533333","-116.06667"
"2005555032","Oncophorus virens","Herbarium record",1974-08-07,"1974","50.326389","-122.443611"
"2005535321","Oncophorus virens","Herbarium record",1927-07-20,"1927","51.5","-116.466667"
"2005554837","Oncophorus virens","Herbarium record",1967-09-16,"1967","50.059167","-122.956944"
"4076850865","Oncophorus virens","Herbarium record",1911-05-01,"1911","49.380399","-121.356445"
"4076839164","Oncophorus virens","Herbarium record",1977-07-22,"1977","56.583333","-126.466667"
"4076839166","Oncophorus virens","Herbarium record",1977-07-28,"1977","57.416667","-126.816667"
"4076839222","Oncophorus virens","Herbarium record",1977-08-04,"1977","57.833333","-126.383333"
"4076839265","Oncophorus virens","Herbarium record",1967-09-16,"1967","50.059167","-122.956944"
"2028293340","Oncophorus virens","Herbarium record",,"1976","59.833333","-135.0"
"2028155633","Oncophorus virens","Herbarium record",1981-07-20,"1981","58.333333","-129.5"
"2028178565","Oncophorus virens","Herbarium record",1992-07-23,"1992","59.566667","-137.15"
"2028290775","Oncophorus virens","Herbarium record",1977-07-28,"1977","57.416667","-126.816667"
"5076398188","Oncophorus virens","Herbarium record",1928-07-19,"1928","50.436847","-116.596232"
"5076420322","Oncophorus virens","Herbarium record",,"1861","49.064","-114.98337"
"5076443322","Oncophorus virens","Herbarium record",1955-06-19,"1955","51.22829","-116.050511"
"5076443321","Oncophorus virens","Herbarium record",1927-07-20,"1927","51.5","-116.466667"
"5076443337","Oncophorus virens","Herbarium record",1977-07-28,"1977","57.416667","-126.816667"
