"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252170606","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"2028176403","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"5076373693","Orthodicranum flagellare","Herbarium record",1972-08-04,"1972","50.767629","-115.945149"
"5076433292","Orthodicranum flagellare","Herbarium record",1927-06-01,"1927","49.783333","-118.133333"
"5076433295","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"4129545314","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016666"
"1949666797","Orthodicranum flagellare","Herbarium record",1973-02-18,"1973","48.866667","-124.2"
"332946152","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"3916074553","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"1987787735","Orthodicranum flagellare","Herbarium record",2012-10-19,"2012","48.53","-123.42"
"1987767755","Orthodicranum flagellare","Herbarium record",2003-08-12,"2003","51.72139","-124.6522"
"1987885598","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.9","-120.0"
"1987800725","Orthodicranum flagellare","Herbarium record",2013-06-19,"2013","51.64","-120.03"
"5133580584","Orthodicranum flagellare","iNat record",2024-06-22,"2024","51.834464","-120.050977"
"1257924806","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016667"
"1261813539","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.96666","-122.71666"
"2028162569","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.916667","-120.0"
"2028262690","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.916667","-120.0"
"2028309345","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016667"
"2028191391","Orthodicranum flagellare","Herbarium record",1943-08-04,"1943","53.966667","-122.716667"
"2028235586","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.583333","-120.0"
"2028250511","Orthodicranum flagellare","Herbarium record",1984-06-21,"1984","49.333333","-122.666667"
"2028200780","Orthodicranum flagellare","Herbarium record",2007-05-17,"2007","53.883333","-122.8"
"1091092274","Orthodicranum flagellare","Herbarium record",1927-06-03,"1927","49.781338","-118.142946"
"1052551414","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.833333","-120.016667"
"1930008413","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.83","-120.02"
"1987912225","Orthodicranum flagellare","Herbarium record",2007-05-17,"2007","53.9","-122.8"
"1987772361","Orthodicranum flagellare","Herbarium record",2013-06-21,"2013","51.64","-120.03"
"1987864399","Orthodicranum flagellare","Herbarium record",2007-05-15,"2007","51.8","-120.0"
"1987841994","Orthodicranum flagellare","Herbarium record",1927-06-01,"1927","49.8","-118.1"
"1987732412","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.9","-120.0"
"1987869872","Orthodicranum flagellare","Herbarium record",1980-09-20,"1980","51.6","-120.0"
"1987726773","Orthodicranum flagellare","Herbarium record",1984-06-21,"1984","49.3","-122.7"
