"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252175167","Plagiothecium laetum","Herbarium record",1954-07-12,"1954","51.166667","-118.166667"
"2252176789","Plagiothecium laetum","Herbarium record",1949-07-27,"1949","49.25","-123.25"
"2252175996","Plagiothecium laetum","Herbarium record",1949-07-26,"1949","49.25","-123.25"
"3416721681","Plagiothecium laetum","Herbarium record",1971-03-16,"1971","49.333333","-123.266667"
"5209968301","Plagiothecium laetum","Herbarium record",2012-08-17,"2012","49.380167","-121.36175"
"2028245901","Plagiothecium laetum","Herbarium record",1970-09-12,"1970","50.233333","-126.333333"
"2028197348","Plagiothecium laetum","Herbarium record",1997-05-21,"1997","48.783333","-123.083333"
"2028240091","Plagiothecium laetum","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"2028264769","Plagiothecium laetum","Herbarium record",1977-08-27,"1977","53.25","-119.45"
"2028250748","Plagiothecium laetum","Herbarium record",1983-09-29,"1983","49.583333","-123.083333"
"2028283373","Plagiothecium laetum","Herbarium record",1978-10-26,"1978","49.333333","-122.833333"
"2028210058","Plagiothecium laetum","Herbarium record",1980-04-16,"1980","49.666667","-123.166667"
"2028269566","Plagiothecium laetum","Herbarium record",,"1971","49.683333","-125.616667"
"1949668300","Plagiothecium laetum","Herbarium record",1977-06-10,"1977","54.333333","-129.3"
"1949666926","Plagiothecium laetum","Herbarium record",1972-10-03,"1972","48.75","-124.416667"
"332958268","Plagiothecium laetum","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"2005557807","Plagiothecium laetum","Herbarium record",2002-06-19,"2002","54.066667","-131.783333"
"1949667013","Plagiothecium laetum","Herbarium record",1973-05-10,"1973","48.966667","-124.25"
"3820679863","Plagiothecium laetum","Herbarium record",1980-07-13,"1980","49.395","-123.202222"
"1987915016","Plagiothecium laetum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987912415","Plagiothecium laetum","Herbarium record",1977-07-21,"1977","59.7","-131.5"
"1987892391","Plagiothecium laetum","Herbarium record",1976-07-23,"1976","51.3","-117.5"
"1987859567","Plagiothecium laetum","Herbarium record",1954-08-15,"1954","51.5","-118.4"
"1987837715","Plagiothecium laetum","Herbarium record",2015-05-23,"2015","49.75","-126.49"
"1987825848","Plagiothecium laetum","Herbarium record",1976-07-12,"1976","49.7","-117.2"
"1987811241","Plagiothecium laetum","Herbarium record",2016-03-22,"2016","49.06","-122.47"
"1987725844","Plagiothecium laetum","Herbarium record",1967-07-20,"1967","53.2","-132.5"
"1987910092","Plagiothecium laetum","Herbarium record",1954-07-28,"1954","51.3","-118.2"
"1987893781","Plagiothecium laetum","Herbarium record",1978-07-08,"1978","49.2","-117.6"
"1987855306","Plagiothecium laetum","Herbarium record",1977-07-06,"1977","49.4","-117.9"
"1987797570","Plagiothecium laetum","Herbarium record",1980-04-16,"1980","49.7","-123.16"
"1987778883","Plagiothecium laetum","Herbarium record",1986-08-15,"1986","54.6","-130.3"
"1987866182","Plagiothecium laetum","Herbarium record",1976-04-09,"1976","49.2","-122.6"
"1987812913","Plagiothecium laetum","Herbarium record",1977-08-11,"1977","49.7","-116.0"
"1987726775","Plagiothecium laetum","Herbarium record",1977-08-11,"1977","49.4","-123.0"
"1987887714","Plagiothecium laetum","Herbarium record",1988-05-14,"1988","49.4","-121.0"
"1987870672","Plagiothecium laetum","Herbarium record",2013-07-27,"2013","50.095","-122.999"
"1987779850","Plagiothecium laetum","Herbarium record",2002-06-21,"2002","53.6","-132.5"
"1987926029","Plagiothecium laetum","Herbarium record",1977-08-03,"1977","53.0","-119.3"
"1987912287","Plagiothecium laetum","Herbarium record",1977-07-25,"1977","57.4","-126.8"
"1987906214","Plagiothecium laetum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987801525","Plagiothecium laetum","Herbarium record",1985-08-16,"1985","53.2","-132.4"
"1987792328","Plagiothecium laetum","Herbarium record",2007-05-15,"2007","53.8","-121.5"
"1987724836","Plagiothecium laetum","Herbarium record",1993-08-14,"1993","48.8","-124.0"
"1987826997","Plagiothecium laetum","Herbarium record",1977-07-15,"1977","49.8","-117.2"
"1987821200","Plagiothecium laetum","Herbarium record",1978-07-16,"1978","50.3","-117.8"
"1987804544","Plagiothecium laetum","Herbarium record",1977-05-26,"1977","50.5","-125.3"
"1987784622","Plagiothecium laetum","Herbarium record",1977-07-05,"1977","49.4","-118.1"
"1987776995","Plagiothecium laetum","Herbarium record",1986-02-14,"1986","49.1","-121.6"
"1987922852","Plagiothecium laetum","Herbarium record",1981-07-07,"1981","52.2","-119.7"
"1987874791","Plagiothecium laetum","Herbarium record",1986-09-13,"1986","49.4","-121.2"
"1987835907","Plagiothecium laetum","Herbarium record",1980-08-12,"1980","50.0","-123.1"
"1987813358","Plagiothecium laetum","Herbarium record",1980-11-11,"1980","49.4","-122.8"
"1987791545","Plagiothecium laetum","Herbarium record",1978-07-19,"1978","50.3","-116.6"
"1987762972","Plagiothecium laetum","Herbarium record",1977-06-30,"1977","49.3","-117.7"
"1987851348","Plagiothecium laetum","Herbarium record",1982-06-15,"1982","49.1","-123.0"
"1987831878","Plagiothecium laetum","Herbarium record",1982-06-15,"1982","49.1","-123.0"
"1987782536","Plagiothecium laetum","Herbarium record",2003-11-03,"2003","49.0","-123.7"
"1987776744","Plagiothecium laetum","Herbarium record",2012-08-17,"2012","49.38","-121.362"
"1987744668","Plagiothecium laetum","Herbarium record",1954-07-14,"1954","51.2","-118.2"
"1987811504","Plagiothecium laetum","Herbarium record",1976-07-29,"1976","49.3","-117.8"
"1987783269","Plagiothecium laetum","Herbarium record",1969-04-15,"1969","49.4","-121.5"
"1987901409","Plagiothecium laetum","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"1987864059","Plagiothecium laetum","Herbarium record",2015-06-28,"2015","49.1","-117.7"
"1987849672","Plagiothecium laetum","Herbarium record",2013-07-28,"2013","50.118","-123.121"
"1987824768","Plagiothecium laetum","Herbarium record",1976-07-21,"1976","51.3","-117.5"
"1987794157","Plagiothecium laetum","Herbarium record",2011-08-07,"2011","50.1","-122.97"
"1987753674","Plagiothecium laetum","Herbarium record",1993-10-21,"1993","48.7","-124.0"
"1987932000","Plagiothecium laetum","Herbarium record",1993-11-12,"1993","48.6","-123.9"
"1987818921","Plagiothecium laetum","Herbarium record",2005-05-11,"2005","51.76","-119.92"
"1987810228","Plagiothecium laetum","Herbarium record",1954-08-11,"1954","50.9","-118.2"
"1987730021","Plagiothecium laetum","Herbarium record",1977-08-04,"1977","50.2","-118.5"
"1987913403","Plagiothecium laetum","Herbarium record",1977-07-11,"1977","49.8","-117.2"
"1987855820","Plagiothecium laetum","Herbarium record",2003-06-19,"2003","50.0","-123.1"
