"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2005559064","Pogonatum dentatum","Herbarium record",,"1965","52.366667","-126.766667"
"2005559162","Pogonatum dentatum","Herbarium record",1961-08-21,"1961","54.283333","-130.416667"
"4076814957","Pogonatum dentatum","Herbarium record",1957-06-30,"1957","55.284357","-122.63333"
"4076814959","Pogonatum dentatum","Herbarium record",1957-06-30,"1957","55.284357","-122.63333"
"4076814965","Pogonatum dentatum","Herbarium record",1957-06-30,"1957","55.284357","-122.63333"
"4076814969","Pogonatum dentatum","Herbarium record",1957-06-25,"1957","59.999453","-136.848027"
"4076814972","Pogonatum dentatum","Herbarium record",1957-06-30,"1957","55.284357","-122.63333"
"4076814976","Pogonatum dentatum","Herbarium record",1957-06-30,"1957","55.284357","-122.63333"
"4076816399","Pogonatum dentatum","Herbarium record",1911-05-03,"1911","52.366667","-126.716667"
"2028220761","Pogonatum dentatum","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"5076367642","Pogonatum dentatum","Herbarium record",1890-07-31,"1890","51.300988","-117.521656"
"5076385396","Pogonatum dentatum","Herbarium record",1913-08-24,"1913","54.316533","-130.318268"
"332958850","Pogonatum dentatum","Herbarium record",1938-09-15,"1938","58.933333","-128.383333"
"332958762","Pogonatum dentatum","Herbarium record",1958-09-08,"1958","53.083333","-121.6"
"2005559116","Pogonatum dentatum","Herbarium record",1961-05-12,"1961","54.316301","-130.035897"
"1211201192","Pogonatum dentatum","Herbarium record",1890-07-31,"1890","51.301227","-117.519371"
"1211201193","Pogonatum dentatum","Herbarium record",1885-08-22,"1885","51.301227","-117.519371"
"1211201210","Pogonatum dentatum","Herbarium record",1890-07-31,"1890","51.301227","-117.519371"
"3820672383","Pogonatum dentatum","Herbarium record",1975-09-01,"1975","55.5","-129.5"
"4851117049","Pogonatum dentatum","Herbarium record",1975-09-01,"1975","55.5","-129.5"
"1987722946","Pogonatum dentatum","Herbarium record",,"2014","57.0539","-122.869717"
"1987909488","Pogonatum dentatum","Herbarium record",1957-08-16,"1957","52.8","-132.1"
"1987838713","Pogonatum dentatum","Herbarium record",1979-07-10,"1979","52.8","-132.0"
"1987756567","Pogonatum dentatum","Herbarium record",1979-09-05,"1979","52.3","-118.8"
"1987722568","Pogonatum dentatum","Herbarium record",1981-07-07,"1981","52.2","-119.7"
"1987932689","Pogonatum dentatum","Herbarium record",1977-07-30,"1977","57.7","-126.8"
"1987892419","Pogonatum dentatum","Herbarium record",1988-06-23,"1988","52.6","-119.0"
"1987862931","Pogonatum dentatum","Herbarium record",1970-08-17,"1970","52.2","-119.7"
"1987734021","Pogonatum dentatum","Herbarium record",1973-07-11,"1973","55.4","-124.0"
"1987864974","Pogonatum dentatum","Herbarium record",,"2014","57.0539","-122.869717"
"1987903708","Pogonatum dentatum","Herbarium record",1980-05-18,"1980","52.9","-118.9"
"4046217384","Pogonatum dentatum","iNat record",2021-01-22,"2021","48.924548","-125.541738"
"1042361434","Pogonatum dentatum","Herbarium record",2010-05-07,"2010","52.7171","-131.9878"
"2028157672","Pogonatum dentatum","Herbarium record",1976-07-09,"1976","59.666667","-136.75"
"2028222309","Pogonatum dentatum","Herbarium record",,"1965","51.666667","-128.133333"
"2028148172","Pogonatum dentatum","Herbarium record",,"1965","51.666667","-128.133333"
"2028303188","Pogonatum dentatum","Herbarium record",1992-07-27,"1992","59.483333","-137.8"
"2028282308","Pogonatum dentatum","Herbarium record",1981-07-07,"1981","52.083333","-119.666667"
"2028253261","Pogonatum dentatum","Herbarium record",1986-08-06,"1986","52.0","-128.0"
"3467168855","Pogonatum dentatum","Herbarium record",1962-10-21,"1962","58.33","-132.5"
"1988718920","Pogonatum dentatum","Herbarium record",1977-07-30,"1977","57.666667","-126.75"
"1929458648","Pogonatum dentatum","Herbarium record",1979-06-29,"1979","54.8","-127.27"
"2294324520","Pogonatum dentatum","Herbarium record",1992-07-09,"1992","54.0","-128.7"
"2294324494","Pogonatum dentatum","Herbarium record",1992-07-11,"1992","54.275","-130.275"
"1987859660","Pogonatum dentatum","Herbarium record",1977-07-18,"1977","58.3","-129.5"
"1987898416","Pogonatum dentatum","Herbarium record",1979-06-29,"1979","54.8","-127.3"
"1987825004","Pogonatum dentatum","Herbarium record",1992-07-27,"1992","59.5","-137.8"
"1987801026","Pogonatum dentatum","Herbarium record",1981-07-08,"1981","53.81","-121.59"
"1987866556","Pogonatum dentatum","Herbarium record",1986-08-06,"1986","52.1","-128.1"
"1987874252","Pogonatum dentatum","Herbarium record",,"2014","57.0539","-122.869717"
"1931249650","Pogonatum dentatum","Herbarium record",1977-07-30,"1977","57.67","-126.75"
