"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"5076365600","Pohlia elongata","Herbarium record",1890-08-08,"1890","56.833333","-131.783333"
"1949607114","Pohlia elongata","Herbarium record",1991-05-20,"1991","48.383333","-123.516667"
"1987899340","Pohlia elongata","Herbarium record",1977-08-22,"1977","51.3","-117.5"
"1987815992","Pohlia elongata","Herbarium record",1978-07-31,"1978","50.8","-118.1"
"1987862156","Pohlia elongata","Herbarium record",1964-08-01,"1964","53.0","-132.1"
"2028158619","Pohlia elongata","Herbarium record",1943-06-25,"1943","57.05","-122.533333"
"1091079337","Pohlia elongata","Herbarium record",1943-06-25,"1943","57.05","-122.533333"
"1989516965","Pohlia elongata","Herbarium record",1943-06-25,"1943","57.05","-122.533333"
"1987857374","Pohlia elongata","Herbarium record",1957-08-02,"1957","54.1","-122.0"
"1987836928","Pohlia elongata","Herbarium record",1977-08-25,"1977","50.8","-118.1"
"1987771088","Pohlia elongata","Herbarium record",1979-09-07,"1979","51.6","-118.1"
"1987826709","Pohlia elongata","Herbarium record",1979-07-10,"1979","52.8","-132.0"
"1927844973","Pohlia elongata","Herbarium record",1941-07-24,"1941","51.266667","-117.516667"
