"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"2252180804","Ptychostomum creberrimum","Herbarium record",1955-07-24,"1955","48.45","-123.55"
"2005530614","Ptychostomum creberrimum","Herbarium record",1910-07-24,"1910","50.416667","-121.35"
"2028243094","Ptychostomum creberrimum","Herbarium record",1977-08-27,"1977","53.25","-119.45"
"5076378250","Ptychostomum creberrimum","Herbarium record",1991-07-24,"1991","50.632199","-127.518739"
"5076445885","Ptychostomum creberrimum","Herbarium record",1902-08-05,"1902","50.833216","-118.976997"
"286824553","Ptychostomum creberrimum","Herbarium record",1954-08-09,"1954","59.0","-127.0"
"286824555","Ptychostomum creberrimum","Herbarium record",1954-08-20,"1954","59.0","-124.75"
"286824556","Ptychostomum creberrimum","Herbarium record",1954-08-20,"1954","59.0","-124.75"
"286824557","Ptychostomum creberrimum","Herbarium record",1954-08-09,"1954","59.0","-125.0"
"286824558","Ptychostomum creberrimum","Herbarium record",1954-08-09,"1954","59.0","-125.0"
"4849643825","Ptychostomum creberrimum","Herbarium record",1969-08-20,"1969","50.083333","-123.166667"
"4849643830","Ptychostomum creberrimum","Herbarium record",1969-08-20,"1969","50.083333","-123.166667"
"1987725418","Ptychostomum creberrimum","Herbarium record",1967-09-06,"1967","58.8","-125.2"
"1987749796","Ptychostomum creberrimum","Herbarium record",1976-05-19,"1976","49.8","-117.5"
"1987726398","Ptychostomum creberrimum","Herbarium record",1977-08-21,"1977","50.8","-116.8"
"1987774429","Ptychostomum creberrimum","Herbarium record",1979-07-14,"1979","53.8","-125.9"
"1987839624","Ptychostomum creberrimum","Herbarium record",,"1976","59.0","-133.0"
"1987820823","Ptychostomum creberrimum","Herbarium record",1958-08-20,"1958","49.1","-120.8"
"1989513964","Ptychostomum creberrimum","Herbarium record",1961-06-19,"1961","52.0","-120.0"
"5222694310","Ptychostomum creberrimum","Herbarium record",1979-07-10,"1979","59.75","-127.666667"
"5222685308","Ptychostomum creberrimum","Herbarium record",1979-07-12,"1979","59.683333","-133.833333"
"5222696311","Ptychostomum creberrimum","Herbarium record",1979-07-10,"1979","59.533333","-127.5"
"1987882656","Ptychostomum creberrimum","Herbarium record",2013-07-06,"2013","51.27","-117.52"
"1987856350","Ptychostomum creberrimum","Herbarium record",1967-09-06,"1967","58.8","-125.0"
"1987866872","Ptychostomum creberrimum","Herbarium record",1967-09-06,"1967","58.8","-125.2"
"1987891341","Ptychostomum creberrimum","Herbarium record",1979-08-30,"1979","49.4","-123.0"
"1987912477","Ptychostomum creberrimum","Herbarium record",1976-07-15,"1976","49.5","-115.9"
"1987899049","Ptychostomum creberrimum","Herbarium record",1976-07-09,"1976","49.2","-117.6"
"1987875570","Ptychostomum creberrimum","Herbarium record",,"2014","57.07515","-122.87985"
